collocation,collocate_count,total_count,MI
its,1,251,12.729834848404998
red,1,184,12.28185325051124
earth,1,178,12.234024725420625
church,1,176,12.217722913091523
sat,1,161,12.089208172568844
blue,1,156,12.043693513316475
people,2,286,11.918162631232615
felt,1,142,11.908038413958907
long,1,133,11.813573729955417
their,5,660,11.80268541381268
mexican,1,129,11.76951854987748
far,1,128,11.758291294454224
feet,1,119,11.653109057762169
oh,1,118,11.640934343816067
beyond,1,117,11.628656014037631
teresa,1,114,11.591181308618967
lake,2,225,11.572072485671262
air,1,111,11.552707160804331
hands,1,106,11.486211749017425
things,1,105,11.47253681212035
fire,1,104,11.458731012595319
time,2,208,11.458731012595319
bird,1,104,11.458731012595319
before,1,100,11.402147484228951
side,1,91,11.266085934652923
did,2,180,11.2501443907839
heard,1,89,11.234024725420625
yellow,1,88,11.217722913091523
those,1,88,11.217722913091523
father,1,86,11.184556049156324
go,3,256,11.17332879373307
brown,1,85,11.167682230591927
soldiers,1,85,11.167682230591927
children,1,84,11.150608717232986
darkness,1,84,11.150608717232986
stone,1,84,11.150608717232986
above,1,83,11.133330725801152
full,1,82,11.11584329907231
been,2,163,11.107019448685303
sky,1,80,11.080219389341588
mexico,3,239,11.074195601713818
room,1,78,11.043693513316473
rather,2,147,10.957963639290591
flowers,1,73,10.948115853334244
pure,1,72,10.928216295896538
women,3,215,10.92152164332253
lifted,1,70,10.887574311399193
country,1,68,10.845754135704565
out,7,459,10.79328671581043
señora,1,65,10.78065910748268
ground,1,64,10.758291294454226
near,1,64,10.758291294454226
men,10,638,10.753775813331734
arms,1,63,10.735571217954144
round,3,188,10.727917645410708
laughed,1,62,10.712487604841101
scarlet,1,62,10.712487604841101
would,7,430,10.699129221986082
were,12,737,10.698849602828139
suddenly,2,122,10.689028632017113
shore,1,60,10.665181890062746
terrible,1,59,10.640934343816067
already,1,59,10.640934343816067
seemed,3,176,10.632760412370367
why,3,175,10.624539905565399
crowd,1,58,10.616272289581799
hat,1,57,10.591181308618967
leaves,1,57,10.591181308618967
touch,1,57,10.591181308618967
head,3,170,10.582719729870771
centre,1,56,10.56564621651183
four,1,56,10.56564621651183
horse,1,56,10.56564621651183
open,1,56,10.56564621651183
not,15,834,10.555304272290371
wanted,2,111,10.552707160804331
then,10,553,10.54749886980157
everything,1,55,10.539651007978886
different,1,55,10.539651007978886
past,1,55,10.539651007978886
else,1,55,10.539651007978886
drum,2,110,10.539651007978886
anything,1,55,10.539651007978886
kate,17,932,10.535014597858167
have,8,433,10.51651450918095
feel,2,108,10.513178796617694
thing,2,107,10.499758280855373
death,2,107,10.499758280855373
they,22,1173,10.494846973845437
