collocation,collocate_count,total_count,MI
them,1,472,14.366656908058754
we,1,452,14.304192821112101
their,1,329,13.845957632432153
cried,1,253,13.467007433391224
me,2,437,13.255503328197511
my,1,206,13.170514385880132
replied,1,193,13.076470895964993
through,1,191,13.061442686732663
people,1,182,12.99180849889561
yes,2,356,12.959747289663312
white,1,177,12.951619408779912
over,2,349,12.931097084906565
they,6,1037,12.917251536788982
where,1,171,12.901866373582813
are,3,499,12.861947363313018
sat,1,164,12.841565863314997
m,1,154,12.750800399391816
gudrun,5,751,12.714754861323822
even,1,150,12.712832549192795
water,1,149,12.703182379159074
right,1,145,12.663922948711848
all,6,855,12.638831967749018
why,2,280,12.613296875641879
beautiful,1,139,12.60295493142042
here,1,138,12.592538315475082
feel,1,138,12.592538315475082
know,3,403,12.553687386503723
put,1,132,12.528407978055366
voice,2,259,12.500822146383467
your,2,258,12.495241114120166
shall,1,126,12.46129378219683
against,1,123,12.426528364036153
go,3,361,12.394906384862928
herself,2,240,12.390904454305431
cold,1,118,12.366656908058754
winifred,1,106,12.21193431326011
perfectly,1,106,12.21193431326011
some,3,317,12.207390388115165
thing,1,105,12.198259376363035
seemed,3,312,12.184453576838006
black,1,103,12.170514385880132
knowledge,1,103,12.170514385880132
might,1,101,12.142225341448707
life,3,300,12.127870048471639
felt,2,199,12.120638479240561
nothing,2,198,12.113370478776522
enough,1,98,12.098723702812123
work,1,97,12.08392670088404
always,2,194,12.08392670088404
us,1,97,12.08392670088404
really,3,291,12.08392670088404
now,3,289,12.073977040476434
did,4,385,12.072728494279177
hermione,3,287,12.063958284651445
silent,1,95,12.05386946702786
great,2,188,12.03860271037455
fine,1,94,12.03860271037455
hands,1,94,12.03860271037455
matter,1,94,12.03860271037455
am,1,91,11.99180849889561
ursula,8,723,11.98186569564803
mother,1,90,11.975866955026587
she,43,3819,11.95672830861733
place,1,88,11.943445477334212
along,1,87,11.926957354545642
been,2,173,11.918642086333637
going,2,171,11.901866373582813
so,10,852,11.89679538403539
took,1,85,11.893404794834616
away,4,337,11.880618639878772
ever,1,83,11.859053290043839
you,28,2299,11.84344968735749
have,6,488,11.829788695538644
real,1,81,11.823863861581538
beyond,1,81,11.823863861581538
better,1,81,11.823863861581538
till,1,81,11.823863861581538
air,1,81,11.823863861581538
perhaps,1,81,11.823863861581538
mean,1,80,11.805941953584275
doesn,1,80,11.805941953584275
think,4,318,11.796896813981268
death,2,159,11.796896813981268
child,1,79,11.787794606874016
afraid,1,79,11.787794606874016
