collocation,collocate_count,total_count,MI
albany,1,271,13.129643128507182
one,1,201,12.698545778332239
mme,1,167,12.43119837962736
d,1,164,12.405046091771393
there,1,112,11.854849009210913
life,1,110,11.828853800677969
are,1,97,11.647406929340438
little,1,94,11.602082938830945
which,6,549,11.563193925437352
were,2,155,11.323618492427546
is,3,216,11.217419088595621
have,5,348,11.168509488114674
we,2,139,11.166435159876816
men,1,69,11.156018543931477
did,1,66,11.091888206511763
us,1,65,11.069861900181763
its,1,64,11.047494087153309
people,1,63,11.024774010653227
nature,1,63,11.024774010653227
i,5,314,11.020186741157573
being,1,62,11.001690397540184
when,2,120,10.954384682761829
most,2,119,10.942311850461252
all,5,296,10.935019357894896
day,1,59,10.93013713651515
also,1,58,10.905475082280882
almost,1,57,10.88038410131805
very,2,111,10.841909953503414
her,9,499,10.840465091048257
with,9,488,10.808306423273883
certain,1,54,10.802381589316777
self,1,52,10.747933805294402
perhaps,1,52,10.747933805294402
italy,1,52,10.747933805294402
out,2,104,10.747933805294402
has,1,51,10.719919429124804
more,4,202,10.705705569905103
he,14,687,10.664305453913805
after,2,98,10.662203931268516
would,3,145,10.642440676447087
see,1,48,10.632456587874465
florence,1,47,10.602082938830947
death,1,47,10.602082938830947
she,5,231,10.577315033682003
moment,1,46,10.571056043210321
good,1,45,10.539347183482985
on,5,225,10.539347183482985
himself,3,134,10.528620776889925
french,2,89,10.523227518119707
much,2,89,10.523227518119707
intellectual,1,44,10.506925705790605
thought,1,44,10.506925705790605
own,2,87,10.490437583002038
s,7,302,10.478543904420784
nay,1,43,10.473758841855407
should,2,84,10.439811509932069
character,1,42,10.439811509932069
from,6,252,10.439811509932069
him,6,246,10.405046091771393
other,2,82,10.405046091771393
first,1,41,10.405046091771393
at,8,326,10.396222241384386
what,3,122,10.39326892399504
it,8,324,10.387344090037933
of,81,3207,10.354652722710332
them,2,79,10.351274835330413
that,17,664,10.335070677249893
passion,1,39,10.332896306015558
time,2,77,10.314280627848209
among,1,38,10.295421600596894
or,9,339,10.282710548847339
friend,2,75,10.27631277764919
came,1,37,10.256947452782258
give,1,37,10.256947452782258
will,1,37,10.256947452782258
charles,4,146,10.237318646033327
moral,1,36,10.217419088595621
two,2,72,10.217419088595621
liberty,1,36,10.217419088595621
nor,1,36,10.217419088595621
over,2,71,10.197241206657992
his,27,921,10.139663931081177
probably,1,34,10.134956928403648
herself,1,34,10.134956928403648
up,3,102,10.134956928403648
something,1,34,10.134956928403648
and,70,2377,10.133137258150777
in,38,1274,10.114716135966024
been,7,234,10.110503884679108
into,3,97,10.06244442861928
whether,1,32,10.047494087153309
gori,1,32,10.047494087153309
the,127,4015,10.02999367278582
to,59,1837,10.007986948902817
least,1,31,10.001690397540186
king,1,31,10.001690397540186
because,1,31,10.001690397540186
happiness,1,31,10.001690397540186
be,9,278,9.996510158434504
during,1,30,9.954384682761827
as,18,537,9.94634736369641
must,4,118,9.93013713651515
was,24,697,9.907546432300576
many,2,58,9.905475082280882
come,1,29,9.905475082280882
for,16,464,9.905475082280882
if,3,86,9.88879634113425
person,1,28,9.854849009210913
doubtless,1,28,9.854849009210913
count,1,28,9.854849009210913
made,3,84,9.854849009210913
well,2,55,9.828853800677969
brilliant,1,27,9.802381589316777
still,3,81,9.802381589316777
desire,1,27,9.802381589316777
before,2,54,9.802381589316777
since,1,27,9.802381589316777
given,1,27,9.802381589316777
by,16,431,9.799038146242406
about,3,80,9.784459681319515
alfieri,18,480,9.784459681319515
edward,5,133,9.780848427767136
off,1,26,9.747933805294402
sort,2,52,9.747933805294402
whom,5,129,9.736793247689201
can,2,51,9.719919429124804
even,4,101,9.705705569905103
both,1,25,9.691350276928034
royal,1,25,9.691350276928034
every,2,49,9.662203931268516
but,12,292,9.65235614531217
seen,1,24,9.632456587874465
however,1,24,9.632456587874465
long,3,71,9.612278705936834
without,3,69,9.571056043210321
feelings,1,23,9.571056043210321
hand,1,23,9.571056043210321
while,2,46,9.571056043210321
soul,1,23,9.571056043210321
once,2,46,9.571056043210321
had,27,617,9.561733264139258
love,5,114,9.558456006430688
years,4,91,9.555288727352005
part,2,45,9.539347183482985
just,1,22,9.506925705790605
kind,1,22,9.506925705790605
already,1,22,9.506925705790605
work,2,44,9.506925705790605
born,1,22,9.506925705790605
words,1,22,9.506925705790605
than,7,153,9.497527007788356
great,4,85,9.45688502329101
so,9,190,9.447424694041944
world,4,84,9.439811509932069
indifferent,1,21,9.439811509932069
shall,1,21,9.439811509932069
father,1,21,9.439811509932069
always,2,42,9.439811509932069
suddenly,1,21,9.439811509932069
government,1,21,9.439811509932069
new,2,41,9.405046091771393
seem,1,20,9.36942218204067
social,1,20,9.36942218204067
york,1,20,9.36942218204067
duke,1,20,9.36942218204067
our,2,40,9.36942218204067
yet,2,40,9.36942218204067
might,5,98,9.340275836381155
become,2,39,9.332896306015558
man,10,193,9.318023029534027
no,7,135,9.316954762146535
genius,1,19,9.295421600596894
mistress,1,19,9.295421600596894
felt,2,38,9.295421600596894
son,1,19,9.295421600596894
century,4,76,9.295421600596894
could,6,112,9.269886508489757
present,1,18,9.217419088595621
saw,1,18,9.217419088595621
worldly,1,18,9.217419088595621
minded,1,18,9.217419088595621
itself,1,18,9.217419088595621
three,1,18,9.217419088595621
english,1,18,9.217419088595621
alone,1,18,9.217419088595621
old,4,72,9.217419088595621
o,1,18,9.217419088595621
easy,1,18,9.217419088595621
end,1,18,9.217419088595621
brought,1,18,9.217419088595621
louise,3,53,9.190452040995352
whole,2,35,9.176777104098274
an,12,209,9.169890718513034
not,18,306,9.134956928403648
does,1,17,9.134956928403648
name,1,17,9.134956928403648
country,1,17,9.134956928403648
mere,3,51,9.134956928403648
power,1,17,9.134956928403648
letters,3,50,9.106387776206876
myself,2,33,9.091888206511761
having,2,33,9.091888206511761
cardinal,2,33,9.091888206511761
how,3,49,9.077241430547362
passionate,1,16,9.047494087153309
hands,1,16,9.047494087153309
met,1,16,9.047494087153309
frightful,1,16,9.047494087153309
upon,6,95,9.0323871947631
less,3,47,9.01712043810979
sense,2,31,9.001690397540184
husband,4,61,8.978231424716196
such,9,137,8.975601168671524
indeed,1,15,8.954384682761827
vanity,1,15,8.954384682761827
head,1,15,8.954384682761827
face,1,15,8.954384682761827
longer,1,15,8.954384682761827
seeing,1,15,8.954384682761827
immediately,1,15,8.954384682761827
blood,1,15,8.954384682761827
suffering,1,15,8.954384682761827
violent,1,15,8.954384682761827
neither,1,15,8.954384682761827
base,1,15,8.954384682761827
then,2,29,8.905475082280882
turned,1,14,8.854849009210913
gave,1,14,8.854849009210913
di,1,14,8.854849009210913
dressed,1,14,8.854849009210913
making,1,14,8.854849009210913
lovers,1,14,8.854849009210913
home,1,14,8.854849009210913
plays,1,14,8.854849009210913
night,1,14,8.854849009210913
received,1,14,8.854849009210913
cavaliere,1,14,8.854849009210913
existence,1,14,8.854849009210913
any,7,98,8.854849009210913
under,2,28,8.854849009210913
read,1,14,8.854849009210913
