collocation,collocate_count,total_count,MI
my,1,354,14.711534587694455
me,1,228,14.076819051776198
for,1,183,13.759628875895501
have,1,159,13.556811992895813
i,4,621,13.522378495831939
but,1,134,13.31001822806923
it,2,249,13.203930969679538
and,8,892,13.044828937531761
was,2,217,13.005480270055935
to,6,565,12.801073594192852
had,2,180,12.735782133941132
from,1,84,12.636246460390216
hubert,1,82,12.60148104222954
be,1,82,12.60148104222954
the,14,1105,12.546404769832646
what,1,75,12.472747728107338
eustace,2,129,12.255156293034712
which,2,128,12.243929037611458
were,1,64,12.243929037611458
of,11,698,12.231580645183811
on,2,119,12.1387468009194
as,3,173,12.093594764527026
by,2,115,12.08941908855583
no,1,57,12.076819051776198
into,1,54,11.998816539774927
with,3,161,11.98988341500492
he,4,214,11.985396024012605
very,1,53,11.971849492174657
that,5,263,11.960919932016397
only,1,48,11.828891538332613
sea,1,46,11.76749099366847
not,3,138,11.76749099366847
if,1,45,11.735782133941132
would,1,44,11.703360656248755
been,2,87,11.686872533460186
great,1,41,11.60148104222954
is,4,160,11.565857132498818
has,2,75,11.472747728107338
in,10,369,11.44947794878449
at,4,138,11.352453494389627
so,2,67,11.310018228069229
who,1,33,11.288323156969911
even,1,33,11.288323156969911
about,1,33,11.288323156969911
him,2,64,11.243929037611457
uncles,1,30,11.150819633219974
am,1,30,11.150819633219974
house,1,28,11.051283959669062
s,5,136,11.009463783974434
own,1,26,10.94436875575255
salvat,2,48,10.828891538332613
st,2,48,10.828891538332613
his,9,211,10.79510322487633
may,1,22,10.703360656248755
such,2,44,10.703360656248755
death,1,21,10.636246460390216
one,3,61,10.589703874453187
do,2,40,10.56585713249882
how,1,20,10.56585713249882
perhaps,1,20,10.56585713249882
back,1,20,10.56585713249882
face,1,18,10.413854039053769
other,1,18,10.413854039053769
seems,1,18,10.413854039053769
make,1,18,10.413854039053769
like,3,53,10.386886991453501
a,27,450,10.302822726665026
help,1,16,10.243929037611457
also,1,16,10.243929037611457
much,1,16,10.243929037611457
look,1,16,10.243929037611457
place,2,31,10.198125347998332
taking,1,15,10.150819633219974
himself,1,15,10.150819633219974
must,2,30,10.150819633219974
might,1,15,10.150819633219974
man,2,29,10.10191003273903
fear,1,14,10.051283959669062
mind,1,14,10.051283959669062
thought,2,27,9.998816539774927
learned,1,12,9.828891538332613
order,1,12,9.828891538332613
black,1,11,9.703360656248755
any,2,20,9.56585713249882
dead,2,19,9.491856551055042
tis,1,9,9.413854039053769
welsh,1,9,9.413854039053769
boats,1,9,9.413854039053769
men,2,15,9.150819633219976
besides,1,7,9.051283959669062
drowned,1,7,9.051283959669062
parts,1,7,9.051283959669062
bound,1,7,9.051283959669062
tender,1,6,8.828891538332613
putting,1,6,8.828891538332613
high,1,6,8.828891538332613
exclaimed,1,6,8.828891538332613
master,1,6,8.828891538332613
courage,1,6,8.828891538332613
carried,1,6,8.828891538332613
held,1,6,8.828891538332613
point,1,6,8.828891538332613
strange,1,6,8.828891538332613
happiness,1,4,8.243929037611457
able,1,4,8.243929037611457
coat,1,4,8.243929037611457
spoken,1,4,8.243929037611457
quick,1,4,8.243929037611457
oddly,1,4,8.243929037611457
suspicion,1,4,8.243929037611457
condemned,1,4,8.243929037611457
drew,1,3,7.828891538332614
wonderful,1,3,7.828891538332614
clear,1,3,7.828891538332614
except,2,6,7.828891538332614
lost,1,3,7.828891538332614
folk,1,3,7.828891538332614
edward,1,3,7.828891538332614
completely,1,3,7.828891538332614
act,1,3,7.828891538332614
serious,1,2,7.243929037611458
greatly,1,2,7.243929037611458
bid,1,2,7.243929037611458
add,1,2,7.243929037611458
hint,1,2,7.243929037611458
tries,1,2,7.243929037611458
stormy,1,2,7.243929037611458
hurt,1,2,7.243929037611458
gentleness,1,2,7.243929037611458
company,1,2,7.243929037611458
admiration,1,2,7.243929037611458
hostage,1,2,7.243929037611458
ungrateful,1,2,7.243929037611458
refinement,1,2,7.243929037611458
silver,1,2,7.243929037611458
ignorant,1,1,6.243929037611458
superior,1,1,6.243929037611458
wrought,1,1,6.243929037611458
pillow,1,1,6.243929037611458
scar,1,1,6.243929037611458
seas,1,1,6.243929037611458
unreasonable,1,1,6.243929037611458
faring,1,1,6.243929037611458
concerns,1,1,6.243929037611458
agony,1,1,6.243929037611458
requesting,1,1,6.243929037611458
chalk,1,1,6.243929037611458
education,1,1,6.243929037611458
examination,1,1,6.243929037611458
joyless,1,1,6.243929037611458
debating,1,1,6.243929037611458
badges,1,1,6.243929037611458
peasantry,1,1,6.243929037611458
gagged,1,1,6.243929037611458
heroism,1,1,6.243929037611458
milksop,1,1,6.243929037611458
action,1,1,6.243929037611458
humility,1,1,6.243929037611458
scrutinising,1,1,6.243929037611458
