collocation,collocate_count,total_count,MI
our,1,183,12.224093561848418
gentleman,1,122,11.63913106112726
cameron,1,121,11.62725696083897
those,2,235,11.584910670129375
mrs,3,315,11.422639241230499
indeed,1,105,11.422639241230499
round,1,101,11.36660520631617
course,1,101,11.36660520631617
their,3,301,11.357050899602921
time,2,195,11.315724037313986
looked,1,96,11.29335622428553
tell,1,95,11.278249331895323
hand,2,185,11.239775184080687
interest,1,92,11.231955679621388
me,11,948,11.137705353825337
suppose,1,84,11.100711146343135
peter,3,252,11.100711146343135
country,1,84,11.100711146343135
three,1,84,11.100711146343135
hope,1,82,11.06594572818246
letter,1,82,11.06594572818246
next,1,78,10.993795942426623
us,2,156,10.993795942426623
side,2,155,10.984518128838612
among,1,76,10.95632123700796
taken,1,76,10.95632123700796
them,4,303,10.951567707037325
even,2,151,10.946798462889454
whether,1,75,10.937212414060257
people,1,75,10.937212414060257
my,13,972,10.932766509029063
here,3,220,10.904790936367878
minstrel,1,73,10.898218282444391
hands,1,73,10.898218282444391
asked,1,72,10.878318725006688
again,2,144,10.878318725006688
house,2,143,10.868265060342765
before,4,285,10.863211832616479
answered,1,71,10.858140843069057
seen,1,71,10.858140843069057
often,1,70,10.837676740509341
whole,1,70,10.837676740509341
mean,1,69,10.816918180342544
little,4,272,10.795856564814715
days,1,68,10.795856564814715
lily,4,272,10.795856564814715
without,2,135,10.785209320615206
your,11,729,10.758737109254014
arm,1,66,10.752787842922828
seated,1,65,10.730761536592828
rose,1,65,10.730761536592828
place,2,129,10.719620978987628
melville,1,64,10.708393723564376
daughter,1,64,10.708393723564376
want,1,63,10.685673647064291
towards,2,126,10.685673647064291
its,5,314,10.68108637756864
sir,7,439,10.679115931042128
home,2,125,10.674178008226463
farmer,1,62,10.66259003395125
way,3,184,10.646993178900232
room,2,121,10.62725696083897
chapter,2,121,10.62725696083897
fair,1,60,10.615284319172893
school,1,60,10.615284319172893
emlyn,1,60,10.615284319172893
come,3,179,10.607247000107476
why,2,119,10.603211486872318
care,1,59,10.591036772926216
yes,2,118,10.591036772926216
over,3,175,10.574642334675547
men,3,171,10.541283737729117
where,2,112,10.51574864562198
behind,1,56,10.51574864562198
short,1,56,10.51574864562198
she,16,889,10.504433332394145
grave,1,55,10.489753437089036
while,2,110,10.489753437089036
cecilia,3,163,10.472159377074297
talk,2,108,10.463281225727844
sight,1,54,10.463281225727844
order,1,54,10.463281225727844
door,1,54,10.463281225727844
kenelm,22,1182,10.45597642510461
large,1,53,10.436314178127573
money,1,52,10.408833441705468
within,1,52,10.408833441705468
air,1,52,10.408833441705468
son,3,155,10.399555628117456
power,1,51,10.38081906553587
girl,3,152,10.371358736286803
day,5,250,10.352249913339099
lips,1,50,10.352249913339099
thou,1,50,10.352249913339099
work,2,99,10.337750343643984
after,4,197,10.330445543020751
through,3,147,10.323103567679583
fancy,1,49,10.323103567679583
fact,1,49,10.323103567679583
either,1,49,10.323103567679583
half,2,98,10.323103567679583
said,16,771,10.298980773479409
society,1,48,10.29335622428553
same,2,96,10.29335622428553
set,1,48,10.29335622428553
felt,2,96,10.29335622428553
say,7,330,10.267361015752588
scarcely,1,47,10.262982575242011
full,1,46,10.231955679621388
