collocation,collocate_count,total_count,MI
dr,1,230,12.959018183630405
ah,1,227,12.940076619976946
leave,1,214,12.854995119087176
found,1,202,12.771739615437825
their,3,602,12.762185308724575
hands,1,197,12.735579952142405
her,14,2733,12.722442955151633
di,1,180,12.605381229015705
they,5,844,12.512699226505854
daughter,1,166,12.488567564032953
mother,2,327,12.466674958184113
lady,2,327,12.466674958184113
human,1,158,12.417308880863134
suddenly,1,155,12.389652537960266
fortune,1,154,12.38031467338093
beatrice,1,149,12.332696653148192
kind,1,144,12.283453134128342
hour,1,143,12.27339946946442
letter,1,142,12.263275252190713
house,3,425,12.25988466298994
asked,1,139,12.232469205409538
youth,1,135,12.190343729736862
hall,1,134,12.179617323143802
answer,1,133,12.16881056818722
walked,1,131,12.146951134223482
order,1,127,12.102212819458197
days,1,124,12.067724443072905
digby,1,124,12.067724443072905
girl,1,122,12.044265470248916
returned,1,121,12.032391369960623
entered,1,119,12.008345895993974
helen,4,470,11.990045079251031
sister,1,117,11.983892852269433
began,1,117,11.983892852269433
books,1,115,11.959018183630405
little,5,571,11.94894697316151
she,16,1787,11.916852051727522
jackeymo,1,109,11.881712457462957
without,3,322,11.85948251007949
just,3,322,11.85948251007949
lost,1,105,11.827773650352151
yourself,2,208,11.813967850827122
given,1,104,11.813967850827122
ambition,1,104,11.813967850827122
dark,1,103,11.80002865986925
peschiera,2,203,11.778864049871206
cause,1,101,11.771739615437825
replied,1,101,11.771739615437825
death,1,100,11.757384322460753
general,1,100,11.757384322460753
year,1,99,11.742884752765638
brother,2,198,11.742884752765638
sight,1,97,11.713440974873158
passed,2,193,11.705985169954111
learned,1,95,11.683383741016977
either,1,94,11.668116984363667
need,1,94,11.668116984363667
present,2,187,11.660422592573667
soon,2,180,11.605381229015705
silent,1,89,11.589261563652428
received,1,89,11.589261563652428
free,1,87,11.556471628534759
end,1,86,11.539792887388128
caxton,1,86,11.539792887388128
passion,1,85,11.522919068823732
time,5,422,11.512699226505854
sought,1,84,11.50584555546479
smile,2,166,11.488567564032955
dick,2,166,11.488567564032955
kinsman,1,83,11.488567564032955
cannot,3,249,11.488567564032955
through,4,326,11.462256286917107
few,3,243,11.453378135570656
manner,1,81,11.453378135570656
longer,1,80,11.435456227573393
violante,6,480,11.435456227573393
resumed,1,80,11.435456227573393
leonard,13,1039,11.43406835344915
its,7,557,11.427706727968458
something,3,237,11.417308880863132
pray,1,79,11.417308880863132
gentlemen,1,78,11.398930351548278
anything,1,78,11.398930351548278
themselves,1,77,11.380314673380932
breast,1,77,11.380314673380932
left,4,308,11.380314673380932
lay,1,77,11.380314673380932
else,1,76,11.361455646129615
serve,1,76,11.361455646129615
forget,1,76,11.361455646129615
kindly,1,76,11.361455646129615
miss,3,226,11.348744594380062
success,1,75,11.342346823181911
chair,1,75,11.342346823181911
bowed,1,75,11.342346823181911
heard,3,221,11.316468191356305
already,2,147,11.313200477522395
boy,4,293,11.308284987108278
kept,1,73,11.303352691566047
stay,1,73,11.303352691566047
nora,3,219,11.303352691566047
riccabocca,8,582,11.298403475594315
short,2,145,11.293437222700964
fair,2,144,11.283453134128342
subject,1,72,11.283453134128342
slowly,1,72,11.283453134128342
tell,3,216,11.283453134128342
yes,3,215,11.276758481554333
three,2,143,11.27339946946442
taking,1,71,11.263275252190711
about,5,354,11.259205587881665
went,3,212,11.256486086528074
oh,4,282,11.253079485084823
presence,1,70,11.242811149630997
career,1,70,11.242811149630997
vain,1,70,11.242811149630997
learn,1,70,11.242811149630997
novel,1,70,11.242811149630997
name,4,278,11.232469205409537
spoken,1,69,11.2220525894642
country,3,205,11.20804573147032
scarcely,1,68,11.200990973936369
affairs,1,68,11.200990973936369
rose,2,136,11.200990973936369
turning,1,68,11.200990973936369
safe,1,68,11.200990973936369
tree,1,68,11.200990973936369
even,7,471,11.185756460241208
secret,2,133,11.168810568187219
save,2,133,11.168810568187219
we,14,929,11.16570799701108
took,4,265,11.163376682136592
quiet,1,66,11.157922252044484
itself,2,132,11.157922252044484
london,3,197,11.150617451421251
down,5,328,11.149152042416752
sad,1,65,11.135895945714486
myself,4,259,11.130336420372585
once,6,387,11.124755388109284
hate,1,64,11.11352813268603
stranger,1,64,11.11352813268603
indeed,6,382,11.105994460000623
lansmere,5,318,11.104482993083023
which,35,2215,11.097336099183444
same,4,253,11.09652170738034
soft,1,63,11.090808056185946
engaged,1,63,11.090808056185946
around,1,63,11.090808056185946
here,7,441,11.090808056185946
wonder,1,63,11.090808056185946
simple,1,63,11.090808056185946
half,4,251,11.085071686636802
full,2,125,11.079312417348117
sent,1,62,11.067724443072905
guess,1,62,11.067724443072905
murmured,1,62,11.067724443072905
sudden,1,62,11.067724443072905
second,1,62,11.067724443072905
according,1,62,11.067724443072905
touched,1,62,11.067724443072905
long,6,371,11.063841008585678
true,4,247,11.061895364270708
baron,4,247,11.061895364270708
then,16,984,11.05604263802527
eyes,6,369,11.05604263802527
may,10,614,11.053694883168847
these,6,368,11.052127588021886
men,6,368,11.052127588021886
head,5,306,11.04898788049132
ladies,1,61,11.044265470248916
hope,3,183,11.044265470248916
nature,4,243,11.038340636291812
those,9,546,11.03636027216357
dear,6,364,11.03636027216357
up,12,726,11.032391369960624
two,7,421,11.023849633694823
pressed,1,60,11.02041872829455
course,2,120,11.02041872829455
escape,1,60,11.02041872829455
struck,1,60,11.02041872829455
sweet,1,59,10.996171182047872
pleasure,1,59,10.996171182047872
ay,1,59,10.996171182047872
since,4,236,10.996171182047872
talk,3,177,10.996171182047872
voice,4,236,10.996171182047872
reply,1,59,10.996171182047872
honourable,1,59,10.996171182047872
courage,1,59,10.996171182047872
get,3,177,10.996171182047872
sure,3,177,10.996171182047872
them,9,530,10.99345168069428
gone,3,176,10.987997250602172
done,3,175,10.979776743797203
resolved,1,58,10.9715091278136
soul,2,116,10.9715091278136
justice,1,58,10.9715091278136
re,1,58,10.9715091278136
did,12,694,10.967357484543136
over,9,519,10.963193859601597
feel,2,115,10.959018183630405
gently,1,57,10.946418146850771
cry,1,57,10.946418146850771
drew,2,114,10.946418146850771
play,1,57,10.946418146850771
away,5,285,10.946418146850771
mrs,11,622,10.934867284179335
child,6,338,10.929445068247059
please,1,56,10.920883054743635
doubt,3,168,10.920883054743635
marriage,3,168,10.920883054743635
person,2,112,10.920883054743635
cut,1,56,10.920883054743635
read,3,168,10.920883054743635
rather,4,224,10.920883054743635
spite,1,56,10.920883054743635
gratitude,1,56,10.920883054743635
or,20,1120,10.920883054743635
opinion,1,56,10.920883054743635
italy,1,56,10.920883054743635
nor,4,224,10.920883054743635
memory,1,56,10.920883054743635
some,15,837,10.915721349627855
richard,4,223,10.914428032606335
were,19,1056,10.909994738600899
again,6,333,10.907943999036137
remained,1,55,10.89488784621069
length,1,55,10.89488784621069
cottage,1,55,10.89488784621069
force,1,55,10.89488784621069
give,5,275,10.89488784621069
consent,1,55,10.89488784621069
dinner,1,55,10.89488784621069
off,5,274,10.889632120759194
mean,3,164,10.886117636582958
later,1,54,10.868415634849498
side,4,216,10.868415634849498
fate,1,54,10.868415634849498
among,1,54,10.868415634849498
chapter,5,270,10.868415634849498
table,2,108,10.868415634849498
laid,1,54,10.868415634849498
fame,1,54,10.868415634849498
italian,4,214,10.854995119087178
showed,1,53,10.84144858724923
wild,1,53,10.84144858724923
acquaintance,1,53,10.84144858724923
ten,1,53,10.84144858724923
lands,1,53,10.84144858724923
