collocation,collocate_count,total_count,MI
us,1,241,12.677023789011505
down,1,224,12.571489374839146
fairthorn,1,173,12.198762680418268
find,1,144,11.934059454223855
go,2,245,11.700772391784113
crane,2,237,11.652877701679802
isaac,1,113,11.584313415196732
least,1,112,11.571489374839148
off,2,222,11.558550319131648
gave,1,110,11.545494166306202
hear,1,109,11.53231877755847
lady,5,538,11.513668720450806
vipont,2,209,11.471493584862426
law,1,104,11.464574170922635
light,1,104,11.464574170922635
beauty,1,104,11.464574170922635
person,1,103,11.45063497996476
having,1,101,11.422345935533338
object,1,97,11.364047294968671
suddenly,1,96,11.3490969535027
ago,1,95,11.333990061112491
their,5,470,11.31872330445918
house,6,550,11.282459760472408
year,1,91,11.271929092980239
began,1,90,11.255987549111218
dark,1,90,11.255987549111218
letter,2,178,11.23986788374794
england,1,84,11.156451875560304
mrs,5,417,11.146109931338845
ll,1,82,11.121686457399626
them,5,405,11.103984455666167
window,1,81,11.103984455666167
pounds,1,81,11.103984455666167
two,4,323,11.099524807475468
back,4,322,11.09505133089616
almost,1,80,11.086062547668906
countenance,1,80,11.086062547668906
morning,1,79,11.067915200958646
her,35,2752,11.061116190538675
end,1,77,11.030920993476444
future,1,76,11.012061966225128
days,2,151,11.002539192106623
got,1,75,10.992953143277424
behind,1,75,10.992953143277424
carr,1,75,10.992953143277424
left,4,299,10.988136126979647
mean,1,74,10.973587818410493
montfort,5,369,10.969683363954577
o,1,73,10.95395901166156
pardon,1,73,10.95395901166156
don,4,287,10.92904137945723
its,8,570,10.918952561833647
answered,1,71,10.913881572286224
near,1,71,10.913881572286224
master,1,71,10.913881572286224
affection,1,68,10.851597294031881
chance,1,68,10.851597294031881
visit,1,68,10.851597294031881
few,3,203,10.844507869245563
care,2,135,10.840950049832372
place,3,201,10.830223643239316
art,1,67,10.830223643239316
need,1,67,10.830223643239316
caroline,2,132,10.808528572139997
themselves,1,66,10.808528572139997
miss,1,66,10.808528572139997
given,1,66,10.808528572139997
evening,1,66,10.808528572139997
thoughts,1,66,10.808528572139997
pity,1,65,10.786502265809997
promise,1,65,10.786502265809997
ma,1,65,10.786502265809997
father,5,325,10.786502265809997
rather,2,129,10.775361708204796
we,9,579,10.771628989328468
