collocation,collocate_count,total_count,MI
tom,1,228,13.337977400724403
down,1,222,13.299503252909767
eyes,1,222,13.299503252909767
them,2,387,13.101277142704074
day,1,180,12.996940482889338
their,2,321,12.831516873681966
nothing,1,159,12.817970341844019
just,1,132,12.549481505918116
women,1,129,12.516314641982916
first,1,128,12.505087386559662
raynham,1,121,12.423950623834259
then,3,358,12.403940663102762
out,3,354,12.387730435921503
give,1,111,12.299503252909767
hippias,1,110,12.286447100084322
austin,4,434,12.26663861900414
child,1,105,12.219332904225784
took,1,105,12.219332904225784
up,3,314,12.214745634730134
quite,1,101,12.163298869311458
upon,2,201,12.156139077738592
words,1,95,12.074942994890609
till,1,94,12.0596762382373
seen,1,94,12.0596762382373
time,2,188,12.0596762382373
shall,2,181,12.004933273642868
they,7,630,11.996940482889338
well,3,267,11.98082081752606
we,5,445,11.98082081752606
d,1,89,11.98082081752606
mrs,6,532,11.975407321339695
gave,1,88,11.964519005196959
go,3,262,11.953547887375954
two,2,174,11.948030882408391
ye,2,173,11.939715614196388
youth,2,172,11.93135214126176
she,19,1603,11.903718583270626
lucy,4,336,11.897404809338424
system,1,83,11.880126817906586
little,3,248,11.874321196225383
lady,4,326,11.85381554079074
her,26,2111,11.848358531765728
fair,1,81,11.844937389444286
morning,1,80,11.827015481447026
richard,13,1037,11.822847847231795
into,3,238,11.81494264914645
nature,1,79,11.808868134736764
doria,2,157,11.79970813545129
best,1,77,11.771873927254564
am,2,153,11.762475229252315
on,13,994,11.761749709980856
husband,1,76,11.753014900003249
hands,1,76,11.753014900003249
stood,1,75,11.733906077055543
won,1,75,11.733906077055543
face,2,149,11.724255907021824
it,29,2152,11.718568753988713
sat,1,73,11.69491194543968
soft,1,72,11.675012388001974
clare,2,142,11.654834506064343
felt,1,70,11.63437040350463
god,1,70,11.63437040350463
says,1,70,11.63437040350463
own,2,140,11.63437040350463
sir,6,417,11.62402845928317
us,2,139,11.62402845928317
same,1,69,11.613611843337832
together,1,69,11.613611843337832
ring,1,69,11.613611843337832
never,3,206,11.606625413021725
there,7,478,11.598599272482808
son,3,203,11.585460803023683
come,4,268,11.571176577017434
town,1,67,11.571176577017434
more,4,264,11.549481505918116
eye,1,66,11.549481505918116
though,2,130,11.527455199588116
most,1,65,11.527455199588116
turned,1,65,11.527455199588116
back,2,130,11.527455199588116
mother,1,64,11.505087386559662
hour,1,64,11.505087386559662
were,7,443,11.488895353057076
all,8,504,11.482367310059578
blood,1,63,11.482367310059578
from,9,561,11.467019345726142
enough,1,62,11.459283696946537
might,3,181,11.419970772921712
master,1,60,11.411977982168182
mouth,1,59,11.387730435921503
your,7,413,11.387730435921503
rather,1,59,11.387730435921503
looked,2,117,11.375452106143067
dark,1,58,11.363068381687235
herself,1,58,11.363068381687235
lord,2,116,11.363068381687235
read,1,58,11.363068381687235
look,3,173,11.35475311347523
adrian,8,461,11.353710326989
found,1,57,11.337977400724403
not,24,1365,11.334810121645722
than,4,227,11.331635873850576
what,12,680,11.329515821976207
will,8,452,11.32526634897485
came,2,113,11.32526634897485
saying,1,56,11.312442308617266
pray,1,56,11.312442308617266
really,1,56,11.312442308617266
round,1,56,11.312442308617266
while,2,112,11.312442308617266
without,2,111,11.29950325290977
speak,2,111,11.29950325290977
dinner,1,55,11.286447100084322
ain,1,55,11.286447100084322
door,1,55,11.286447100084322
would,9,495,11.286447100084322
don,4,220,11.286447100084322
taken,1,55,11.286447100084322
after,3,163,11.268853040069583
before,3,163,11.268853040069583
matter,1,54,11.25997488872313
new,1,54,11.25997488872313
soul,1,54,11.25997488872313
wife,2,108,11.25997488872313
why,3,162,11.25997488872313
here,3,161,11.251041763953124
indeed,1,53,11.233007841122863
going,2,106,11.233007841122863
set,1,53,11.233007841122863
common,1,53,11.233007841122863
ralph,1,53,11.233007841122863
did,7,371,11.233007841122863
now,8,423,11.229601239679612
blandish,2,105,11.219332904225785
half,2,105,11.219332904225785
father,5,261,11.211065288242184
had,25,1304,11.209959351016014
under,2,104,11.205527104700755
whom,1,52,11.205527104700755
marriage,1,52,11.205527104700755
asked,2,104,11.205527104700755
have,17,879,11.197343900452728
in,43,2214,11.191262138639116
when,9,463,11.190030768377586
you,43,2209,11.18800033521284
my,15,768,11.1831592916723
ah,1,51,11.177512728531157
anything,1,51,11.177512728531157
creature,1,51,11.177512728531157
very,5,251,11.154702845623072
point,1,50,11.148943576334387
his,57,2843,11.145395756072448
are,9,447,11.139293406300668
benson,2,99,11.134444006639272
at,20,987,11.130065566128698
for,28,1381,11.129230068760108
berry,9,443,11.126325273672368
sight,1,49,11.119797230674871
better,2,98,11.119797230674871
none,1,49,11.119797230674871
our,3,146,11.109949444718524
got,2,97,11.10500022874679
still,2,97,11.10500022874679
open,1,48,11.090049887280818
do,12,575,11.087543031670243
so,12,571,11.07747182120135
went,3,142,11.06987200534319
and,115,5430,11.06633381830701
said,17,802,11.065082971764243
say,6,282,11.0596762382373
person,1,47,11.0596762382373
family,1,47,11.0596762382373
could,8,374,11.0519818464473
where,4,186,11.044246197667693
by,14,651,11.044246197667693
to,116,5387,11.042372741271185
held,1,46,11.028649342616674
wanted,1,46,11.028649342616674
being,2,92,11.028649342616674
o,3,138,11.028649342616674
know,8,366,11.020787224843705
off,3,136,11.007587727088845
him,38,1721,11.00619125515628
no,12,542,11.002273927192379
years,1,45,10.996940482889338
having,1,45,10.996940482889338
saw,3,135,10.996940482889338
above,1,45,10.996940482889338
sure,2,90,10.996940482889338
some,4,179,10.988903163823919
hear,2,89,10.98082081752606
every,2,89,10.98082081752606
want,2,89,10.98082081752606
see,8,355,10.976762600951707
i,60,2653,10.97160575117984
or,8,353,10.968611759830843
of,97,4280,10.968569625661043
save,1,44,10.96451900519696
aunt,1,44,10.96451900519696
he,81,3503,10.9396126564771
with,25,1079,10.936710346272955
act,1,43,10.93135214126176
brayder,1,43,10.93135214126176
house,2,86,10.93135214126176
ladies,1,43,10.93135214126176
hold,1,42,10.897404809338424
fell,1,42,10.897404809338424
this,13,543,10.889456056222931
baronet,5,207,10.876646249171625
tears,1,41,10.862639391177746
both,2,82,10.862639391177746
been,8,328,10.862639391177746
lost,1,41,10.862639391177746
honour,1,41,10.862639391177746
knew,3,122,10.850862223401391
one,14,567,10.844937389444286
over,5,202,10.841370774424094
how,6,242,10.8389881231131
cold,1,40,10.827015481447024
clear,1,40,10.827015481447024
few,1,40,10.827015481447024
days,1,40,10.827015481447024
done,3,120,10.827015481447024
algernon,1,40,10.827015481447024
yes,3,118,10.802767935200347
only,5,196,10.797869135787508
object,1,39,10.79048960542191
sense,1,39,10.79048960542191
soon,1,39,10.79048960542191
wait,1,39,10.79048960542191
life,3,117,10.79048960542191
the,211,8209,10.78697896969303
should,6,232,10.778105880966079
thompson,3,116,10.778105880966079
was,58,2229,10.769287292691843
away,3,114,10.753014900003247
passed,1,38,10.753014900003247
alone,2,75,10.733906077055543
dear,6,224,10.72747980789611
hand,5,185,10.714540752188611
head,3,111,10.714540752188611
hardly,1,37,10.714540752188611
known,1,37,10.714540752188611
wonder,1,37,10.714540752188611
be,29,1069,10.70915252915258
good,6,221,10.708027445229938
let,4,146,10.69491194543968
gentleman,3,109,10.688309210615433
harley,1,36,10.675012388001974
think,8,287,10.66999431323535
find,2,71,10.654834506064343
question,1,35,10.63437040350463
please,1,35,10.63437040350463
state,1,35,10.63437040350463
help,1,35,10.63437040350463
didn,1,35,10.63437040350463
stop,1,35,10.63437040350463
boy,6,208,10.620564603979599
something,3,104,10.620564603979599
me,21,725,10.614607148683199
short,1,34,10.592550227810001
oh,5,170,10.592550227810001
those,3,102,10.592550227810001
has,9,305,10.587827817567598
great,3,101,10.5783363685903
mind,4,134,10.571176577017434
get,3,99,10.549481505918116
live,1,33,10.549481505918116
sent,1,33,10.549481505918116
knows,1,33,10.549481505918116
less,1,33,10.549481505918116
may,5,164,10.540711296290384
if,15,491,10.537776005265837
about,7,229,10.536936252599002
but,23,750,10.532272215885891
friend,3,97,10.520037728025635
die,1,32,10.505087386559662
many,2,64,10.505087386559662
talk,2,64,10.505087386559662
man,12,381,10.49377207333183
made,6,190,10.489980494169455
does,3,94,10.474713737516144
last,3,94,10.474713737516144
given,2,62,10.459283696946537
cry,1,31,10.459283696946537
told,3,93,10.459283696946537
wrote,1,31,10.459283696946537
seeing,1,31,10.459283696946537
cried,3,92,10.44368684189552
law,2,61,10.435824724122549
re,4,122,10.435824724122549
replied,2,61,10.435824724122549
that,67,2043,10.435471684835116
which,11,333,10.425034134993627
within,1,30,10.411977982168182
second,1,30,10.411977982168182
morrow,2,60,10.411977982168182
blaize,4,119,10.399905149867605
s,60,1776,10.39261265730125
can,10,295,10.387730435921503
true,2,58,10.363068381687235
em,1,29,10.363068381687235
making,1,29,10.363068381687235
three,2,58,10.363068381687235
work,2,58,10.363068381687235
shook,1,29,10.363068381687235
put,3,87,10.363068381687235
m,5,145,10.363068381687235
brain,1,29,10.363068381687235
t,25,720,10.353084293114613
heard,4,114,10.337977400724403
much,7,199,10.334357085045708
is,36,1013,10.319580843918487
mad,1,28,10.312442308617266
whole,1,28,10.312442308617266
else,1,28,10.312442308617266
appeared,1,28,10.312442308617266
used,1,28,10.312442308617266
smiled,1,28,10.312442308617266
age,2,56,10.312442308617266
spirit,1,28,10.312442308617266
world,6,167,10.30382917831256
as,40,1110,10.29950325290977
table,2,55,10.286447100084322
began,2,55,10.286447100084322
mr,8,220,10.286447100084322
full,2,54,10.25997488872313
reply,1,27,10.25997488872313
laughing,1,27,10.25997488872313
toward,1,27,10.25997488872313
mountfalcon,2,54,10.25997488872313
kept,1,27,10.25997488872313
watch,1,27,10.25997488872313
must,10,269,10.254621654228924
too,6,161,10.251041763953124
whose,2,53,10.23300784112286
ha,2,53,10.23300784112286
coming,2,53,10.23300784112286
name,3,79,10.22390563401561
mark,1,26,10.205527104700755
study,1,26,10.205527104700755
sit,1,26,10.205527104700755
ran,1,26,10.205527104700755
conduct,1,26,10.205527104700755
feel,3,77,10.186911426533406
thought,8,204,10.177512728531157
suppose,2,51,10.177512728531157
love,10,253,10.16615286636661
moral,1,25,10.148943576334387
looks,1,25,10.148943576334387
quiet,1,25,10.148943576334387
lovely,1,25,10.148943576334387
yet,3,75,10.148943576334387
written,1,25,10.148943576334387
tis,1,25,10.148943576334387
bent,1,25,10.148943576334387
led,1,25,10.148943576334387
terrible,1,25,10.148943576334387
remarked,1,25,10.148943576334387
idea,2,49,10.11979723067487
met,2,49,10.11979723067487
mean,2,49,10.11979723067487
fellow,3,72,10.090049887280818
brave,1,24,10.090049887280818
animal,1,24,10.090049887280818
low,1,24,10.090049887280818
thing,4,96,10.090049887280818
foolish,1,24,10.090049887280818
chapter,2,48,10.090049887280818
walked,1,24,10.090049887280818
such,7,166,10.072771895848982
human,2,47,10.0596762382373
other,6,139,10.039065958562013
an,24,556,10.039065958562013
another,4,92,10.028649342616674
taste,1,23,10.028649342616674
lie,1,23,10.028649342616674
pardon,1,23,10.028649342616674
mama,1,23,10.028649342616674
letters,1,23,10.028649342616674
wants,1,23,10.028649342616674
aside,1,23,10.028649342616674
also,2,46,10.028649342616674
laugh,2,46,10.028649342616674
touch,1,23,10.028649342616674
take,5,115,10.028649342616674
breast,1,23,10.028649342616674
finger,1,23,10.028649342616674
ll,9,204,10.007587727088845
bakewell,3,68,10.007587727088845
dead,2,45,9.996940482889338
any,7,156,9.983134683364305
inquired,1,22,9.964519005196959
foot,1,22,9.964519005196959
use,1,22,9.964519005196959
sea,1,22,9.964519005196959
mask,1,22,9.964519005196959
clock,1,22,9.964519005196959
become,1,22,9.964519005196959
old,12,263,9.959043875130808
continued,2,43,9.93135214126176
thus,2,43,9.93135214126176
himself,8,172,9.93135214126176
doing,2,42,9.897404809338422
