collocation,collocate_count,total_count,MI
countess,1,230,13.178753534590388
day,1,201,12.984315174824943
mr,1,177,12.800869033729011
were,3,501,12.716967776120066
way,1,161,12.664180361760629
night,1,146,12.523088042526032
you,9,1116,12.28745979403289
am,1,115,12.178753534590388
house,1,115,12.178753534590388
done,1,111,12.12767934999612
off,1,110,12.114623197170674
they,7,744,12.06506737269644
woodseer,2,212,12.061183938209213
lady,3,307,12.010395828295035
its,1,101,11.991474966397808
back,1,100,11.977119673420738
men,2,199,11.969888104189664
girl,2,196,11.94797332776122
down,2,193,11.925720520914096
been,3,285,11.903119091976961
see,2,184,11.856825439703025
face,1,92,11.856825439703025
henrietta,2,183,11.848963321930055
another,1,91,11.84105812384471
earl,2,181,11.833109370729218
their,5,451,11.828319012014031
money,1,89,11.808996914612413
shall,1,87,11.776206979494743
father,2,173,11.767891711282738
people,1,86,11.759528238348112
among,1,84,11.725580906424774
gower,3,250,11.714085267586944
up,3,245,11.684938921927428
them,6,487,11.676078945007198
are,5,405,11.673113486530639
nothing,1,80,11.655191578533376
name,2,158,11.637044231823117
carinthia,4,315,11.632471502033294
esslemont,1,77,11.600050024340915
don,1,77,11.600050024340915
against,1,76,11.5811909970896
why,1,75,11.562082174141896
between,1,75,11.562082174141896
both,1,74,11.542716849274964
tell,1,74,11.542716849274964
chillon,3,222,11.542716849274964
have,12,886,11.539463871479876
on,15,1097,11.525720698440688
present,1,73,11.52308804252603
speak,1,73,11.52308804252603
nobleman,1,72,11.503188485088327
mountain,1,70,11.46254650059098
road,1,69,11.441787940424183
called,1,69,11.441787940424183
ve,1,68,11.420726324896354
wythan,1,68,11.420726324896354
rather,1,67,11.399352674103786
livia,2,130,11.355631296674467
under,2,129,11.344490739069267
soon,1,64,11.333263483646014
stood,1,64,11.333263483646014
did,3,192,11.333263483646014
time,2,127,11.32194817041818
spoke,1,63,11.31054340714593
too,2,126,11.31054340714593
arpington,1,63,11.31054340714593
about,2,125,11.299047768308101
at,18,1120,11.292621499148668
look,2,123,11.275777988985254
t,4,246,11.275777988985254
her,44,2681,11.262387368991279
one,9,547,11.258735504996258
she,33,2001,11.255374816193301
small,1,60,11.240154079254532
wife,2,119,11.228081246953957
creature,1,58,11.191244478773585
come,2,116,11.191244478773585
some,3,173,11.182929210561582
part,1,57,11.166153497810756
call,1,57,11.166153497810756
read,1,57,11.166153497810756
two,3,168,11.140618405703618
which,4,223,11.134163383566317
work,1,55,11.114623197170673
same,1,55,11.114623197170673
talk,1,55,11.114623197170673
it,36,1948,11.091116444286044
course,1,54,11.088150985809483
keep,1,54,11.088150985809483
voice,1,54,11.088150985809483
now,4,215,11.081456333235474
over,4,214,11.074730470047161
your,5,267,11.072031320446206
leave,1,53,11.061183938209211
sight,1,53,11.061183938209211
brought,1,53,11.061183938209211
here,3,158,11.05208173110196
world,3,157,11.042921731816485
him,23,1199,11.037317471003224
still,1,52,11.033703201787105
should,3,155,11.024425388199095
then,3,154,11.015087523619759
looked,1,51,11.00568882561751
any,3,153,11.00568882561751
set,1,50,10.977119673420738
i,27,1350,10.977119673420738
not,21,1044,10.968852057437138
nature,2,99,10.962620103725623
had,25,1228,10.95150213924147
town,1,49,10.947973327761222
women,3,146,10.938125541804876
person,1,48,10.918225984367169
taken,1,47,10.88785233532365
from,12,555,10.864644944162325
high,1,46,10.856825439703027
dame,1,46,10.856825439703027
england,2,92,10.856825439703027
meet,1,46,10.856825439703027
and,92,4181,10.83933385563314
lord,11,499,10.836727870345976
out,6,272,10.835763824175197
sure,1,45,10.825116579975688
said,11,494,10.822199096593394
to,115,5125,10.81110972198181
story,1,44,10.79269510228331
love,3,132,10.79269510228331
cannot,1,44,10.79269510228331
business,1,44,10.79269510228331
me,9,396,10.79269510228331
door,1,44,10.79269510228331
admiral,2,88,10.79269510228331
go,3,132,10.79269510228331
mother,3,130,10.770668795953313
where,4,173,10.767891711282738
fleetwood,11,475,10.765615568227027
in,49,2113,10.763630691465746
we,12,517,10.762321453239792
heard,2,86,10.759528238348112
run,1,43,10.759528238348112
coming,1,43,10.759528238348112
most,2,86,10.759528238348112
replied,1,43,10.759528238348112
his,49,2098,10.753352602108073
earth,1,42,10.725580906424774
was,46,1931,10.724833976539651
that,31,1297,10.720029937510837
these,2,83,10.708302914992938
went,2,82,10.690815488264096
if,11,450,10.687613056225754
for,41,1650,10.663961788161107
open,1,40,10.655191578533376
act,1,40,10.655191578533376
bad,1,40,10.655191578533376
certain,1,40,10.655191578533376
because,2,79,10.637044231823117
learn,1,39,10.618665702508261
held,1,39,10.618665702508261
ground,1,39,10.618665702508261
daughter,1,39,10.618665702508261
soul,1,39,10.618665702508261
anything,1,39,10.618665702508261
help,1,39,10.618665702508261
of,163,6334,10.613436481443127
husband,6,232,10.60628197805243
there,11,425,10.60515089603378
this,8,307,10.595358329016193
great,3,115,10.593791033869232
would,14,535,10.589303642876919
brother,6,229,10.5875047710218
feeling,1,38,10.581190997089598
into,5,189,10.573577812979725
dear,2,75,10.562082174141896
all,8,300,10.562082174141896
wild,1,37,10.542716849274964
might,6,222,10.542716849274964
marriage,2,74,10.542716849274964
life,3,111,10.542716849274964
kept,1,37,10.542716849274964
more,6,222,10.542716849274964
let,3,110,10.529660696449517
other,3,109,10.516485307701783
close,1,36,10.503188485088325
family,1,36,10.503188485088325
second,1,36,10.503188485088325
true,1,36,10.503188485088325
croridge,1,36,10.503188485088325
shot,1,36,10.503188485088325
bride,1,36,10.503188485088325
upon,4,143,10.493134820424403
having,3,106,10.476221437488057
further,1,35,10.46254650059098
maid,1,35,10.46254650059098
make,2,70,10.46254650059098
an,20,699,10.460484034134089
our,7,244,10.456645899151296
know,4,139,10.452204556369521
than,6,208,10.44874070106595
came,2,69,10.441787940424183
do,7,241,10.438797897818372
by,22,751,10.426500962522988
mouth,1,34,10.420726324896354
last,2,68,10.420726324896354
longer,1,34,10.420726324896354
thing,2,68,10.420726324896354
madge,5,169,10.412214825040834
won,2,67,10.399352674103786
as,31,1034,10.393087643574074
question,1,33,10.377657603004467
within,1,33,10.377657603004467
fight,1,33,10.377657603004467
re,2,66,10.377657603004467
cause,1,33,10.377657603004467
only,4,132,10.377657603004467
