collocation,collocate_count,total_count,MI
into,1,230,13.487596857594482
time,1,225,13.455887997867144
how,1,214,13.383573793051255
richie,1,211,13.363205995357292
her,10,1991,13.279456217483249
very,1,196,13.256816650765318
though,1,193,13.234563843918188
up,2,377,13.200527519918772
lady,1,185,13.173488267166421
money,1,177,13.109712356733107
take,1,175,13.093317918482438
harry,2,326,12.990834960881184
under,1,157,12.936727555541735
its,1,146,12.831931365530124
english,1,143,12.801978143428498
own,1,138,12.750631263428277
love,1,137,12.740138889610634
morning,1,134,12.70819599710788
prince,2,267,12.702802738337661
eyes,1,133,12.697389242151297
went,1,132,12.686500926008561
yes,1,131,12.675529808187559
done,1,130,12.664474619678563
julia,1,129,12.653334062073363
margravine,1,126,12.619386730150023
them,4,500,12.607891091312194
these,1,124,12.596303117036982
asked,1,121,12.560970043924703
she,15,1813,12.559379420785747
our,5,597,12.54176583302755
hand,2,237,12.530850055548367
janet,3,350,12.50835541776128
mine,1,113,12.462285769065296
beltham,1,113,12.462285769065296
being,1,112,12.449461728707712
having,1,111,12.436522673000216
friend,1,109,12.410291131427034
will,4,434,12.403658039094585
people,1,107,12.383573793051255
soon,1,106,12.370027261213307
temple,4,421,12.359783229716504
women,1,105,12.356352324316232
heriot,2,208,12.3425465247912
two,2,204,12.314532148621604
both,1,101,12.300318289401902
another,1,100,12.285962996424834
sight,1,99,12.271463426729719
about,2,197,12.264158626106486
called,1,97,12.242019648837235
way,2,192,12.227069307371265
cried,1,96,12.227069307371265
light,1,93,12.18126561775814
aunt,2,186,12.18126561775814
thing,1,93,12.18126561775814
edbury,1,92,12.16566876270712
off,2,182,12.149901446848803
there,5,450,12.133959902979782
were,8,707,12.107673211459506
stood,1,87,12.085050302498836
should,4,344,12.068371561352205
their,4,339,12.04724826978645
head,2,169,12.042986242932294
ladies,1,84,12.034424229428868
if,7,588,12.034424229428868
knew,2,166,12.017146237997034
letter,1,83,12.017146237997034
have,16,1320,12.008429020895925
heard,2,165,12.008429020895925
than,3,246,11.99965881126819
felt,1,82,11.99965881126819
saying,1,81,11.981956809534733
peterborough,1,81,11.981956809534733
found,1,80,11.96403490153747
quite,1,79,11.945887554827213
looked,1,79,11.945887554827213
day,3,236,11.939787355290793
would,8,626,11.932125653582727
all,6,469,11.930588418444328
among,1,77,11.90889334734501
until,1,77,11.90889334734501
wife,1,77,11.90889334734501
voice,1,76,11.890034320093694
part,1,76,11.890034320093694
came,2,151,11.880511545975189
after,3,226,11.877323268344139
we,16,1205,11.876924237767433
mother,1,75,11.870925497145988
away,2,150,11.870925497145988
does,1,74,11.851560172279058
best,1,74,11.851560172279058
riversley,2,148,11.851560172279058
sent,1,74,11.851560172279058
room,1,74,11.851560172279058
yet,1,74,11.851560172279058
it,35,2573,11.842059531438942
without,2,147,11.841779151486472
far,1,73,11.831931365530124
one,11,791,11.810209072485604
come,3,215,11.80533715551841
believe,1,71,11.791853926154788
perhaps,1,71,11.791853926154788
over,4,284,11.791853926154788
me,35,2484,11.791273247925623
my,48,3406,11.791007025607493
talked,1,70,11.771389823595074
dear,2,140,11.771389823595074
gone,1,70,11.771389823595074
kept,1,70,11.771389823595074
point,1,70,11.771389823595074
might,3,208,11.757584024070045
case,1,69,11.750631263428277
hear,2,138,11.750631263428277
say,4,274,11.740138889610634
at,21,1433,11.734612278133493
wish,1,68,11.729569647900446
want,1,68,11.729569647900446
here,4,269,11.713569169206734
once,2,134,11.70819599710788
family,1,67,11.70819599710788
ask,1,67,11.70819599710788
horse,1,66,11.686500926008561
what,7,460,11.680241935536879
waddy,1,65,11.664474619678563
herself,1,65,11.664474619678563
father,14,907,11.659710625121027
from,12,767,11.640227073431884
london,2,127,11.630791493422274
when,8,507,11.627948743653448
arm,1,63,11.619386730150026
did,6,374,11.604038765816588
nature,1,62,11.596303117036982
on,27,1668,11.591122877931301
your,13,801,11.587325520917725
right,2,123,11.584621311989348
could,8,490,11.578744745652678
princess,5,306,11.577566554455398
was,46,2813,11.576438687907796
show,1,60,11.548997402258628
had,27,1616,11.545430787238434
captain,5,296,11.529632077391694
table,1,59,11.52474985601195
wanted,1,59,11.52474985601195
call,1,59,11.52474985601195
between,2,117,11.512471526233513
answered,1,58,11.50008780177768
mind,3,174,11.50008780177768
last,2,116,11.50008780177768
us,9,521,11.497321367486304
night,3,173,11.491772533565676
fire,1,57,11.47499682081485
open,1,57,11.47499682081485
near,1,57,11.47499682081485
gave,2,114,11.47499682081485
some,4,227,11.468655293941023
then,5,283,11.464836954594627
i,111,6279,11.464010037276868
welsh,1,56,11.449461728707712
new,1,56,11.449461728707712
ship,1,56,11.449461728707712
oh,3,166,11.432183737275876
sir,4,221,11.43000936604154
water,1,55,11.423466520174768
almost,1,55,11.423466520174768
looking,1,55,11.423466520174768
place,2,110,11.423466520174768
dinner,1,55,11.423466520174768
mr,5,273,11.412935852682597
that,45,2444,11.405282280139163
not,29,1567,11.397915275995116
him,31,1668,11.391814069707896
well,5,269,11.39164107431937
go,4,215,11.390299656239568
let,3,160,11.379072400816314
and,118,6271,11.373943561533595
bound,1,53,11.370027261213307
common,1,53,11.370027261213307
to,136,7201,11.368625517014447
road,1,52,11.3425465247912
carriage,1,52,11.3425465247912
bulsted,2,103,11.328607333833327
are,10,514,11.325803260956624
richmond,3,154,11.323930846623853
heart,3,154,11.323930846623853
where,4,205,11.321586906155554
only,4,205,11.321586906155554
give,2,102,11.314532148621604
speaking,1,51,11.314532148621604
dark,1,51,11.314532148621604
in,65,3314,11.314096880843106
an,15,761,11.306968854545135
has,5,253,11.303172286457055
end,1,50,11.285962996424834
door,1,50,11.285962996424834
going,2,100,11.285962996424834
with,28,1394,11.279766730460928
he,60,2977,11.274859717279625
by,20,990,11.271463426729717
said,22,1079,11.258154337500827
talk,2,98,11.256816650765316
think,4,196,11.256816650765316
every,2,98,11.256816650765316
squire,8,392,11.256816650765316
given,1,49,11.256816650765316
of,146,7141,11.25419265066712
so,12,585,11.249437120399719
for,43,2067,11.229164725373458
tried,1,48,11.227069307371265
black,1,48,11.227069307371265
minutes,1,48,11.227069307371265
court,1,48,11.227069307371265
many,1,48,11.227069307371265
pride,1,48,11.227069307371265
years,1,48,11.227069307371265
fine,1,48,11.227069307371265
evening,1,48,11.227069307371265
more,5,238,11.21499647507069
but,20,948,11.208921960661005
scene,1,47,11.196695658327744
whether,2,94,11.196695658327744
eye,1,47,11.196695658327744
bad,1,47,11.196695658327744
you,65,3035,11.187219794764697
nothing,4,185,11.173488267166421
wine,1,46,11.16566876270712
thank,1,46,11.16566876270712
laughter,1,46,11.16566876270712
exclaimed,1,46,11.16566876270712
first,3,136,11.144607147179292
been,9,407,11.141066789474042
suppose,1,45,11.133959902979782
meant,1,45,11.133959902979782
ready,1,45,11.133959902979782
do,10,450,11.133959902979782
statue,1,45,11.133959902979782
now,9,403,11.126817833735762
saw,3,134,11.123233496386725
while,3,134,11.123233496386725
play,1,44,11.101538425287405
spoke,2,88,11.101538425287405
why,4,176,11.101538425287405
speak,3,131,11.090567307466403
better,2,87,11.085050302498836
touch,1,43,11.068371561352206
since,1,43,11.068371561352206
too,4,171,11.059959321536006
jorian,2,85,11.05149774278781
back,3,127,11.045828992701118
yourself,1,42,11.034424229428868
t,12,503,11.031558895734479
just,3,125,11.02292859059104
no,16,658,11.00405058038535
as,35,1437,11.001668136162477
germany,1,41,10.999658811268192
tongue,1,41,10.999658811268192
became,1,41,10.999658811268192
write,1,41,10.999658811268192
be,27,1103,10.994436380078023
through,4,162,10.981956809534733
still,2,81,10.981956809534733
see,8,323,10.977497161344033
which,9,360,10.96403490153747
liked,1,40,10.96403490153747
big,1,40,10.96403490153747
fair,1,40,10.96403490153747
replied,2,80,10.96403490153747
yours,1,40,10.96403490153747
dozen,1,40,10.96403490153747
know,7,279,10.95887319642169
out,14,555,10.951095845829972
life,4,158,10.94588755482721
history,1,39,10.927509025512355
care,1,39,10.927509025512355
pretty,1,39,10.927509025512355
grandada,1,39,10.927509025512355
boy,4,156,10.927509025512355
much,5,194,10.920091553949874
made,5,192,10.905141212483901
everything,1,38,10.890034320093694
across,1,38,10.890034320093694
whole,2,76,10.890034320093694
wait,1,38,10.890034320093694
began,1,38,10.890034320093694
professor,1,38,10.890034320093694
past,1,38,10.890034320093694
further,1,38,10.890034320093694
feet,1,38,10.890034320093694
before,5,189,10.882421135983819
his,58,2183,10.876222226513327
upon,6,224,10.864499227986556
won,3,112,10.864499227986556
great,4,149,10.861275327112269
home,3,111,10.851560172279058
human,1,37,10.851560172279058
hours,1,37,10.851560172279058
look,4,147,10.841779151486472
against,3,110,10.83850401945361
same,2,73,10.831931365530124
whom,2,72,10.81203180809242
along,1,36,10.81203180809242
sum,1,36,10.81203180809242
turned,2,72,10.81203180809242
name,5,179,10.803994489027001
sense,2,71,10.79185392615479
feeling,1,35,10.771389823595074
touched,1,35,10.771389823595074
told,3,105,10.771389823595074
drew,1,35,10.771389823595074
thousand,1,35,10.771389823595074
free,1,35,10.771389823595074
lost,2,70,10.771389823595074
