collocation,collocate_count,total_count,MI
silver,1,198,12.600707434503144
their,6,906,12.209755553748613
must,1,141,12.11090216682233
deemed,1,134,12.03744000488131
nought,1,127,11.960035501195701
its,1,125,11.937135099085623
therewith,1,125,11.937135099085623
our,3,372,11.92554712481041
sun,2,247,11.919718046008212
her,8,969,11.891703669838616
burgdale,1,118,11.853993863785377
ye,3,351,11.84171553400694
set,1,111,11.765766680773643
indeed,1,109,11.739535139200461
told,1,107,11.712817800824684
father,1,107,11.712817800824684
bow,2,213,11.706060434649375
drew,1,105,11.68559633208966
time,2,206,11.657851341606754
little,3,301,11.620007990462081
host,1,100,11.615207004198261
few,1,96,11.556313315144692
where,2,191,11.548779642459284
men,10,955,11.548779642459284
leader,1,93,11.510509625531567
home,1,88,11.430782433060832
road,1,88,11.430782433060832
spear,1,85,11.380741750561238
your,1,85,11.380741750561238
were,14,1184,11.373449257994881
thralls,1,84,11.363668237202296
shalt,1,84,11.363668237202296
burgstead,1,83,11.34639024577046
folk,8,657,11.331100374745866
wild,1,82,11.32890281904162
score,1,81,11.31120081730816
last,2,162,11.31120081730816
through,2,160,11.293278909310898
under,1,78,11.256753033285785
wood,5,387,11.245612475680584
still,1,77,11.238137355118438
held,1,76,11.219278327867121
betwixt,1,74,11.180804180052485
after,2,147,11.1710231592599
clear,1,73,11.161175373303553
bright,1,72,11.141275815865848
waste,1,72,11.141275815865848
behind,1,72,11.141275815865848
sweet,1,71,11.121097933928217
nor,2,141,11.11090216682233
thought,1,69,11.079875271201706
trees,1,69,11.079875271201706
market,1,68,11.058813655673875
she,13,879,11.050630451425848
merry,1,67,11.037440004881308
brought,1,67,11.037440004881308
dalesmen,1,66,11.015744933781988
since,2,131,11.004773815960986
wall,1,65,10.99371862745199
gate,1,64,10.971350814423536
which,5,319,10.966835333301042
wont,1,63,10.948630737923452
stood,3,188,10.940977165380016
needs,1,62,10.92554712481041
wind,1,62,10.92554712481041
till,3,186,10.92554712481041
therefore,1,62,10.92554712481041
make,1,61,10.902088151986423
into,6,365,10.89814096746976
they,30,1811,10.887031049765184
place,3,180,10.878241410032054
kindly,1,60,10.878241410032054
seemed,2,118,10.853993863785377
gods,1,59,10.853993863785377
save,2,114,10.804240828588277
wise,2,114,10.804240828588277
light,1,57,10.804240828588277
before,5,284,10.799169839040855
both,2,112,10.77870573648114
have,11,616,10.77870573648114
sword,3,167,10.770092606176432
above,1,55,10.752710527948196
day,5,272,10.736885560786513
go,3,163,10.735116467933457
them,19,1030,10.731851923050531
hall,6,325,10.730684221618196
women,3,162,10.726238316587004
grey,1,54,10.726238316587004
while,4,214,10.712817800824682
how,4,214,10.712817800824682
upon,3,160,10.708316408589742
things,2,106,10.699271268986735
do,4,211,10.692450003130721
thy,5,263,10.688341708828476
might,9,472,10.684068862343064
ran,1,52,10.671790532564627
may,8,416,10.671790532564627
back,4,207,10.66483777192286
all,16,817,10.645543082569219
shepherds,1,51,10.643776156395031
word,2,102,10.643776156395031
we,16,812,10.63668673160871
it,30,1521,10.635264656539514
way,5,253,10.632416294230483
come,7,353,10.627520265637111
now,13,645,10.604066446593059
thee,11,545,10.602031615450526
iron,2,99,10.600707434503144
four,1,49,10.586060658538745
fain,1,49,10.586060658538745
wilt,2,98,10.586060658538745
within,1,48,10.556313315144692
bid,1,48,10.556313315144692
part,1,48,10.556313315144692
bride,3,144,10.556313315144692
space,1,48,10.556313315144692
on,26,1242,10.549360554502924
about,7,334,10.547700184839984
god,12,567,10.533593238644608
nigh,2,94,10.525939666101173
dale,13,606,10.514085079755395
went,9,419,10.512232246680576
should,4,186,10.510509625531567
wherein,1,46,10.494912770480548
right,2,91,10.479145454622232
vale,3,136,10.473851154952719
hast,3,136,10.473851154952719
shall,11,498,10.47192112785432
toward,3,135,10.46320391075321
wolf,4,180,10.46320391075321
friend,3,135,10.46320391075321
rose,3,135,10.46320391075321
raiment,1,45,10.46320391075321
helm,1,45,10.46320391075321
see,5,224,10.456777641593776
seen,3,134,10.452477504160152
more,5,223,10.450322619456477
battle,4,177,10.438956364506533
mote,2,88,10.430782433060834
world,1,44,10.430782433060834
lead,1,44,10.430782433060834
lay,2,88,10.430782433060834
wend,1,44,10.430782433060834
somewhat,3,131,10.41981131523983
up,11,480,10.418809791394757
ring,2,87,10.414294310272263
when,12,522,10.414294310272263
from,16,695,10.412219982034404
yea,4,173,10.405979042060261
passed,1,43,10.397615569125632
fared,1,43,10.397615569125632
away,3,128,10.38638831370238
longer,1,42,10.363668237202296
bade,1,42,10.363668237202296
east,1,42,10.363668237202296
speech,1,42,10.363668237202296
themselves,1,42,10.363668237202296
down,9,374,10.34832027286886
sister,1,41,10.32890281904162
song,1,41,10.32890281904162
ask,1,41,10.32890281904162
friends,2,82,10.32890281904162
withal,1,41,10.32890281904162
north,1,41,10.32890281904162
are,8,326,10.320078968654613
turned,4,162,10.31120081730816
been,8,323,10.30674116911746
us,10,403,10.304058748064142
