collocation,collocate_count,total_count,MI
more,1,307,14.282289742689063
day,1,271,14.102343938672753
been,1,229,13.859398685415826
way,1,211,13.741294086026068
water,1,208,13.720634615459973
little,2,414,13.713681854818207
must,1,204,13.692620239290378
long,1,199,13.65681951786253
two,1,195,13.627525211068491
other,1,192,13.605157398040037
good,1,178,13.49592832828528
now,5,860,13.44645965202098
am,1,169,13.421074333601066
much,1,167,13.403899189792934
last,1,162,13.360044900203507
wife,1,144,13.190119898761195
wood,2,288,13.190119898761195
are,1,143,13.180066234097273
these,1,141,13.159746249717674
forth,1,139,13.13913597004239
me,7,971,13.136167460680468
made,1,138,13.128719354097052
told,1,138,13.128719354097052
together,1,138,13.128719354097052
take,1,137,13.11822698027941
ye,2,270,13.097010494369714
dear,1,134,13.086284087776654
which,3,398,13.071857017141374
looked,2,263,13.059113886611184
sir,1,131,13.053617898856333
come,3,391,13.04625719390508
nay,1,130,13.042562710347337
after,1,129,13.031422152742136
see,2,256,13.020194897318882
word,1,128,13.020194897318882
hath,1,128,13.020194897318882
she,23,2913,13.004922927402218
eyes,1,126,12.997474820818798
we,7,879,12.992559330404681
on,8,1001,12.987421156154877
friend,1,124,12.974391207705757
gone,1,123,12.96270940265812
tell,2,245,12.956832836321453
forsooth,1,121,12.939058134593475
under,1,117,12.890559616902285
lay,1,116,12.878175892446453
knew,1,115,12.865684948263258
go,2,230,12.865684948263258
ever,1,114,12.853084911483624
found,1,114,12.853084911483624
once,1,114,12.853084911483624
for,13,1472,12.843317135234804
both,1,113,12.840373859734068
thy,4,452,12.840373859734068
mind,1,113,12.840373859734068
all,7,776,12.812752817448404
many,1,110,12.801554610843542
birdalone,9,987,12.797176170332968
us,4,437,12.791684366819482
seemed,1,109,12.78837922209581
their,3,326,12.783960550828805
fear,1,107,12.761661883720029
do,3,320,12.757160491485088
presently,1,106,12.748115351882081
her,31,3268,12.740190855077689
they,10,1054,12.739925954068735
kissed,1,105,12.734440414985004
quest,1,103,12.706695424502099
set,1,101,12.678406380070678
went,4,404,12.678406380070678
land,1,101,12.678406380070678
so,10,1002,12.666933595626729
shall,4,397,12.65319009446184
drew,1,99,12.649551517398491
without,1,98,12.63490474143409
kind,1,98,12.63490474143409
into,4,384,12.605157398040037
dale,1,95,12.59005050564983
till,2,189,12.582437321539954
may,4,370,12.551576357835193
body,1,92,12.543756853375895
hugh,1,91,12.527989537517579
scarce,1,91,12.527989537517579
place,1,90,12.512047993648556
then,9,807,12.506694759154351
three,2,179,12.504010674583137
be,11,980,12.497401217684157
indeed,1,87,12.46313839316761
will,6,520,12.45760020962618
up,5,433,12.456490017158243
save,2,170,12.429585833456583
turned,2,168,12.412512320097644
ere,1,84,12.412512320097644
should,2,167,12.403899189792934
have,8,662,12.390882304126102
done,2,164,12.377746901936966
nigh,1,82,12.377746901936966
unto,3,245,12.371870335600295
fell,2,163,12.36892305154996
brought,1,81,12.360044900203507
make,1,81,12.360044900203507
great,2,161,12.351111775433498
find,1,80,12.342122992206246
again,5,396,12.327623422511127
face,2,158,12.323975645495985
i,27,2127,12.319911713116085
first,2,157,12.31481564621051
arthur,2,156,12.305597116181131
had,12,921,12.282289742689063
at,8,611,12.27522346713761
in,20,1516,12.264320840602613
laughed,1,75,12.249013587814764
my,9,675,12.249013587814764
from,8,593,12.232083191864884
them,9,667,12.231812847061155
called,1,74,12.229648262947832
house,3,221,12.223134955989158
that,31,2283,12.222713731156707
to,48,3529,12.220276111377451
atra,2,147,12.219867242155248
and,135,9873,12.212652112113556
enough,1,73,12.2100194561989
better,1,73,12.2100194561989
upon,2,143,12.180066234097271
over,4,283,12.164853140150763
thee,14,986,12.15828381163919
it,26,1822,12.15106242297984
work,1,70,12.14947791426385
hither,1,70,12.14947791426385
not,16,1117,12.145608367802199
when,9,618,12.121732923780945
somewhat,3,205,12.114712496103172
would,7,474,12.101583224159537
time,3,203,12.100568313782903
wit,1,67,12.086284087776654
if,9,600,12.079088586372452
out,6,399,12.07547733282007
hands,2,132,12.064589016677337
let,2,132,12.064589016677337
about,4,262,12.053617898856333
here,3,196,12.049942240712934
goodly,1,65,12.042562710347337
did,3,194,12.035145238784853
deemed,2,129,12.031422152742136
thing,1,64,12.020194897318882
white,1,64,12.020194897318882
where,2,128,12.020194897318882
toward,2,127,12.00887958409105
but,28,1774,12.005630269562342
against,1,63,11.997474820818798
thine,2,126,11.997474820818798
the,124,7693,11.975329179938841
meet,1,62,11.974391207705757
sat,2,124,11.974391207705757
thus,1,62,11.974391207705757
also,2,123,11.96270940265812
grass,1,61,11.950932234881769
think,1,60,11.9270854929274
put,1,60,11.9270854929274
amidst,1,60,11.9270854929274
aught,1,59,11.902837946680723
wherefore,2,118,11.902837946680723
thou,22,1278,11.88043539962858
right,1,58,11.878175892446453
whereas,2,116,11.878175892446453
man,4,230,11.865684948263258
there,11,632,11.864544026858688
cast,1,57,11.853084911483624
hast,3,171,11.853084911483624
took,3,171,11.853084911483624
well,5,283,11.842925045263401
by,9,496,11.804466206263445
going,1,55,11.801554610843542
ran,1,55,11.801554610843542
hand,5,273,11.791023943351371
said,22,1195,11.783558181549695
him,11,586,11.755520133103833
might,8,425,11.751513928343947
lest,1,53,11.748115351882081
with,18,954,11.748115351882081
held,1,53,11.748115351882081
were,14,734,11.732476228104492
stood,4,209,11.727554029399766
clear,1,52,11.720634615459975
least,1,52,11.720634615459975
wot,1,52,11.720634615459975
lovely,1,52,11.720634615459975
most,1,52,11.720634615459975
down,7,362,11.712685862344484
as,26,1342,11.709924135377975
how,5,257,11.703891351625396
shalt,2,102,11.692620239290378
voice,2,102,11.692620239290378
amongst,1,50,11.664051087093606
along,1,50,11.664051087093606
merry,1,50,11.664051087093606
valley,1,50,11.664051087093606
foot,1,50,11.664051087093606
away,3,149,11.654400917059888
before,6,297,11.649551517398491
hold,2,99,11.649551517398491
half,1,49,11.63490474143409
weary,1,49,11.63490474143409
light,1,48,11.605157398040038
yet,8,378,11.582437321539954
fain,1,47,11.57478374899652
alone,1,47,11.57478374899652
looking,1,47,11.57478374899652
red,3,140,11.564515413542692
such,3,140,11.564515413542692
