collocation,collocate_count,total_count,MI
went,1,154,12.697575020877256
will,1,146,12.620613039062372
again,1,134,12.496877670640128
their,1,121,12.34965171745695
me,3,362,12.345671866544404
them,2,219,12.20557553978353
have,2,216,12.185675982345824
were,2,212,12.158708934745555
from,2,188,11.985377331859993
she,6,556,11.964767052184706
or,2,183,11.946488318466399
it,6,548,11.943858062421725
hand,1,90,11.92264157651203
by,2,180,11.92264157651203
nought,1,84,11.823105902961116
do,1,83,11.80582791152928
thee,4,329,11.792732253917597
day,1,80,11.75271657506972
they,5,390,11.716190699044605
house,1,78,11.716190699044605
him,6,459,11.688176322875009
go,1,74,11.640241845811307
with,5,367,11.628496638138206
how,1,73,11.620613039062372
long,1,73,11.620613039062372
up,2,146,11.620613039062372
here,1,71,11.580535599687039
our,1,70,11.560071497127323
had,4,277,11.544530646231545
son,1,69,11.539312936960524
been,1,69,11.539312936960524
land,1,69,11.539312936960524
folk,1,68,11.518251321432695
like,1,67,11.496877670640128
stood,1,64,11.430788480182356
came,2,127,11.419473166954521
before,2,127,11.419473166954521
even,1,63,11.408068403682272
and,49,3080,11.40479327164941
was,9,565,11.402970536042593
on,6,372,11.38498479056923
should,1,62,11.38498479056923
then,5,300,11.337679075790874
maid,2,119,11.3256062434903
upon,1,59,11.313431529544197
into,2,117,11.30115319976576
man,2,117,11.30115319976576
her,12,700,11.297037091293529
way,1,58,11.288769475309929
might,2,113,11.250967442597544
we,3,169,11.246705415743383
that,14,782,11.234458355432103
shall,3,167,11.229530271935252
while,2,111,11.225204346532461
for,9,490,11.197501417742615
somewhat,1,54,11.185675982345824
now,5,270,11.185675982345824
when,3,162,11.185675982345824
so,7,377,11.181854271393416
two,1,53,11.158708934745555
made,1,53,11.158708934745555
nay,1,52,11.131228198323448
his,9,462,11.112612520156102
am,1,51,11.103213822153851
together,1,51,11.103213822153851
thy,3,153,11.103213822153851
love,1,51,11.103213822153851
may,2,101,11.08899996293415
i,15,757,11.088047374559569
side,1,50,11.07464466995708
nor,1,50,11.07464466995708
hast,1,50,11.07464466995708
of,26,1291,11.064622047348454
thine,1,48,11.015750980903512
night,1,48,11.015750980903512
still,1,48,11.015750980903512
knew,1,47,10.985377331859993
what,4,188,10.985377331859993
he,20,934,10.976139125004655
little,3,140,10.975108996406167
come,3,139,10.964767052184706
whereas,1,46,10.95435043623937
lay,1,46,10.95435043623937
much,1,45,10.922641576512031
deemed,1,45,10.922641576512031
us,2,88,10.890220098819652
tell,2,87,10.873731976031085
to,26,1131,10.873731976031085
than,2,86,10.857053234884454
yea,2,86,10.857053234884454
where,1,43,10.857053234884454
cast,1,43,10.857053234884454
took,1,43,10.857053234884454
lady,3,127,10.834510666233365
this,6,254,10.834510666233365
be,8,332,10.80582791152928
evil,1,41,10.78834048480044
yet,3,123,10.78834048480044
men,2,80,10.752716575069718
god,1,40,10.752716575069718
all,7,278,10.742374630848259
these,1,39,10.716190699044605
there,6,233,10.71001212411548
would,3,113,10.666004941876388
things,1,37,10.640241845811305
walter,8,291,10.61566382309064
life,1,36,10.600713481624668
amongst,1,36,10.600713481624668
king,3,108,10.600713481624668
ways,1,36,10.600713481624668
mind,1,35,10.560071497127321
make,1,35,10.560071497127321
amidst,1,35,10.560071497127321
till,2,69,10.539312936960524
in,15,510,10.518251321432695
thought,1,34,10.518251321432695
shalt,1,34,10.518251321432695
arose,1,33,10.475182599540808
fair,2,66,10.475182599540808
if,6,197,10.467877798917575
body,1,32,10.430788480182356
good,2,64,10.430788480182356
lo,1,32,10.430788480182356
out,4,128,10.430788480182356
the,84,2658,10.41459644667977
an,2,63,10.408068403682272
against,1,31,10.38498479056923
far,1,31,10.38498479056923
away,2,62,10.38498479056923
save,2,61,10.361525817745243
but,22,645,10.304512211855675
at,7,204,10.295858900096247
such,1,29,10.288769475309929
well,3,87,10.288769475309929
wisdom,1,29,10.288769475309929
going,1,29,10.288769475309929
presently,1,29,10.288769475309929
saw,3,87,10.288769475309929
is,11,317,10.279695891684465
other,3,86,10.272090734163298
full,1,28,10.23814340223996
scarce,1,28,10.23814340223996
hall,1,28,10.23814340223996
sword,1,28,10.23814340223996
wot,1,28,10.23814340223996
very,2,55,10.212148193707016
not,15,412,10.210398411757057
thou,16,430,10.178981329771815
as,16,420,10.145033997848477
indeed,1,26,10.131228198323448
told,1,26,10.131228198323448
raiment,1,26,10.131228198323448
master,1,26,10.131228198323448
great,3,77,10.112612520156102
some,3,75,10.07464466995708
pass,1,25,10.07464466995708
though,3,74,10.05527934509015
my,10,246,10.051374890634232
fear,2,49,10.045498324297565
one,5,121,10.027723622569589
s,6,144,10.015750980903512
know,2,47,9.985377331859993
you,2,46,9.95435043623937
withal,1,23,9.95435043623937
white,1,23,9.95435043623937
tale,1,23,9.95435043623937
ye,3,69,9.95435043623937
hard,1,23,9.95435043623937
better,1,22,9.890220098819652
langton,1,22,9.890220098819652
clear,1,22,9.890220098819652
no,8,174,9.873731976031085
last,3,65,9.868193792489654
wind,1,21,9.823105902961116
belike,1,21,9.823105902961116
smiled,1,21,9.823105902961116
home,1,21,9.823105902961116
feet,2,41,9.78834048480044
did,3,61,9.776563317024086
over,4,81,9.77063848306698
right,1,20,9.752716575069718
held,1,20,9.752716575069718
golden,1,20,9.752716575069718
hour,1,19,9.678715993625941
since,2,38,9.678715993625941
voice,2,38,9.678715993625941
see,4,76,9.678715993625941
close,1,19,9.678715993625941
didst,1,19,9.678715993625941
without,2,37,9.640241845811305
said,24,440,9.62718569298586
most,1,18,9.600713481624668
chapter,2,36,9.600713481624668
enough,1,18,9.600713481624668
unto,1,18,9.600713481624668
lovely,1,18,9.600713481624668
mouth,1,18,9.600713481624668
wert,1,18,9.600713481624668
fell,3,53,9.573746434024399
are,3,52,9.54626569760229
who,4,69,9.539312936960526
speak,1,17,9.518251321432695
depart,1,17,9.518251321432695
deem,2,34,9.518251321432695
find,1,17,9.518251321432695
bed,1,17,9.518251321432695
seemed,3,50,9.489682169235925
o,2,33,9.475182599540808
cried,1,16,9.430788480182356
concerning,1,16,9.430788480182356
thence,1,16,9.430788480182356
children,1,16,9.430788480182356
first,4,63,9.408068403682272
heart,5,78,9.394262604157241
beside,1,15,9.337679075790874
quoth,1,15,9.337679075790874
head,3,45,9.337679075790874
nothing,1,15,9.337679075790874
earth,1,15,9.337679075790874
slain,1,15,9.337679075790874
coming,2,30,9.337679075790874
hear,1,15,9.337679075790874
whom,2,30,9.337679075790874
turn,1,15,9.337679075790874
new,2,29,9.288769475309927
a,56,811,9.286991662342025
whose,1,14,9.23814340223996
longer,1,14,9.23814340223996
guile,1,14,9.23814340223996
laughed,2,27,9.185675982345824
sat,3,40,9.167754074348561
spake,6,79,9.149606727638302
surely,1,13,9.131228198323448
arnold,1,13,9.131228198323448
