collocation,collocate_count,total_count,MI
which,1,216,13.04541996025766
waldo,1,194,12.89044530028132
sat,1,171,12.708384972980088
go,1,167,12.674236750568245
back,1,165,12.656854672340007
long,1,158,12.594313206271295
again,1,153,12.547920300786844
look,1,152,12.538459971537778
room,1,151,12.52893719741927
on,6,870,12.470441548109127
away,1,128,12.29053245809419
upon,1,125,12.256316742756278
lyndall,1,122,12.221269795657077
round,1,117,12.160897177677597
still,1,110,12.07189217161885
through,1,110,12.07189217161885
take,1,109,12.058716782871118
world,1,108,12.04541996025766
are,4,431,12.042076517183288
eyes,2,210,12.004777975760314
her,9,939,11.995588804305653
she,10,1032,11.979831618630085
little,5,502,11.9401479171576
thing,1,99,11.919889078173801
off,1,98,11.905242302209398
always,1,98,11.905242302209398
when,5,490,11.905242302209398
two,1,98,11.905242302209398
down,3,276,11.814094414151205
then,4,367,11.810168710937404
small,1,91,11.798327098292889
gone,1,90,11.782385554423866
its,2,175,11.74174356992652
men,1,87,11.733475953942921
going,1,87,11.733475953942921
let,1,87,11.733475953942921
our,2,171,11.708384972980088
boy,2,168,11.682849880872952
head,2,167,11.674236750568245
door,2,164,11.648084462712275
better,1,81,11.630382460978817
came,2,161,11.62144933620881
why,1,79,11.594313206271295
could,2,158,11.594313206271295
we,8,625,11.57824483764364
make,1,78,11.57593467695644
german,2,155,11.56665686336843
now,3,230,11.55106000831741
their,2,152,11.538459971537776
them,5,378,11.530846787427901
way,1,75,11.519351148590072
after,2,146,11.480357016974208
yet,1,72,11.460457459536503
slowly,1,71,11.440279577598874
alone,1,70,11.419815475039158
give,1,69,11.39905691487236
end,1,69,11.39905691487236
into,4,271,11.372681499448063
without,1,67,11.356621648551965
book,1,67,11.356621648551965
boer,1,67,11.356621648551965
father,1,65,11.312900271122647
black,1,65,11.312900271122647
waggon,1,64,11.290532458094193
put,2,127,11.279217144866358
before,3,190,11.275425565703983
from,6,369,11.23304696343343
feel,1,61,11.221269795657077
have,9,545,11.210719876316167
began,1,60,11.19742305370271
evening,1,60,11.19742305370271
hands,2,120,11.19742305370271
went,2,119,11.185350221402135
they,9,534,11.181303388339433
day,3,177,11.173175507456033
might,2,117,11.160897177677596
years,1,58,11.148513453221764
if,5,287,11.133511289882517
another,1,56,11.097887380151796
i,32,1783,11.090623445719187
night,3,167,11.089274249847087
looking,2,111,11.084948324444298
white,2,111,11.084948324444298
hand,3,166,11.08060938871996
out,7,387,11.079367292180997
get,1,55,11.07189217161885
many,1,55,11.07189217161885
together,1,54,11.045419960257659
us,4,214,11.031999444495339
it,32,1704,11.02524207832003
some,3,159,11.018452912657391
added,1,53,11.018452912657391
seen,1,53,11.018452912657391
with,14,730,10.994930189803968
among,1,52,10.990972176235283
much,2,103,10.97703298527741
your,4,205,10.970012557599636
at,14,716,10.966993313300843
kaffir,1,51,10.962957800065688
voice,1,51,10.962957800065688
shall,3,151,10.943974696698115
because,1,50,10.934388647868916
stones,1,50,10.934388647868916
more,3,150,10.934388647868916
and,73,3633,10.927653549629659
him,12,593,10.917458251919038
like,4,196,10.9052423022094
face,3,147,10.9052423022094
felt,1,48,10.875494958815347
quite,1,47,10.845121309771828
up,9,423,10.845121309771828
done,1,47,10.845121309771828
corner,1,47,10.845121309771828
gregory,4,188,10.845121309771828
hat,1,47,10.845121309771828
was,23,1059,10.815457376029515
girl,1,46,10.814094414151205
few,1,46,10.814094414151205
help,1,46,10.814094414151205
earth,1,46,10.814094414151205
