collocation,collocate_count,total_count,MI
peter,1,181,11.593659560485932
t,2,159,10.406696628687085
their,1,75,10.32263236389861
they,3,223,10.309751072601877
me,1,68,10.181276514653067
her,1,64,10.093813673402728
into,1,62,10.048009983789603
little,1,58,9.951794668530301
your,1,56,9.901168595460332
d,1,51,9.766239015374223
came,1,49,9.708523517517937
come,1,44,9.553245292040026
two,1,44,9.553245292040026
men,3,129,9.520078428104826
time,1,43,9.520078428104826
englishman,1,41,9.451365678020812
great,1,40,9.415741768290092
looked,1,39,9.379215892264977
people,1,39,9.379215892264977
you,9,340,9.333279608098119
our,1,36,9.263738674845042
colonial,1,35,9.223096690347695
oh,1,35,9.223096690347695
stranger,3,104,9.209290890822665
camp,1,34,9.181276514653067
after,1,32,9.093813673402728
from,3,93,9.048009983789603
never,1,31,9.048009983789603
under,1,30,9.000704269011248
had,6,176,8.968282791318869
way,1,29,8.951794668530301
women,1,29,8.951794668530301
them,4,115,8.939303724347104
fire,2,57,8.92670368756747
think,1,28,8.901168595460332
ever,1,28,8.901168595460332
niggers,1,28,8.901168595460332
or,3,81,8.848701175566196
good,1,27,8.848701175566196
but,6,157,8.803471921573198
where,2,52,8.79425339154382
it,17,437,8.777840301652988
land,2,51,8.766239015374223
again,1,25,8.737669863177453
how,1,25,8.737669863177453
us,2,49,8.708523517517936
then,4,97,8.693726515589857
these,1,24,8.678776174123884
eyes,1,24,8.678776174123884
if,5,117,8.64225029809877
left,1,23,8.61737562945974
let,1,23,8.61737562945974
night,2,46,8.61737562945974
he,23,527,8.61191086898293
said,9,204,8.596314013931913
get,1,22,8.553245292040025
for,8,175,8.545024785235057
would,4,87,8.536757169251457
before,2,43,8.520078428104826
were,5,107,8.513352564916513
only,2,42,8.48613109618149
across,1,21,8.48613109618149
may,1,21,8.48613109618149
small,1,20,8.41574176829009
right,1,20,8.41574176829009
all,6,119,8.403668935989515
so,3,59,8.391494222043413
my,4,78,8.379215892264977
well,2,39,8.379215892264977
at,7,134,8.352547941802897
gone,1,19,8.341741186846315
dead,1,19,8.341741186846315
of,27,513,8.341741186846315
just,1,19,8.341741186846315
have,9,170,8.333279608098119
up,7,132,8.330852870703579
back,2,37,8.303267039031677
round,2,37,8.303267039031677
out,6,110,8.290210886206232
was,14,254,8.27514343811729
turned,1,18,8.263738674845042
arms,1,18,8.263738674845042
which,4,71,8.243560792907411
got,3,53,8.23677162724477
some,2,35,8.223096690347695
are,5,87,8.214829074364095
like,3,52,8.209290890822665
to,35,604,8.20293539578284
since,1,17,8.181276514653067
dark,1,17,8.181276514653067
work,1,17,8.181276514653067
him,11,187,8.181276514653067
captain,2,34,8.181276514653067
see,2,34,8.181276514653067
say,3,50,8.152707362456297
we,6,100,8.152707362456297
i,24,396,8.138207792761182
what,6,98,8.12356101679678
be,7,114,8.119348765509866
other,3,48,8.093813673402728
not,10,160,8.093813673402728
seen,1,16,8.093813673402728
high,1,16,8.093813673402728
three,1,16,8.093813673402728
seemed,1,16,8.093813673402728
am,1,16,8.093813673402728
do,4,64,8.093813673402728
went,2,31,8.048009983789605
give,2,31,8.048009983789605
and,67,1033,8.040349021810016
through,1,15,8.000704269011248
course,1,15,8.000704269011248
because,2,30,8.000704269011248
large,1,15,8.000704269011248
could,3,45,8.000704269011248
now,3,45,8.000704269011248
young,1,15,8.000704269011248
sun,1,15,8.000704269011248
the,105,1574,7.999787981244092
man,10,148,7.981338944144316
there,8,117,7.964178392986134
hands,2,29,7.951794668530301
his,24,344,7.93511592738367
that,19,271,7.928035201313015
in,22,313,7.92440090169805
when,9,127,7.9125733587325815
water,1,14,7.901168595460332
whose,1,14,7.901168595460332
on,14,196,7.901168595460332
lay,2,27,7.848701175566196
earth,2,27,7.848701175566196
speak,1,13,7.794253391543821
walked,1,13,7.794253391543821
many,1,13,7.794253391543821
with,12,156,7.794253391543821
away,2,26,7.794253391543821
look,1,13,7.794253391543821
children,1,13,7.794253391543821
off,3,38,7.756778686125158
god,2,25,7.7376698631774525
fellows,2,24,7.678776174123885
without,1,12,7.678776174123885
myself,1,12,7.678776174123885
as,11,132,7.678776174123885
among,1,12,7.678776174123885
been,6,72,7.678776174123885
whether,1,12,7.678776174123885
rocks,1,12,7.678776174123885
here,5,59,7.654528627877207
who,10,117,7.64225029809877
an,3,35,7.6381341896265385
while,3,35,7.6381341896265385
go,3,35,7.6381341896265385
own,2,23,7.617375629459742
going,2,23,7.617375629459742
know,5,57,7.604775592680107
í,8,88,7.5532452920400255
fell,1,11,7.5532452920400255
voice,1,11,7.5532452920400255
nothing,2,22,7.5532452920400255
heard,2,22,7.5532452920400255
sea,1,11,7.5532452920400255
tell,2,22,7.5532452920400255
this,8,86,7.520078428104826
asked,3,32,7.508851172681572
make,3,32,7.508851172681572
by,6,64,7.508851172681572
tree,2,21,7.486131096181489
stand,2,21,7.486131096181489
burnt,1,10,7.415741768290091
hut,1,10,7.415741768290091
care,1,10,7.415741768290091
shoot,1,10,7.415741768290091
whom,1,10,7.415741768290091
worked,1,10,7.415741768290091
shares,1,10,7.415741768290091
found,1,10,7.415741768290091
english,1,10,7.415741768290091
first,2,20,7.415741768290091
has,3,30,7.415741768290091
cannot,1,10,7.415741768290091
read,1,10,7.415741768290091
die,1,10,7.415741768290091
ve,4,40,7.415741768290091
still,3,29,7.366832167809144
upon,2,19,7.341741186846314
too,2,19,7.341741186846314
should,5,47,7.326474430193004
can,3,28,7.316206094739176
than,4,37,7.303267039031678
hand,4,36,7.263738674845041
nigger,4,36,7.263738674845041
name,1,9,7.263738674845041
friends,1,9,7.263738674845041
poor,1,9,7.263738674845041
fighting,1,9,7.263738674845041
must,2,18,7.263738674845041
bushes,1,9,7.263738674845041
looking,3,27,7.263738674845041
take,3,27,7.263738674845041
crept,1,9,7.263738674845041
silence,1,9,7.263738674845041
s,23,202,7.228463200097511
country,2,17,7.181276514653067
a,60,493,7.132366914172121
keep,2,16,7.093813673402728
arm,1,8,7.093813673402728
message,1,8,7.093813673402728
fellow,3,24,7.093813673402728
rose,1,8,7.093813673402728
hardly,1,8,7.093813673402728
stars,1,8,7.093813673402728
fallen,1,8,7.093813673402728
heavy,1,8,7.093813673402728
ten,1,8,7.093813673402728
five,1,8,7.093813673402728
sleep,1,8,7.093813673402728
one,15,116,7.044904072921782
stood,3,23,7.032413128738585
big,2,15,7.000704269011247
door,2,15,7.000704269011247
