collocation,collocate_count,total_count,MI
undine,1,492,14.675539626378166
then,1,227,13.559573608329842
do,1,223,13.533925020959229
did,1,205,13.412505220544372
there,2,395,13.35873396410339
its,1,191,13.310453949074674
woman,1,185,13.264406581555237
over,1,169,13.13390455732111
go,1,168,13.125342543817688
long,1,166,13.10806455238585
she,11,1741,13.03929399005273
came,1,150,12.961843811534807
out,2,291,12.91790046394721
come,1,143,12.892896457817317
know,1,139,12.851966193762435
them,2,278,12.851966193762435
how,1,135,12.809840718089758
must,1,135,12.809840718089758
down,2,268,12.799114311496698
head,1,131,12.766448122576376
again,1,129,12.74425237646218
can,1,125,12.698809405701013
i,12,1430,12.629862051983523
white,1,118,12.615668170400768
could,2,229,12.57222890913587
or,2,228,12.565915135203667
made,1,113,12.553204083454112
still,1,112,12.54038004309653
look,1,111,12.527440987389031
her,17,1853,12.501209445815853
love,1,108,12.487912623202394
eyes,2,215,12.481217970628386
me,3,316,12.451843368494874
up,3,316,12.451843368494874
morning,1,105,12.447270638705048
asked,1,104,12.433464839180017
room,1,104,12.433464839180017
night,1,102,12.405450463010421
should,1,102,12.405450463010421
you,9,904,12.3832790820118
snappercaps,1,98,12.347734965154133
herself,1,97,12.332937963226053
away,1,92,12.256587077095938
own,1,90,12.2248782173686
but,7,628,12.22029094787295
looking,1,89,12.208758552005323
on,8,693,12.16973666317614
felt,1,86,12.159289875741024
off,1,84,12.125342543817688
him,6,494,12.096429851902446
say,1,82,12.09057712565701
cousin,1,82,12.09057712565701
half,1,82,12.09057712565701
all,5,397,12.044092223294522
tent,1,79,12.036805869216028
it,17,1335,12.028186306363503
were,5,391,12.022121823458914
will,2,156,12.018427339901175
very,4,311,12.013795891169528
would,5,387,12.007286782295974
which,4,298,11.952193641501088
when,6,445,11.94572414617153
left,1,74,11.942478486667877
evening,1,74,11.942478486667877
door,1,72,11.902950122481238
house,1,71,11.882772240543607
saw,1,71,11.882772240543607
that,16,1119,11.86101944201532
more,3,209,11.855421752398652
mrs,2,134,11.799114311496698
almost,1,67,11.799114311496698
be,7,468,11.796034918564725
now,3,200,11.791918810092495
us,1,66,11.77741924039738
brown,1,66,11.77741924039738
day,2,130,11.75539293406738
tell,1,65,11.75539293406738
lay,2,129,11.74425237646218
while,1,64,11.733025121038926
what,4,255,11.727378557897785
alone,1,63,11.710305044538842
put,1,63,11.710305044538842
so,8,503,11.707439710844453
at,10,626,11.701115873084182
because,1,62,11.687221431425801
used,1,62,11.687221431425801
being,1,61,11.663762458601813
to,37,2237,11.650921296469095
found,1,60,11.639915716647444
men,1,60,11.639915716647444
as,13,773,11.62691000682268
three,1,58,11.591006116166497
cold,1,58,11.591006116166497
other,2,116,11.591006116166497
1,1,57,11.565915135203667
from,5,282,11.550648378550358
and,64,3595,11.544801176365585
told,1,56,11.54038004309653
hair,1,56,11.54038004309653
by,4,221,11.520927680430356
for,13,713,11.51034366934172
sat,3,164,11.505614624935854
soul,1,54,11.487912623202394
under,1,54,11.487912623202394
in,27,1450,11.479974803777754
looked,4,213,11.467734741264765
feel,1,53,11.460945575602125
these,1,52,11.433464839180017
softly,1,52,11.433464839180017
are,4,206,11.419525648222145
mother,1,51,11.405450463010421
seen,1,50,11.37688131081365
children,1,50,11.37688131081365
two,2,99,11.362381741118535
where,2,99,11.362381741118535
close,1,49,11.347734965154133
between,1,48,11.317987621760082
women,1,48,11.317987621760082
hands,2,94,11.287613972716564
father,1,47,11.287613972716564
find,1,47,11.287613972716564
of,42,1967,11.282488940538697
only,5,232,11.269078021279135
they,8,371,11.268300497659729
like,4,185,11.264406581555237
oh,1,46,11.256587077095938
aunt,1,46,11.256587077095938
had,18,821,11.244338531374417
ever,2,91,11.240819761237622
have,9,405,11.2248782173686
help,1,45,11.2248782173686
about,3,135,11.2248782173686
book,1,45,11.2248782173686
he,23,1033,11.222087703846972
one,9,399,11.203345055818959
happy,1,44,11.192456739676222
last,3,132,11.192456739676222
into,5,220,11.192456739676222
some,3,130,11.170430433346224
see,3,129,11.159289875741024
answer,1,43,11.159289875741024
nothing,4,170,11.142416057176629
if,7,296,11.135123564610272
most,1,42,11.125342543817686
else,1,42,11.125342543817686
called,1,42,11.125342543817686
leave,1,42,11.125342543817686
round,2,83,11.108064552385851
heard,1,41,11.09057712565701
even,2,82,11.09057712565701
make,2,81,11.07287512392355
read,1,40,11.054953215926288
dog,1,40,11.054953215926288
said,14,560,11.054953215926288
not,19,743,11.022316008133936
stood,3,117,11.018427339901175
box,1,39,11.018427339901175
wicked,1,39,11.018427339901175
sometimes,1,39,11.018427339901175
with,19,735,11.006698047319068
small,2,77,10.999811661733828
been,6,230,10.993552671262144
strong,1,38,10.980952634482511
never,6,226,10.968241582732958
no,10,372,10.950255837259594
the,127,4718,10.948300137506223
jonathan,2,74,10.942478486667875
heavy,1,37,10.942478486667875
my,7,257,10.9312947481752
here,2,73,10.922849679918944
though,3,106,10.875983074880969
was,36,1271,10.87484843460157
earth,1,35,10.862308137983891
why,2,69,10.841549577817096
knew,2,68,10.820487962289265
gave,1,34,10.820487962289265
m,1,34,10.820487962289265
too,3,101,10.806274103069564
thing,2,67,10.799114311496698
strange,1,33,10.777419240397379
dark,2,66,10.777419240397379
others,1,33,10.777419240397379
quiet,1,33,10.777419240397379
face,5,164,10.768649030769648
might,4,131,10.766448122576376
days,2,65,10.75539293406738
his,25,807,10.745593794541982
broken,1,32,10.733025121038926
grew,1,32,10.733025121038926
is,12,377,10.706483333586434
garden,1,31,10.687221431425801
enough,2,62,10.687221431425801
grandmother,1,31,10.687221431425801
god,2,62,10.687221431425801
walk,1,31,10.687221431425801
an,6,185,10.679444080834083
turned,2,61,10.663762458601813
albert,1,30,10.639915716647444
dear,2,59,10.615668170400767
walked,2,59,10.615668170400767
heart,2,59,10.615668170400767
words,2,59,10.615668170400767
wild,1,29,10.591006116166497
barnacles,1,29,10.591006116166497
devil,1,29,10.591006116166497
back,5,142,10.560844145656246
sleep,1,28,10.54038004309653
place,2,56,10.54038004309653
yet,3,84,10.54038004309653
thought,5,139,10.530038098875071
quite,2,55,10.514384834563586
give,2,55,10.514384834563586
friend,1,27,10.487912623202394
hers,1,27,10.487912623202394
home,2,53,10.460945575602125
first,3,79,10.451843368494872
little,20,526,10.450016015443866
asleep,1,26,10.433464839180017
everything,1,26,10.433464839180017
part,1,26,10.433464839180017
master,1,26,10.433464839180017
themselves,1,26,10.433464839180017
forever,1,26,10.433464839180017
feet,2,52,10.433464839180017
wonder,1,26,10.433464839180017
another,2,52,10.433464839180017
life,5,129,10.422324281574816
mell,2,51,10.405450463010421
six,1,25,10.376881310813651
died,1,25,10.376881310813651
truth,1,25,10.376881310813651
this,8,199,10.369649741582574
