collocation,collocate_count,total_count,MI
well,1,170,12.365268813714888
they,3,416,12.07135509499712
two,1,138,12.064402334355353
man,2,260,11.978245690605638
house,1,127,11.94456256434935
she,1,127,11.94456256434935
forth,1,89,11.431611308543582
first,1,83,11.330917308924109
made,1,83,11.330917308924109
knight,1,80,11.277805972464547
into,2,156,11.241280096439434
how,1,77,11.222664418272085
on,5,376,11.18853863436746
open,1,74,11.165331243206134
still,2,146,11.145702436457201
bennet,1,68,11.043340718827523
night,1,68,11.043340718827523
it,12,804,11.021967068034957
day,1,65,10.97824569060564
then,4,259,10.972686165263738
after,1,64,10.955877877577183
these,2,126,10.933157801077101
door,1,62,10.910074187964058
behind,1,61,10.88661521514007
under,1,59,10.838520926939026
all,5,287,10.79885670936551
were,6,338,10.771794813138213
him,8,449,10.766449512318331
more,3,167,10.75461966933008
which,2,111,10.75029374392729
continued,1,55,10.737237591101843
same,1,55,10.737237591101843
at,8,435,10.720749468313276
set,1,54,10.710765379740652
found,1,53,10.683798332140384
sir,7,367,10.668159208362793
up,3,157,10.665536125747655
against,1,52,10.656317595718276
been,3,153,10.62830321954868
word,1,51,10.62830321954868
its,1,49,10.570587721692393
saw,1,49,10.570587721692393
even,2,97,10.555790719764312
priest,1,48,10.540840378298341
daniel,5,238,10.528767545997765
presently,1,47,10.510466729254823
why,1,47,10.510466729254823
holywood,1,46,10.479439833634197
our,1,46,10.479439833634197
voice,1,46,10.479439833634197
get,1,45,10.44773097390686
hope,1,45,10.44773097390686
and,73,3267,10.43980405813523
out,3,134,10.4370045673138
we,5,222,10.428365649039929
put,1,44,10.415309496214482
bow,1,44,10.415309496214482
most,1,44,10.415309496214482
came,3,130,10.393283189884482
good,6,260,10.393283189884482
went,1,43,10.382142632279281
mass,1,43,10.382142632279281
matcham,3,129,10.382142632279281
other,3,129,10.382142632279281
close,1,43,10.382142632279281
side,2,85,10.365268813714886
much,1,42,10.348195300355945
keep,1,42,10.348195300355945
near,1,42,10.348195300355945
only,1,42,10.348195300355945
fire,1,42,10.348195300355945
little,3,124,10.325111687242904
each,1,41,10.313429882195267
follow,1,40,10.277805972464547
mind,1,40,10.277805972464547
down,4,158,10.259658625754287
tunstall,1,39,10.241280096439432
if,6,234,10.241280096439432
master,3,117,10.241280096439432
to,45,1746,10.23386262487695
where,3,116,10.2288963719836
when,4,154,10.222664418272085
have,9,346,10.220581103771597
time,3,115,10.216405427800403
upon,12,458,10.210119164952973
run,1,38,10.20380539102077
dick,22,829,10.191674550435637
he,33,1240,10.18760816349297
ill,1,37,10.165331243206134
risingham,1,37,10.165331243206134
across,1,37,10.165331243206134
his,28,1031,10.158351572887689
such,1,36,10.125802879019497
sat,1,36,10.125802879019497
drew,1,36,10.125802879019497
wall,1,36,10.125802879019497
shelton,3,107,10.112382363257174
shoreby,2,71,10.105624997081867
now,8,282,10.095429229975979
alone,1,35,10.08516089452215
father,1,35,10.08516089452215
from,9,315,10.08516089452215
blood,1,35,10.08516089452215
me,13,453,10.078805399482327
nay,5,174,10.07689327853855
the,152,5237,10.06247525358295
cried,5,172,10.06021453739192
tell,1,34,10.043340718827523
sun,1,34,10.043340718827523
back,3,101,10.029126859607823
are,7,235,10.02503990208458
come,4,134,10.021967068034957
with,20,663,10.00681484280241
not,15,497,10.006089323530952
began,4,131,9.989300879114634
them,5,162,9.973799785574446
hold,1,32,9.955877877577183
plain,1,32,9.955877877577183
chapter,1,32,9.955877877577183
of,66,2096,9.944906759756181
richard,3,95,9.940770985186976
as,14,442,9.936425514911011
had,20,631,9.935445977672371
both,2,63,9.933157801077101
already,2,62,9.91007418796406
passed,1,31,9.91007418796406
round,1,31,9.91007418796406
along,1,31,9.91007418796406
by,15,460,9.894477332913041
answer,1,30,9.862768473185703
was,30,896,9.85634220402627
will,10,296,9.843403148318771
or,7,207,9.842009913018906
looked,2,59,9.838520926939026
arblaster,1,29,9.813858872704756
arrows,1,29,9.813858872704756
find,1,29,9.813858872704756
few,1,29,9.813858872704756
below,1,29,9.813858872704756
suddenly,1,29,9.813858872704756
sword,1,28,9.763232799634789
seemed,1,28,9.763232799634789
opened,1,28,9.763232799634789
command,1,28,9.763232799634789
over,3,84,9.763232799634789
straight,1,28,9.763232799634789
none,1,28,9.763232799634789
oliver,2,56,9.763232799634789
honour,1,28,9.763232799634789
nothing,1,28,9.763232799634789
leave,1,28,9.763232799634789
in,44,1228,9.758541104310066
moment,2,55,9.737237591101843
foxham,2,55,9.737237591101843
eye,2,55,9.737237591101843
some,6,164,9.728467381474113
there,10,271,9.716098824043694
room,1,27,9.710765379740652
thought,2,54,9.710765379740652
shot,1,27,9.710765379740652
stand,1,27,9.710765379740652
dark,1,27,9.710765379740652
marry,1,27,9.710765379740652
like,6,161,9.701832254970645
said,16,425,9.68719690860225
might,2,53,9.683798332140384
lawless,4,106,9.683798332140384
here,9,238,9.680770639442816
own,3,79,9.674696125033131
my,18,469,9.659396988650249
either,1,26,9.656317595718276
turn,1,26,9.656317595718276
know,2,52,9.656317595718276
almost,1,26,9.656317595718276
best,1,26,9.656317595718276
york,1,26,9.656317595718276
so,11,285,9.65126436799199
this,14,359,9.636362989342631
do,5,128,9.633949782689822
us,4,102,9.62830321954868
take,2,51,9.62830321954868
hour,2,51,9.62830321954868
for,26,658,9.617381933171334
ran,2,50,9.599734067351909
street,1,25,9.599734067351909
soul,1,25,9.599734067351909
many,2,50,9.599734067351909
whether,1,25,9.599734067351909
took,2,50,9.599734067351909
lost,1,25,9.599734067351909
certain,1,25,9.599734067351909
your,12,299,9.594917051054134
one,10,247,9.5823170142745
may,4,98,9.570587721692393
heard,2,49,9.570587721692393
lord,8,195,9.563208191326796
must,3,73,9.560739935736045
y,5,121,9.552813019964416
but,29,697,9.542911728318035
green,1,24,9.540840378298341
silence,1,24,9.540840378298341
shall,8,191,9.533306705612933
last,3,71,9.52066249636071
name,2,47,9.510466729254821
feet,2,47,9.510466729254821
returned,7,162,9.488372958404204
please,1,23,9.479439833634196
carried,1,23,9.479439833634196
too,2,46,9.479439833634196
crossed,1,23,9.479439833634196
favour,1,23,9.479439833634196
answered,3,68,9.458378218106366
ye,32,721,9.449733326818007
about,5,112,9.441304704747425
you,19,425,9.439269395158663
i,53,1185,9.438628766799606
turned,3,67,9.4370045673138
did,3,67,9.4370045673138
never,2,44,9.415309496214482
ale,1,22,9.415309496214482
head,3,66,9.415309496214482
since,1,22,9.415309496214482
myself,1,22,9.415309496214482
fellow,2,44,9.415309496214482
bold,1,22,9.415309496214482
that,29,631,9.39939307743216
any,3,65,9.393283189884482
sea,2,43,9.382142632279281
see,5,107,9.375416769090968
an,13,274,9.35347024239662
lads,2,42,9.348195300355945
fear,1,21,9.348195300355945
better,2,42,9.348195300355945
letter,1,21,9.348195300355945
further,1,21,9.348195300355945
black,3,63,9.348195300355945
appeared,1,21,9.348195300355945
battle,2,42,9.348195300355945
world,1,21,9.348195300355945
alicia,1,21,9.348195300355945
arms,3,62,9.325111687242904
fell,3,62,9.325111687242904
face,4,82,9.313429882195267
himself,4,82,9.313429882195267
body,2,41,9.313429882195267
go,7,140,9.277805972464547
rest,1,20,9.277805972464547
steel,1,20,9.277805972464547
mark,1,20,9.277805972464547
country,1,20,9.277805972464547
heavy,1,20,9.277805972464547
sure,2,39,9.241280096439432
instantly,2,39,9.241280096439432
very,5,97,9.23386262487695
indeed,4,77,9.222664418272085
earl,1,19,9.20380539102077
moved,1,19,9.20380539102077
inquired,1,19,9.20380539102077
life,3,57,9.20380539102077
instant,1,19,9.20380539102077
death,2,38,9.20380539102077
rood,1,19,9.20380539102077
sound,2,38,9.20380539102077
until,1,19,9.20380539102077
though,2,38,9.20380539102077
courage,1,19,9.20380539102077
what,11,206,9.182946786123106
let,5,93,9.173108593797853
again,6,111,9.165331243206134
ship,2,37,9.165331243206134
yet,5,92,9.157511738746834
perhaps,1,18,9.125802879019497
cannot,1,18,9.125802879019497
sore,1,18,9.125802879019497
river,1,18,9.125802879019497
foot,2,36,9.125802879019497
dagger,1,18,9.125802879019497
off,2,36,9.125802879019497
thing,1,18,9.125802879019497
jack,3,53,9.098835831419226
look,3,53,9.098835831419226
tis,2,35,9.08516089452215
arrow,4,69,9.064402334355353
be,26,443,9.04660104799111
pale,1,17,9.043340718827523
companion,1,17,9.043340718827523
arras,1,17,9.043340718827523
than,5,85,9.043340718827523
