collocation,collocate_count,total_count,MI
our,1,172,12.682300889112097
were,2,332,12.631075565756927
two,1,164,12.613588139028085
again,1,161,12.586953012524617
time,1,156,12.54143835327225
catriona,1,150,12.48485482490588
same,1,147,12.455708479246365
thing,1,139,12.374977207133508
man,2,268,12.322125324867773
their,1,131,12.28945913594745
first,1,128,12.256036134410001
own,1,120,12.162926730018519
into,1,117,12.126400853993406
we,4,467,12.123314874119663
too,1,113,12.07621509682519
on,5,528,11.978502158881092
other,1,102,11.928461476381496
did,1,100,11.899892324184727
last,1,97,11.855948976597128
went,1,97,11.855948976597128
them,2,192,11.840998635131156
thought,2,190,11.82589174274095
house,1,92,11.779598090467013
made,2,180,11.747889230739675
asked,1,89,11.731769565376398
out,3,263,11.709992622981146
by,5,437,11.705597509023237
all,5,433,11.692331254249364
she,9,752,11.640699984645327
they,3,244,11.60181097125173
stewart,1,81,11.595886137294624
told,1,81,11.595886137294624
began,1,80,11.577964229297363
it,20,1533,11.516250021181415
way,2,153,11.513423977102653
nothing,1,75,11.484854824905883
not,8,585,11.448328948880768
believe,1,73,11.445860693290019
though,1,73,11.445860693290019
left,1,73,11.445860693290019
perhaps,1,72,11.425961135852313
her,9,638,11.403523746732558
now,3,209,11.378432765769727
saw,1,68,11.34349897566034
mr,3,202,11.329285116440639
found,1,66,11.300430253768454
to,45,2964,11.29751277038616
which,5,328,11.291660044140722
are,4,261,11.283942130979884
had,11,707,11.262170920582102
lord,1,64,11.256036134410001
put,1,63,11.233316057909917
myself,3,189,11.233316057909917
as,10,628,11.228728788414266
being,1,61,11.186773471972886
get,1,60,11.162926730018519
say,2,120,11.162926730018519
would,8,480,11.162926730018519
part,1,60,11.162926730018519
tell,2,119,11.150853897717944
sir,1,59,11.138679183771842
do,4,236,11.138679183771842
what,7,412,11.135181739535614
at,10,588,11.133780384359003
when,4,234,11.126400853993404
where,3,175,11.122284745521172
us,3,175,11.122284745521172
without,1,58,11.114017129537574
here,4,229,11.095239922506945
have,13,744,11.09475522737694
davie,1,57,11.088926148574743
knew,1,57,11.088926148574743
alone,1,57,11.088926148574743
looked,1,56,11.063391056467605
while,1,56,11.063391056467605
door,1,56,11.063391056467605
quite,1,55,11.037395847934661
me,19,1017,10.998212584823916
may,2,107,10.997503120811148
turned,1,53,10.9839565889732
moment,1,53,10.9839565889732
from,5,263,10.97302702881494
word,2,105,10.970281652076125
some,4,209,10.963395266490885
through,1,52,10.956475852551094
you,26,1349,10.953271049217175
down,2,103,10.942536661593218
make,2,103,10.942536661593218
cried,3,154,10.937860174383745
if,7,358,10.932496989616652
him,7,357,10.928461476381496
before,3,152,10.91900114713243
came,3,151,10.909478373013924
friend,2,99,10.885392754489612
brought,1,49,10.870745978525209
my,28,1370,10.868641390200285
i,90,4390,10.864188262503047
says,5,243,10.85892054312842
days,1,48,10.840998635131157
under,1,48,10.840998635131157
come,3,143,10.830944970467234
your,10,466,10.79829418417692
one,6,279,10.795194945518032
let,2,93,10.795194945518032
back,2,92,10.779598090467013
should,4,184,10.779598090467013
because,1,45,10.747889230739675
old,2,89,10.7317695653764
up,4,178,10.7317695653764
leave,1,44,10.715467753047298
thinking,1,44,10.715467753047298
said,18,785,10.702659976746677
and,85,3658,10.683484558021016
was,39,1640,10.6501140150532
letter,1,42,10.648353557188761
so,11,460,10.642094566717079
business,2,83,10.631075565756925
will,10,413,10.624106010942084
against,1,41,10.613588139028085
yourself,2,81,10.595886137294626
for,22,888,10.591020382122808
with,23,922,10.581097118782326
matter,1,40,10.577964229297363
doubt,1,40,10.577964229297363
ay,1,40,10.577964229297363
in,41,1628,10.567369114058165
always,1,39,10.541438353272248
whom,1,39,10.541438353272248
heart,2,78,10.541438353272248
ll,4,154,10.522822675104901
more,10,382,10.511536867558387
prestongrange,2,76,10.503963647853586
side,2,76,10.503963647853586
pleased,1,38,10.503963647853586
better,2,75,10.484854824905883
done,2,75,10.484854824905883
be,25,931,10.474817302194069
new,1,37,10.46548950003895
need,1,37,10.46548950003895
bonny,1,37,10.46548950003895
re,2,74,10.46548950003895
rest,1,37,10.46548950003895
am,7,257,10.454305761546275
only,3,110,10.452433347213503
seemed,3,109,10.43925795846577
small,1,36,10.425961135852313
sea,1,36,10.425961135852313
hear,2,72,10.425961135852313
think,8,286,10.41590747118839
ye,9,318,10.398994088252044
this,16,560,10.385319151354967
cast,1,35,10.385319151354967
know,3,105,10.385319151354967
manner,1,35,10.385319151354967
could,8,277,10.36977830045919
shall,2,69,10.36456059118817
three,2,68,10.34349897566034
find,2,68,10.34349897566034
gentleman,1,34,10.34349897566034
or,8,269,10.327498496966625
good,6,199,10.307698254232493
shame,1,33,10.300430253768454
but,25,825,10.300430253768454
never,5,165,10.300430253768454
an,7,230,10.294171263296771
rather,2,65,10.278403947438456
than,6,195,10.278403947438456
then,6,194,10.270986475875972
chapter,1,32,10.256036134410001
neil,1,32,10.256036134410001
of,90,2870,10.251018059643377
true,1,31,10.210232444796876
second,1,31,10.210232444796876
times,1,31,10.210232444796876
after,3,93,10.210232444796876
simon,1,31,10.210232444796876
clear,1,31,10.210232444796876
ran,1,31,10.210232444796876
great,4,122,10.186773471972886
folk,2,61,10.186773471972886
bass,1,30,10.162926730018519
nae,1,30,10.162926730018519
affair,1,30,10.162926730018519
can,6,178,10.146807064655242
well,7,207,10.142168169851722
upon,12,354,10.138679183771842
suddenly,1,29,10.114017129537574
midst,1,29,10.114017129537574
best,2,58,10.114017129537574
strange,1,29,10.114017129537574
such,3,87,10.114017129537574
day,5,144,10.10403304096495
set,3,86,10.097338388390943
no,14,399,10.088926148574743
much,6,171,10.088926148574743
the,168,4777,10.085607873102507
little,7,198,10.078037832432006
eye,1,28,10.063391056467605
air,1,28,10.063391056467605
speak,2,56,10.063391056467605
thoughts,1,28,10.063391056467605
that,56,1557,10.053234441431433
there,18,500,10.051895417629774
alan,8,222,10.050452000760107
his,20,549,10.034770378527837
affairs,1,27,10.01092363657347
both,2,54,10.01092363657347
help,1,27,10.01092363657347
love,1,27,10.01092363657347
strong,1,27,10.01092363657347
home,1,27,10.01092363657347
he,40,1071,9.998850804272895
is,27,718,9.988988666069584
been,7,185,9.980062672868709
ever,2,52,9.956475852551094
justice,1,26,9.956475852551094
answer,1,26,9.956475852551094
whether,1,26,9.956475852551094
captain,1,26,9.956475852551094
story,1,26,9.956475852551094
till,2,51,9.928461476381496
coming,1,25,9.899892324184725
ah,1,25,9.899892324184725
hang,1,25,9.899892324184725
highland,1,25,9.899892324184725
might,5,124,9.888304349909513
indeed,3,74,9.880526999317794
sat,2,49,9.870745978525209
mere,1,24,9.840998635131157
half,1,24,9.840998635131157
eyes,2,48,9.840998635131157
ken,2,48,9.840998635131157
forth,2,48,9.840998635131157
family,1,24,9.840998635131157
its,1,24,9.840998635131157
rose,1,24,9.840998635131157
wish,1,24,9.840998635131157
change,1,24,9.840998635131157
fall,1,24,9.840998635131157
suppose,2,47,9.810624986087639
window,1,23,9.779598090467013
fact,1,23,9.779598090467013
lost,1,23,9.779598090467013
hard,2,46,9.779598090467013
something,2,46,9.779598090467013
paper,1,23,9.779598090467013
look,3,68,9.758536474939184
less,2,45,9.747889230739675
gone,2,44,9.715467753047298
wood,1,22,9.715467753047298
case,2,44,9.715467753047298
person,1,22,9.715467753047298
sight,1,22,9.715467753047298
off,2,44,9.715467753047298
french,1,22,9.715467753047298
close,2,44,9.715467753047298
sure,3,65,9.6934414467173
enough,3,65,9.6934414467173
world,2,43,9.6823008891121
talk,2,43,9.6823008891121
about,7,149,9.66784973281456
maybe,1,21,9.648353557188761
weary,1,21,9.648353557188761
james,9,189,9.648353557188761
altogether,1,21,9.648353557188761
see,11,226,9.616783478187891
either,2,41,9.613588139028083
behind,2,41,9.613588139028083
very,16,326,9.604764288641078
able,1,20,9.577964229297363
drew,1,20,9.577964229297363
position,1,20,9.577964229297363
within,1,20,9.577964229297363
body,1,20,9.577964229297363
try,2,40,9.577964229297363
wrong,1,20,9.577964229297363
blood,1,20,9.577964229297363
sun,1,20,9.577964229297363
must,9,179,9.569926910231946
ill,3,59,9.553716683050686
turn,1,19,9.503963647853586
dark,1,19,9.503963647853586
miller,1,19,9.503963647853586
kind,5,94,9.488696891200277
many,2,37,9.46548950003895
sound,2,37,9.46548950003895
stood,4,73,9.445860693290019
between,2,36,9.425961135852313
david,5,90,9.425961135852313
appeared,2,36,9.425961135852313
walking,1,18,9.425961135852313
mair,1,18,9.425961135852313
corner,1,18,9.425961135852313
maid,1,18,9.425961135852313
sense,2,36,9.425961135852313
long,5,89,9.409841470489036
neither,2,35,9.385319151354967
called,2,35,9.385319151354967
character,2,35,9.385319151354967
just,7,121,9.36754444962699
yet,7,121,9.36754444962699
does,1,17,9.34349897566034
wi,2,34,9.34349897566034
wonder,1,17,9.34349897566034
top,1,17,9.34349897566034
fraser,1,17,9.34349897566034
boat,3,51,9.34349897566034
arms,1,17,9.34349897566034
pretty,3,50,9.314929823463569
tam,2,33,9.300430253768454
looking,2,33,9.300430253768454
right,3,49,9.285783477804053
breck,1,16,9.256036134410001
reason,1,16,9.256036134410001
spoken,1,16,9.256036134410001
danger,1,16,9.256036134410001
daft,1,16,9.256036134410001
fit,1,16,9.256036134410001
east,1,16,9.256036134410001
ve,1,16,9.256036134410001
muckle,1,16,9.256036134410001
truth,2,32,9.256036134410001
save,1,16,9.256036134410001
present,1,16,9.256036134410001
clerk,1,16,9.256036134410001
child,1,16,9.256036134410001
hands,4,63,9.233316057909917
whole,3,47,9.225662485366483
himself,4,62,9.210232444796876
open,2,31,9.210232444796876
scarce,5,77,9.20089458021754
officer,1,15,9.162926730018519
whig,1,15,9.162926730018519
forgotten,1,15,9.162926730018519
die,1,15,9.162926730018519
innocent,1,15,9.162926730018519
past,1,15,9.162926730018519
goes,1,15,9.162926730018519
cries,3,45,9.162926730018519
scots,1,15,9.162926730018519
longer,1,15,9.162926730018519
has,8,119,9.150853897717944
a,170,2506,9.13781589759416
o,6,87,9.114017129537572
money,2,29,9.114017129537572
heard,4,57,9.088926148574743
god,4,56,9.063391056467605
following,1,14,9.063391056467605
vain,1,14,9.063391056467605
certainly,1,14,9.063391056467605
seen,4,56,9.063391056467605
afraid,1,14,9.063391056467605
direction,1,14,9.063391056467605
red,2,28,9.063391056467605
twice,1,14,9.063391056467605
pocket,1,14,9.063391056467605
colour,1,14,9.063391056467605
s,50,685,9.032140122483165
hat,1,13,8.956475852551094
arm,1,13,8.956475852551094
sister,1,13,8.956475852551094
marry,1,13,8.956475852551094
given,2,26,8.956475852551094
bright,1,13,8.956475852551094
like,27,351,8.956475852551094
none,3,39,8.956475852551094
life,4,52,8.956475852551094
plain,4,51,8.928461476381496
any,8,100,8.899892324184725
horse,2,25,8.899892324184725
mind,7,86,8.874945967054495
campbells,1,12,8.840998635131157
different,2,24,8.840998635131157
porter,1,12,8.840998635131157
master,1,12,8.840998635131157
nor,5,60,8.840998635131157
fire,2,24,8.840998635131157
happy,1,12,8.840998635131157
pay,1,12,8.840998635131157
laid,1,12,8.840998635131157
dead,1,12,8.840998635131157
law,2,23,8.779598090467013
wife,2,23,8.779598090467013
already,4,45,8.747889230739675
bare,1,11,8.715467753047298
bad,1,11,8.715467753047298
brave,2,22,8.715467753047298
leith,1,11,8.715467753047298
admire,1,11,8.715467753047298
guid,1,11,8.715467753047298
foot,2,22,8.715467753047298
deil,1,11,8.715467753047298
catch,1,11,8.715467753047298
wee,1,11,8.715467753047298
write,1,11,8.715467753047298
hae,1,11,8.715467753047298
prove,2,22,8.715467753047298
who,10,107,8.675575025923786
honour,2,21,8.648353557188761
want,2,21,8.648353557188761
every,2,21,8.648353557188761
father,12,122,8.601810971251732
persons,1,10,8.577964229297363
served,1,10,8.577964229297363
clean,2,20,8.577964229297363
suffer,1,10,8.577964229297363
lee,1,10,8.577964229297363
presence,1,10,8.577964229297363
