collocation,collocate_count,total_count,MI
see,1,142,11.905990364405978
our,1,139,11.875184317624804
about,1,133,11.811525680402486
ship,1,116,11.61422424002887
sea,1,110,11.537602958425955
back,1,108,11.511130747064765
squire,1,106,11.484163699464496
first,1,99,11.385599864980906
which,1,97,11.356156087088424
him,3,291,11.356156087088424
we,5,479,11.338196995750113
way,1,94,11.310832096578935
lay,1,89,11.231976675867694
much,1,87,11.199186740750024
take,1,84,11.148560667680057
house,1,84,11.148560667680057
they,3,249,11.131282676248222
ve,1,75,10.985061935397177
sure,1,73,10.946067803781313
through,1,67,10.822332435359069
found,1,66,10.80063736425975
livesey,1,63,10.733523168401213
just,1,63,10.733523168401213
were,5,311,10.715085920144537
went,1,62,10.710439555288172
same,1,62,10.710439555288172
himself,1,61,10.686980582464184
treasure,1,60,10.663133840509815
into,2,119,10.65106100820924
n,1,59,10.638886294263138
even,1,56,10.5635981669589
saw,1,55,10.537602958425957
from,4,219,10.53103030450247
hispaniola,1,53,10.484163699464496
over,2,105,10.470488762567419
far,1,51,10.428668586872792
upon,3,152,10.419208257623726
heard,1,50,10.40009943467602
door,1,50,10.40009943467602
down,3,148,10.38073410980909
hear,1,49,10.370953089016504
day,1,49,10.370953089016504
end,1,48,10.341205745622453
will,1,48,10.341205745622453
myself,1,48,10.341205745622453
what,4,184,10.27980520095831
place,1,46,10.27980520095831
let,1,46,10.27980520095831
only,2,91,10.264037885099992
thing,1,45,10.248096341230971
can,2,90,10.248096341230971
ran,1,45,10.248096341230971
fell,1,45,10.248096341230971
came,2,89,10.231976675867694
open,1,44,10.215674863538593
side,2,88,10.215674863538593
gone,1,44,10.215674863538593
give,1,44,10.215674863538593
time,3,131,10.204703745717591
set,1,43,10.182507999603393
in,23,971,10.156008774263475
kept,1,42,10.148560667680057
boy,1,42,10.148560667680057
mother,1,42,10.148560667680057
round,2,83,10.131282676248222
her,3,123,10.11379524951938
hand,3,122,10.102018081743026
head,2,80,10.078171339788659
still,3,120,10.078171339788659
great,2,79,10.0600239930784
thought,2,79,10.0600239930784
mind,1,39,10.041645463763544
off,2,78,10.041645463763544
these,2,78,10.041645463763544
well,4,156,10.041645463763544
two,3,116,10.029261739307714
stood,1,38,10.004170758344882
so,7,266,10.004170758344882
keep,1,38,10.004170758344882
got,2,75,9.985061935397177
going,1,37,9.965696610530246
fire,1,37,9.965696610530246
enough,2,74,9.965696610530246
had,20,739,9.963745704160086
some,3,110,9.9526404577048
all,10,361,9.930170176901106
each,1,36,9.92616824634361
right,2,72,9.92616824634361
hands,3,107,9.912747730581287
have,8,282,9.89579459730009
poor,1,35,9.885526261846264
six,1,35,9.885526261846264
heart,1,35,9.885526261846264
and,83,2886,9.87605939804557
little,3,104,9.871720462321232
sir,3,102,9.843706086151636
hill,1,34,9.843706086151636
find,1,34,9.843706086151636
glass,1,34,9.843706086151636
sound,1,34,9.843706086151636
to,45,1524,9.838037336064943
t,7,237,9.837631571741952
towards,1,33,9.80063736425975
life,1,33,9.80063736425975
his,20,653,9.785254331560365
why,2,65,9.77861105792975
it,24,778,9.774907089166332
jim,3,97,9.771193586367268
near,1,32,9.756243244901295
