collocation,collocate_count,total_count,MI
castlewood,1,553,14.866281207146335
lady,2,594,13.969464657712395
prince,1,266,13.81042797241282
frank,1,214,13.496612523312777
our,2,423,13.479659390031578
duke,1,209,13.462504668992512
how,1,206,13.441646064094847
man,2,352,13.214577155548927
general,1,172,13.181410291613727
beatrix,2,330,13.121467751157446
those,1,165,13.121467751157446
we,3,463,13.02505141945071
did,2,306,13.012533379604282
knew,1,152,13.003073050355216
father,2,294,12.954817881747994
where,2,291,12.940020879819912
she,9,1287,12.915016873690018
sir,1,137,12.853177619872154
place,1,137,12.853177619872154
day,2,270,12.831961133962459
head,1,134,12.821234727369403
men,1,134,12.821234727369403
long,1,133,12.81042797241282
home,1,132,12.799539656270083
two,2,263,12.79406452620393
found,1,131,12.788568538449079
wife,1,130,12.777513349940085
enough,1,128,12.75514553691163
were,6,765,12.749498973770487
made,2,252,12.732425460411545
mistress,2,252,12.732425460411545
quite,1,122,12.685882874474515
once,1,122,12.685882874474515
london,1,120,12.662036132520148
got,1,117,12.625510256495033
after,3,341,12.583810965214646
friends,1,112,12.562500458969234
three,1,110,12.536505250436289
before,3,321,12.496612523312777
pretty,1,106,12.48306599147483
colonel,2,211,12.476244725618812
never,3,314,12.4648037850821
come,2,209,12.462504668992512
child,1,103,12.441646064094847
at,14,1442,12.441646064094847
st,1,102,12.427570878883126
my,17,1728,12.422570197824758
other,3,304,12.418110549634058
people,1,101,12.413357019663422
ladyship,1,100,12.399001726686354
between,1,98,12.369855381026838
used,1,98,12.369855381026838
it,14,1372,12.369855381026838
still,1,95,12.325001145242576
church,1,94,12.309734388589264
house,3,281,12.3046093564114
years,2,181,12.254991423994834
lord,11,991,12.24845516546082
through,1,89,12.230878967878027
about,3,266,12.225465471691663
steele,1,88,12.214577155548927
her,23,2018,12.210294039960973
daughter,1,86,12.181410291613727
god,1,86,12.181410291613727
henry,1,85,12.164536473049331
english,1,85,12.164536473049331
seen,1,84,12.147462959690388
away,3,251,12.141726590141245
dear,2,167,12.13884982938568
next,1,83,12.130184968258554
family,2,165,12.121467751157446
asked,1,81,12.094995539796253
now,4,317,12.063484567051036
king,4,316,12.05892628508873
boy,2,158,12.05892628508873
us,3,236,12.052826085552315
had,23,1807,12.050964371719216
esmond,16,1245,12.037075563867074
him,19,1473,12.031759738503894
though,3,231,12.02193207760653
thousand,1,77,12.02193207760653
an,5,385,12.02193207760653
shall,2,153,12.01253337960428
right,1,76,12.003073050355214
small,1,76,12.003073050355214
doubt,1,75,11.98396422740751
lordship,1,75,11.98396422740751
present,1,75,11.98396422740751
yet,1,75,11.98396422740751
brought,2,149,11.974314057373789
up,5,371,11.96849281864507
together,1,74,11.964598902540578
