collocation,collocate_count,total_count,MI
home,1,273,13.432041665597328
way,1,254,13.32796921144964
two,2,472,13.221927574039317
day,2,469,13.212728637192852
people,1,233,13.203470669331756
again,1,228,13.172174538842217
their,3,680,13.16371296009402
put,1,216,13.094172026840942
told,1,208,13.039724242818567
laura,3,587,12.951538717066372
these,2,384,12.92424702539863
gentlemen,1,185,12.870665985193787
ladies,1,173,12.773912752314201
blanche,2,344,12.765549279379572
happy,1,172,12.765549279379572
until,1,156,12.624686743539725
them,4,622,12.620055294808077
next,1,148,12.548737890306423
few,1,143,12.499155861455863
fellow,2,284,12.489031644182157
person,1,141,12.478835877076268
where,3,418,12.461681156037201
deal,1,139,12.45822559740098
her,24,3309,12.446501600268858
off,2,273,12.432041665597328
lady,6,798,12.394566960178663
manner,1,133,12.394566960178663
right,1,129,12.35051178010073
present,1,125,12.305068809339563
o,1,124,12.29348083506435
church,1,119,12.234102287985419
boy,3,356,12.230055454922717
bell,1,116,12.197265519805047
harry,1,115,12.184774575621852
ye,1,115,12.184774575621852
asked,3,341,12.16794995298049
mamma,1,113,12.159463487092662
dear,3,338,12.155201460238501
girl,2,223,12.140184424597779
marry,1,111,12.133700391027581
taken,1,111,12.133700391027581
inn,1,110,12.120644238202136
miss,6,658,12.11626579769156
latter,1,108,12.094172026840942
once,2,215,12.087477374266935
helen,2,215,12.087477374266935
everybody,1,104,12.039724242818567
room,4,414,12.0327714821768
francis,2,206,12.025785051860693
door,2,205,12.01876462418292
while,1,102,12.011709866648971
glass,1,102,12.011709866648971
hundred,1,101,11.997496007429271
laughed,1,100,11.9831407144522
without,2,199,11.975909145221122
pleased,1,99,11.968641144757084
means,1,99,11.968641144757084
box,1,99,11.968641144757084
which,23,2273,11.966104537438309
window,1,97,11.939197366864601
marriage,1,96,11.92424702539863
soon,1,96,11.92424702539863
books,1,95,11.909140133008423
part,2,188,11.893873376355113
began,2,188,11.893873376355113
years,2,186,11.878443335785507
acquaintance,1,93,11.878443335785507
myself,1,93,11.878443335785507
child,1,93,11.878443335785507
d,2,185,11.870665985193787
some,6,553,11.865457694191024
read,2,184,11.862846480734488
mother,5,456,11.850246443954854
brought,2,182,11.84707916487617
french,1,90,11.831137621007148
didn,1,90,11.831137621007148
appearance,1,90,11.831137621007148
fanny,3,269,11.825784386512941
times,1,89,11.81501795564387
eyes,3,266,11.809604459457509
go,5,439,11.79543355932547
chevalier,1,87,11.782228020526203
time,5,435,11.782228020526203
madame,1,87,11.782228020526203
its,2,173,11.7739127523142
yourself,1,86,11.765549279379572
likely,1,86,11.765549279379572
general,1,86,11.765549279379572
friends,2,171,11.757137039563373
mrs,7,597,11.753516723884676
public,1,84,11.731601947456234
all,12,1003,11.7244279145685
taking,1,83,11.7143239560244
she,28,2319,11.711216707265875
were,13,1072,11.704933996994153
place,4,329,11.701228298412717
god,1,82,11.69683652929556
between,2,164,11.69683652929556
continued,1,82,11.69683652929556
rather,3,244,11.685059361519205
then,4,325,11.68358043259329
five,1,81,11.6791345275621
hair,1,81,11.6791345275621
dinner,3,241,11.66721136018628
house,5,401,11.664814856245034
amory,3,240,11.661212619564836
major,10,798,11.657601366012457
wanted,1,79,11.643065272854578
men,4,311,11.620055294808077
night,4,309,11.61074755258185
hand,4,309,11.61074755258185
back,4,309,11.61074755258185
understand,1,77,11.606071065372376
regarding,1,77,11.606071065372376
daughter,2,154,11.606071065372376
because,2,152,11.58721203812106
talked,1,75,11.568103215173355
john,1,75,11.568103215173355
doctor,3,225,11.568103215173355
over,7,523,11.562596738866812
coming,1,74,11.548737890306425
huxter,2,146,11.529109083557492
behind,1,73,11.529109083557492
servant,1,73,11.529109083557492
come,6,433,11.512545238683042
got,3,215,11.50251487354578
clavering,9,639,11.489031644182155
use,1,71,11.489031644182155
nobody,1,71,11.489031644182155
days,2,142,11.489031644182155
since,2,141,11.478835877076268
yes,2,141,11.478835877076268
going,3,211,11.475421212663504
late,1,70,11.468567541622441
both,2,137,11.437316607638001
they,13,887,11.431635100837447
kind,3,204,11.426747365927813
hour,1,68,11.426747365927813
country,3,203,11.419657941141494
fine,2,135,11.416100121728306
horse,1,67,11.405373715135248
against,2,134,11.405373715135248
quite,3,201,11.405373715135248
three,3,199,11.390946644499968
face,4,264,11.383678644035928
except,1,66,11.383678644035928
pair,1,66,11.383678644035928
arthur,11,723,11.377704742991295
our,6,391,11.365346821263671
did,9,586,11.36411637765741
mine,1,65,11.36165233770593
wouldn,1,65,11.36165233770593
uncle,3,193,11.3467790612244
among,1,64,11.339284524677474
open,1,64,11.339284524677474
ten,1,64,11.339284524677474
afterwards,1,64,11.339284524677474
him,34,2155,11.325293837403596
gentleman,8,507,11.325126461680815
heard,3,190,11.324177632287267
after,8,505,11.319424102316631
seeing,1,63,11.316564448177392
call,2,126,11.316564448177392
conversation,2,126,11.316564448177392
reader,1,63,11.316564448177392
shepherd,1,63,11.316564448177392
least,2,126,11.316564448177392
pen,31,1946,11.311384209071711
don,7,438,11.306716662221044
those,5,311,11.298127199920716
letters,2,124,11.293480835064349
history,1,62,11.293480835064349
pounds,1,62,11.293480835064349
gad,1,62,11.293480835064349
parliament,1,62,11.293480835064349
little,16,986,11.284728361055386
called,3,183,11.27002186224036
question,1,61,11.27002186224036
generous,1,61,11.27002186224036
lived,1,61,11.27002186224036
so,20,1211,11.259339579484442
thank,1,60,11.246175120285994
at,49,2932,11.24224406869608
felt,2,119,11.234102287985419
had,53,3134,11.225153534586855
fell,1,59,11.221927574039317
affairs,1,59,11.221927574039317
captain,7,411,11.214924186301554
eager,1,58,11.197265519805047
showed,1,58,11.197265519805047
thing,2,115,11.18477457562185
upon,11,628,11.174473654931806
number,1,57,11.172174538842215
low,1,57,11.172174538842215
lost,1,57,11.172174538842215
bed,2,114,11.172174538842215
opened,1,57,11.172174538842215
cab,1,57,11.172174538842215
something,2,113,11.159463487092662
strong,6,338,11.155201460238503
man,16,901,11.154667820491014
pretty,4,225,11.153065715894511
story,2,112,11.14663944673508
already,1,56,11.14663944673508
carried,1,56,11.14663944673508
spirits,1,56,11.14663944673508
out,19,1060,11.141205560684451
came,8,446,11.14018442459778
black,2,111,11.133700391027581
table,3,166,11.129361455303243
also,1,55,11.120644238202134
other,11,604,11.118257645365256
heart,5,273,11.110113570709965
wine,2,109,11.107468849454401
reason,1,54,11.094172026840942
widow,3,162,11.094172026840942
coat,1,54,11.094172026840942
cigar,1,54,11.094172026840942
sight,1,54,11.094172026840942
perhaps,4,215,11.087477374266935
laugh,2,107,11.080751511078622
set,2,107,11.080751511078622
nephew,2,107,11.080751511078622
passed,3,160,11.076250118843681
here,6,319,11.071734637721187
in,115,6103,11.06909734880649
blue,1,53,11.067204979240675
chair,1,53,11.067204979240675
end,2,106,11.067204979240675
went,7,369,11.059406608680266
never,9,473,11.055055896574558
party,2,105,11.053530042343597
up,16,838,11.050090958376826
warrington,8,416,11.039724242818567
death,1,52,11.039724242818567
full,2,104,11.039724242818567
others,1,52,11.039724242818567
towards,2,104,11.039724242818567
just,3,156,11.039724242818567
easy,1,52,11.039724242818567
baymouth,1,52,11.039724242818567
spoke,2,103,11.025785051860694
foker,8,412,11.025785051860694
wrote,2,103,11.025785051860694
by,27,1389,11.024227906495398
there,19,976,11.022094348796776
given,2,102,11.011709866648971
sometimes,1,51,11.011709866648971
neither,1,51,11.011709866648971
from,23,1163,10.99935795009368
chatteris,2,101,10.99749600742927
and,315,15811,10.9887175027084
waiting,1,50,10.9831407144522
presently,1,50,10.9831407144522
tea,1,50,10.9831407144522
somebody,1,50,10.9831407144522
london,5,250,10.9831407144522
beauty,1,50,10.9831407144522
money,6,298,10.97349054441848
been,19,942,10.970940260846673
take,7,347,10.970721455198133
humour,2,99,10.968641144757084
brother,2,99,10.968641144757084
anxious,1,49,10.953994368792683
occupied,1,49,10.953994368792683
hold,1,49,10.953994368792683
knowing,1,49,10.953994368792683
when,24,1174,10.951538717066372
took,6,292,10.944146582836336
name,5,243,10.942168933395893
duke,1,48,10.924247025398632
hope,2,96,10.924247025398632
gone,3,144,10.924247025398632
try,1,48,10.924247025398632
pound,1,48,10.924247025398632
ran,1,48,10.924247025398632
us,6,287,10.919228950632007
society,3,143,10.914193360734707
with,78,3687,10.902114006909045
air,2,94,10.893873376355112
stage,1,47,10.893873376355112
wrong,1,47,10.893873376355112
pray,1,47,10.893873376355112
along,1,47,10.893873376355112
hardly,1,47,10.893873376355112
affair,1,47,10.893873376355112
knees,1,47,10.893873376355112
third,1,47,10.893873376355112
begum,1,47,10.893873376355112
almost,3,141,10.893873376355112
much,11,517,10.893873376355112
together,2,93,10.878443335785505
it,69,3199,10.87416534501498
on,35,1614,10.866426371010288
words,2,92,10.862846480734486
need,1,46,10.862846480734486
although,1,46,10.862846480734486
kept,2,92,10.862846480734486
remember,2,92,10.862846480734486
liked,2,91,10.84707916487617
arm,2,91,10.84707916487617
pendennis,21,954,10.844812557904227
well,10,454,10.843904917081026
long,5,227,10.843904917081026
about,19,860,10.839549860823348
round,4,181,10.83913041176068
gave,4,181,10.83913041176068
goes,1,45,10.83113762100715
selfish,1,45,10.83113762100715
walked,2,90,10.83113762100715
blush,1,45,10.83113762100715
somewhat,1,45,10.83113762100715
yet,4,180,10.83113762100715
dead,1,45,10.83113762100715
steyne,1,45,10.83113762100715
say,10,450,10.83113762100715
having,5,224,10.824711351847716
master,3,134,10.82041121441409
found,5,223,10.818256329710417
club,2,89,10.815017955643873
white,2,89,10.815017955643873
beautiful,2,89,10.815017955643873
saw,5,222,10.81177229614022
mentioned,1,44,10.798716143314772
