collocation,collocate_count,total_count,MI
back,1,292,14.193297277346275
aunt,1,286,14.163344055244648
men,1,263,14.04239170775856
esmond,2,494,13.951839950050935
george,4,986,13.94891655484417
heard,1,240,13.910363314074775
they,5,1193,13.901922951274123
king,1,229,13.842676506563201
friends,1,226,13.823651680881447
son,1,219,13.778259778067431
company,1,217,13.765023950910736
found,1,213,13.738182338692097
boy,1,211,13.724571907173443
going,1,209,13.710831850547141
which,9,1873,13.704682901266992
come,2,416,13.70391243660735
mother,3,620,13.694634623019338
time,2,408,13.675898060437754
new,1,198,13.632829338545866
over,3,588,13.618182562581467
word,1,195,13.61080303221587
between,1,192,13.588435219187415
miles,1,192,13.588435219187415
course,1,191,13.580901546502007
pretty,1,187,13.550367178353895
sister,1,184,13.527034674523271
whose,1,182,13.511267358664954
brought,1,180,13.495325814795933
even,1,177,13.471078268549256
child,1,176,13.462904337103556
lady,5,872,13.449728948355821
mrs,2,336,13.395790141245019
baroness,1,158,13.30725346664336
been,7,1102,13.302026304979812
madam,3,468,13.288874937328506
take,2,311,13.284243488596863
won,1,153,13.26086056115891
morning,1,153,13.26086056115891
miss,2,302,13.241877457791336
fine,1,150,13.232291408962139
leave,1,150,13.232291408962139
her,22,3291,13.228351410953309
cries,2,297,13.217791839267024
here,3,444,13.212926084095209
their,7,1032,13.207345051831908
right,1,146,13.193297277346275
home,3,419,13.129316651444453
cards,1,139,13.122413791189766
set,1,138,13.111997175244428
jack,1,137,13.101504801426785
together,1,135,13.080288315517087
we,11,1478,13.073471653975112
she,16,2140,13.066867799754768
wish,1,132,13.047866837824712
mountain,1,132,13.047866837824712
face,2,259,13.020281006152812
eyes,2,255,12.997826155325116
took,2,255,12.997826155325116
whilst,1,127,12.992157405238425
half,1,127,12.992157405238425
off,2,253,12.986466293160568
father,2,250,12.969257003128345
it,20,2461,12.946573566037054
know,5,614,12.943639468949076
make,2,245,12.940110657468828
where,3,367,12.938146470588315
upon,4,483,12.919352097302031
got,1,120,12.910363314074775
heart,2,240,12.910363314074775
herself,1,119,12.8982904817742
pay,1,119,12.8982904817742
general,3,354,12.886115767828098
hetty,2,235,12.879989665031259
have,19,2227,12.876431047810462
certain,1,116,12.861453713593828
ah,1,115,12.848962769410633
get,1,115,12.848962769410633
now,5,574,12.846451550254585
those,3,342,12.836362732630999
how,6,679,12.825777981989836
mean,1,113,12.823651680881447
against,2,225,12.817253909683293
house,4,448,12.810827640523863
person,1,112,12.810827640523863
