collocation,collocate_count,total_count,MI
dosett,1,310,13.570638186661546
aunt,2,527,13.336172933024523
lucy,2,472,13.17715683074915
captain,1,232,13.152494776514882
last,1,209,13.00187291346819
stalham,1,190,12.864369389718256
matter,1,190,12.864369389718256
lady,4,713,12.772272047831198
again,2,353,12.758038154658488
batsby,1,167,12.678218073861359
ayala,9,1408,12.584020398582293
till,1,148,12.503967147016258
they,4,561,12.426370741996102
truth,1,139,12.413454854110816
mean,1,136,12.381976622637646
word,2,267,12.355209713074862
present,1,133,12.349796216888498
crescent,1,130,12.316881594415763
uncle,2,247,12.242881012971985
letter,2,244,12.225251118950194
go,4,487,12.22229174346965
nina,1,120,12.201404376995825
declared,1,115,12.140003832331683
glenbogie,1,115,12.140003832331683
me,7,799,12.12921055225768
now,5,564,12.112137038898739
mr,4,445,12.09217530724107
dormer,1,109,12.062698106164234
head,1,106,12.022434235950508
still,2,212,12.022434235950508
room,2,211,12.015612970094493
look,1,105,12.008759299053432
done,2,209,12.00187291346819
into,3,313,11.99957012759877
little,4,414,11.988000738886635
own,4,411,11.977508365068992
gate,1,101,11.952725264139103
mind,2,200,11.938369971162034
yet,2,198,11.92387040146692
days,1,99,11.92387040146692
people,1,99,11.92387040146692
tringle,4,394,11.916565600843683
ladies,1,98,11.909223625502516
law,1,97,11.894426623574436
moment,2,191,11.871942609423057
imogene,1,94,11.849102633064945
on,11,1025,11.836490357142818
papa,1,93,11.83367259249534
we,4,370,11.825895241903622
find,1,90,11.786366877716983
trouble,1,90,11.786366877716983
went,2,179,11.778329558651565
time,3,268,11.775640471123923
nor,1,89,11.770247212353706
answer,1,89,11.770247212353706
angel,1,89,11.770247212353706
going,2,176,11.753945400024605
part,1,87,11.737457277236036
run,1,86,11.720778536089405
intended,1,85,11.70390471752501
girls,1,85,11.70390471752501
life,2,166,11.669553212734234
even,3,249,11.669553212734234
them,4,329,11.656457555122548
things,2,164,11.652065786005391
day,3,246,11.652065786005391
few,1,82,11.652065786005391
emmeline,2,162,11.634363784271933
purpose,1,80,11.61644187627467
these,1,80,11.61644187627467
light,1,80,11.61644187627467
brought,1,78,11.579916000249556
rather,1,78,11.579916000249556
week,1,77,11.56130032208221
since,1,77,11.56130032208221
means,1,77,11.56130032208221
perhaps,3,229,11.548755068763096
would,22,1677,11.546749136314357
next,1,76,11.542441294830894
colonel,6,454,11.536099767957067
came,3,227,11.536099767957067
those,2,151,11.532918520712387
lover,2,148,11.503967147016258
during,1,73,11.484338340267325
brother,1,73,11.484338340267325
her,48,3460,11.466107603190238
chapter,1,72,11.464438782829621
about,8,571,11.45186071675015
were,12,843,11.428940101608234
bad,1,70,11.423796798332274
already,1,70,11.423796798332274
hunting,1,69,11.403038238165477
round,1,69,11.403038238165477
remain,1,69,11.403038238165477
let,2,138,11.403038238165477
which,15,1032,11.398850441202043
over,3,206,11.39605180784937
between,2,137,11.392545864347834
least,1,68,11.381976622637648
kind,2,135,11.371329378438139
way,4,269,11.365976143943932
told,4,269,11.365976143943932
every,1,67,11.360602971845081
having,2,133,11.349796216888498
seemed,2,133,11.349796216888498
fellow,1,66,11.338907900745761
written,1,65,11.316881594415763
she,50,3185,11.287735248756245
probably,1,63,11.271793704887225
gave,1,63,11.271793704887225
stay,1,63,11.271793704887225
mother,2,125,11.260298066049394
indeed,2,125,11.260298066049394
upon,5,312,11.257987905362194
gertrude,4,249,11.254515713455389
always,4,249,11.254515713455389
change,1,62,11.248710091774184
able,1,62,11.248710091774184
afraid,1,62,11.248710091774184
ask,2,124,11.248710091774184
same,2,124,11.248710091774184
did,10,617,11.241712365649365
house,6,367,11.229187533509364
words,2,122,11.225251118950196
down,4,244,11.225251118950196
really,1,61,11.225251118950196
under,1,61,11.225251118950196
doing,1,60,11.201404376995827
feel,1,60,11.201404376995827
fact,1,60,11.201404376995827
voice,1,60,11.201404376995827
him,25,1481,11.18301351690143
it,53,3134,11.180382791296688
sat,1,59,11.17715683074915
traffick,4,236,11.17715683074915
hope,2,117,11.164878500970714
harry,2,117,11.164878500970714
you,51,2982,11.164152981699255
i,74,4304,11.156522778314983
hardly,2,116,11.15249477651488
have,28,1617,11.146262822803365
shall,5,286,11.132457023278334
at,28,1601,11.131916451845962
work,1,57,11.12740379555205
from,13,739,11.123504617392367
and,87,4889,11.106893975546717
tom,12,672,11.101868703444913
rate,2,112,11.101868703444913
dear,4,222,11.088929647737414
position,1,55,11.075873494911969
say,8,438,11.069300840988483
his,40,2181,11.063359741140696
certain,1,54,11.049401283550777
son,2,107,11.035980767788455
myself,2,106,11.022434235950508
back,4,211,11.015612970094493
men,2,104,10.9949534995284
wrong,1,52,10.9949534995284
all,20,1038,10.992176414857827
then,17,881,10.990049149057382
hand,2,102,10.966939123358804
rufford,1,51,10.966939123358804
am,9,459,10.966939123358804
nevertheless,1,51,10.966939123358804
presence,1,51,10.966939123358804
years,1,51,10.966939123358804
once,4,202,10.952725264139103
my,15,756,10.949865609999863
earnest,1,50,10.938369971162032
how,7,349,10.934242085539356
far,2,99,10.923870401466917
made,8,391,10.90553857869466
after,7,342,10.9050113742156
been,28,1353,10.889104983306241
some,7,338,10.888038295611889
take,4,193,10.886970818655389
says,1,48,10.879476282108465
need,1,48,10.879476282108465
refused,1,48,10.879476282108465
subject,1,48,10.879476282108465
knows,1,48,10.879476282108465
affair,1,48,10.879476282108465
or,11,527,10.876741314387226
by,16,766,10.875714363312266
friend,3,143,10.86942261744454
so,25,1188,10.86497671241335
found,3,142,10.859298400170834
soon,2,94,10.849102633064945
twentyman,1,47,10.849102633064945
husband,2,94,10.849102633064945
oh,4,188,10.849102633064945
said,31,1438,10.83016543143973
put,3,139,10.82849235338966
