collocation,collocate_count,total_count,MI
them,1,416,13.792420496079375
earl,1,194,12.69189362012541
away,1,183,12.607680616222325
also,1,175,12.543191889770611
heard,1,171,12.509833292824181
two,2,330,12.458302992184098
left,1,164,12.449532782556368
hope,1,155,12.36810518321252
son,1,150,12.320799468434162
long,1,149,12.311149298400444
till,1,147,12.291653122774646
letter,1,142,12.241727897442965
violet,4,560,12.221263794883251
many,1,139,12.210921850661789
possible,1,130,12.114348590966738
went,2,256,12.091980777938282
since,1,128,12.091980777938282
having,1,125,12.057765062600371
we,4,493,12.037424614316192
loughlinter,1,120,11.998871373546802
made,4,478,11.992847585919032
here,2,229,11.931184566035228
cabinet,1,114,11.924870792103025
seat,1,114,11.924870792103025
thinking,1,112,11.899335699995888
once,2,224,11.899335699995888
up,5,556,11.888993755774427
asked,2,222,11.88639664428839
miss,2,219,11.866767837539458
days,1,109,11.860165102715207
however,1,109,11.860165102715207
feel,1,106,11.819901232501483
feeling,1,102,11.76440611990978
wrong,1,101,11.750192260690078
eyes,1,100,11.735836967713007
certain,1,100,11.735836967713007
ll,2,199,11.72860539848193
while,1,98,11.706690622053491
down,3,293,11.701775131639375
lady,11,1061,11.683758100215751
day,3,289,11.681943959717806
going,2,192,11.676943278659438
laura,8,753,11.64848683261021
least,1,94,11.64656962961592
yourself,1,93,11.631139589046313
declared,1,93,11.631139589046313
told,4,372,11.631139589046313
word,3,277,11.620760443266313
coming,1,92,11.615542733995294
place,2,183,11.607680616222325
looked,1,91,11.599775418136979
chance,1,90,11.583833874267956
simply,1,90,11.583833874267956
mean,2,178,11.567714208904679
sat,1,89,11.567714208904679
words,2,177,11.55958632802128
doing,1,88,11.55141239657558
during,1,88,11.55141239657558
yes,3,256,11.507018277217126
received,1,85,11.501371714075985
square,1,85,11.501371714075985
m,1,85,11.501371714075985
london,2,170,11.501371714075985
where,1,84,11.484298200717044
part,1,84,11.484298200717044
session,1,84,11.484298200717044
let,2,167,11.475685070412334
got,2,166,11.467020209285208
again,4,328,11.449532782556366
began,1,81,11.431830780822906
our,2,162,11.431830780822906
right,3,237,11.395761526115384
ve,1,79,11.395761526115384
phineas,19,1493,11.388051714629238
us,2,157,11.38660152682991
then,10,784,11.384762527166128
shall,5,385,11.358767318633184
able,1,77,11.358767318633184
less,1,77,11.358767318633184
women,1,75,11.320799468434164
these,2,149,11.311149298400444
meet,1,74,11.301434143567233
matter,2,146,11.2818053368183
slide,1,73,11.2818053368183
own,6,438,11.2818053368183
standing,1,71,11.241727897442965
occasion,1,71,11.241727897442965
omnium,1,71,11.241727897442965
late,1,70,11.22126379488325
madame,4,279,11.216102089767471
upon,5,348,11.212996178899648
were,14,973,11.21092185066179
aunt,1,69,11.200505234716452
close,1,68,11.179443619188621
home,2,135,11.168796374989112
