collocation,collocate_count,total_count,MI
they,1,228,13.087859552700461
there,1,209,12.962328670616603
her,2,412,12.94147006571894
t,1,152,12.502897051979307
them,1,127,12.243654225307887
into,1,126,12.23224946203564
bishop,1,125,12.220753823197807
bold,2,243,12.179782042141502
men,1,121,12.173832775810316
about,1,120,12.161860134144241
out,1,114,12.087859552700461
she,3,334,12.053711330288618
made,1,105,11.969215056201845
now,2,208,11.955409256676813
before,1,101,11.913181021287516
must,1,101,11.913181021287516
warden,2,196,11.86967938265093
man,2,192,11.839932039256878
or,2,192,11.839932039256878
think,1,93,11.794128349643753
nothing,1,92,11.778531494592734
without,1,92,11.778531494592734
little,1,89,11.730702969502119
we,2,173,11.689597766172446
only,1,86,11.681234293237818
it,9,767,11.668127304596343
time,1,85,11.664360474673423
friend,1,84,11.647286961314482
thought,1,84,11.647286961314482
when,2,160,11.576897633423084
these,1,80,11.576897633423084
should,2,157,11.549590287427348
come,1,78,11.540371757397969
did,2,150,11.483788229031601
over,1,75,11.483788229031601
most,1,73,11.444794097415738
make,1,73,11.444794097415738
oh,1,71,11.404716658040403
two,1,70,11.384252555480687
matter,1,70,11.384252555480687
on,6,414,11.36349399531389
were,4,269,11.326431901092345
if,3,195,11.277337351564174
even,1,65,11.277337351564174
am,1,65,11.277337351564174
upon,1,64,11.254969538535722
their,3,182,11.177801678013262
i,11,663,11.168402980011011
income,1,60,11.16186013414424
what,4,238,11.149787301843665
sir,2,117,11.125334258119127
however,1,58,11.112950533663293
do,4,231,11.10671857995178
him,8,457,11.09101989359379
ll,1,57,11.087859552700463
hospital,2,114,11.087859552700463
jupiter,1,57,11.087859552700463
archdeacon,4,227,11.081518025826636
heart,1,56,11.062324460593326
john,2,111,11.049385404885827
this,6,332,11.04504646916149
had,12,663,11.042872097927154
so,8,433,11.013192753262446
against,1,54,11.00985704069919
place,1,52,10.955409256676813
at,8,411,10.937964122217405
been,5,253,10.916035018342669
you,13,654,10.90767664589271
way,1,50,10.898825728310447
for,11,550,10.898825728310447
very,3,147,10.86967938265093
indeed,1,49,10.86967938265093
and,49,2394,10.865467131364015
know,2,97,10.854882380722849
but,12,581,10.852401391219093
found,1,48,10.839932039256876
hand,1,48,10.839932039256876
friends,1,48,10.839932039256876
your,3,137,10.768039120775091
from,6,272,10.757469879064905
are,4,181,10.754815425618927
got,1,45,10.746822634865396
to,52,2311,10.72883136486226
question,1,44,10.714401157173018
through,1,44,10.714401157173018
could,6,262,10.703430039352016
will,5,216,10.687928945811828
said,8,345,10.685422090201254
my,5,213,10.667751063874197
day,2,85,10.664360474673423
up,4,170,10.664360474673423
went,1,42,10.647286961314482
going,1,42,10.647286961314482
well,4,167,10.638673831009774
done,2,83,10.630008969882645
brother,1,41,10.612521543153806
would,9,368,10.608606493150422
say,3,122,10.60074437537745
have,9,365,10.596797190860789
be,15,608,10.596006456370787
s,11,444,10.589953786248529
don,1,40,10.576897633423084
grantly,2,80,10.576897633423084
chadwick,1,40,10.576897633423084
which,9,354,10.552650087176406
our,2,78,10.540371757397969
public,1,39,10.540371757397969
by,8,311,10.535740308666325
does,1,38,10.502897051979307
still,2,74,10.464422904164671
work,1,37,10.464422904164671
face,1,37,10.464422904164671
after,2,73,10.444794097415738
barchester,3,109,10.438191362591493
not,19,686,10.429106791264948
of,58,2090,10.426275770376394
sat,1,36,10.424894539978034
papa,2,71,10.404716658040403
dr,2,71,10.404716658040403
father,4,142,10.404716658040403
poor,2,71,10.404716658040403
here,2,71,10.404716658040403
perhaps,1,35,10.384252555480687
happy,1,35,10.384252555480687
first,1,35,10.384252555480687
small,1,35,10.384252555480687
doctor,1,35,10.384252555480687
things,1,35,10.384252555480687
in,30,1032,10.359306198350458
that,35,1196,10.34968819578886
off,1,34,10.342432379786061
life,1,34,10.342432379786061
true,1,34,10.342432379786061
the,115,3886,10.333549673176691
all,10,337,10.329646224830217
twelve,1,33,10.299363657894174
taken,1,33,10.299363657894174
told,1,33,10.299363657894174
away,1,33,10.299363657894174
doing,1,32,10.254969538535722
hands,1,32,10.254969538535722
right,2,64,10.254969538535722
within,1,32,10.254969538535722
eyes,1,32,10.254969538535722
more,4,127,10.243654225307887
see,3,95,10.239862646145513
his,42,1325,10.234428760094884
therefore,1,31,10.209165848922597
quiet,1,31,10.209165848922597
give,2,62,10.209165848922597
one,7,215,10.195807466067578
such,7,214,10.189081602879265
down,2,61,10.185706876098607
he,54,1645,10.183953904994857
abraham,3,91,10.177801678013262
position,1,30,10.16186013414424
like,2,60,10.16186013414424
as,24,709,10.139648855054082
how,6,177,10.137612587897562
known,1,29,10.112950533663295
half,1,29,10.112950533663295
gentleman,1,29,10.112950533663295
both,1,29,10.112950533663295
harding,11,318,10.108420875182778
daughter,2,57,10.087859552700463
brought,1,28,10.062324460593326
last,2,56,10.062324460593326
hour,1,28,10.062324460593326
law,3,84,10.062324460593326
understand,1,28,10.062324460593326
yet,2,56,10.062324460593326
again,3,83,10.04504646916149
any,6,165,10.036329252060382
though,4,109,10.023153863312647
other,4,109,10.023153863312647
began,1,27,10.00985704069919
god,1,27,10.00985704069919
thinking,1,27,10.00985704069919
lady,1,27,10.00985704069919
was,39,1042,9.99470688195198
another,2,53,9.98288999309892
among,1,26,9.955409256676814
re,1,26,9.955409256676814
given,1,26,9.955409256676814
then,5,128,9.933041443648358
fact,1,25,9.898825728310445
side,1,25,9.898825728310445
asked,1,25,9.898825728310445
gone,1,25,9.898825728310445
might,4,100,9.898825728310445
received,1,25,9.898825728310445
no,15,373,9.891110763182441
himself,7,174,9.890558112326845
some,5,124,9.887237754035233
with,23,569,9.88369242478529
mr,17,420,9.881752214951504
much,6,148,9.879460403443515
own,6,147,9.86967938265093
good,4,97,9.854882380722849
skulpit,1,24,9.839932039256876
almost,1,24,9.839932039256876
alone,1,24,9.839932039256876
because,1,24,9.839932039256876
words,1,24,9.839932039256876
high,1,24,9.839932039256876
knew,3,71,9.819754157319247
never,5,117,9.803406163231763
finney,1,23,9.778531494592734
wife,1,23,9.778531494592734
get,2,44,9.714401157173018
thing,1,22,9.714401157173018
head,1,22,9.714401157173018
is,23,504,9.708687505978626
put,3,64,9.670007037814566
lawyer,1,21,9.647286961314482
nature,1,21,9.647286961314482
clerical,1,21,9.647286961314482
many,2,42,9.647286961314482
far,1,21,9.647286961314482
often,1,21,9.647286961314482
walked,1,21,9.647286961314482
hear,1,21,9.647286961314482
love,3,62,9.62420334820144
knows,1,20,9.576897633423084
entitled,1,20,9.576897633423084
promise,1,20,9.576897633423084
ground,1,20,9.576897633423084
can,6,119,9.564824801122509
us,4,79,9.558750286712824
house,4,79,9.558750286712824
has,9,177,9.552650087176406
always,2,39,9.540371757397969
may,4,77,9.521756079230622
care,1,19,9.502897051979307
party,1,19,9.502897051979307
let,3,57,9.502897051979307
quite,3,55,9.451366751339224
sorrow,1,18,9.424894539978034
slowly,1,18,9.424894539978034
saw,1,18,9.424894539978034
england,1,18,9.424894539978034
just,2,36,9.424894539978034
each,3,54,9.424894539978034
under,3,53,9.397927492377764
certainly,2,35,9.384252555480687
look,2,34,9.342432379786061
seemed,1,17,9.342432379786061
nor,3,51,9.342432379786061
receive,1,17,9.342432379786061
children,1,17,9.342432379786061
already,1,17,9.342432379786061
circumstances,1,17,9.342432379786061
anyone,1,17,9.342432379786061
cannot,3,50,9.31386322758929
hope,2,33,9.299363657894174
an,13,212,9.282450274957828
short,1,16,9.254969538535722
battle,1,16,9.254969538535722
pleasant,1,16,9.254969538535722
silent,1,16,9.254969538535722
master,1,16,9.254969538535722
article,1,16,9.254969538535722
seeing,1,16,9.254969538535722
than,8,127,9.243654225307887
money,2,31,9.209165848922597
reverence,1,15,9.16186013414424
become,1,15,9.16186013414424
rate,2,30,9.16186013414424
yourself,1,15,9.16186013414424
wanted,1,15,9.16186013414424
looking,2,30,9.16186013414424
living,1,15,9.16186013414424
years,3,44,9.129438656451862
whose,2,29,9.112950533663295
who,13,184,9.078091776451641
usual,1,14,9.062324460593326
allowed,1,14,9.062324460593326
afraid,1,14,9.062324460593326
business,1,14,9.062324460593326
live,2,28,9.062324460593326
open,2,27,9.00985704069919
ve,2,27,9.00985704069919
a,103,1351,8.968280970678187
lover,1,13,8.955409256676814
loud,1,13,8.955409256676814
meant,1,13,8.955409256676814
ye,1,13,8.955409256676814
fight,1,13,8.955409256676814
says,1,13,8.955409256676814
stand,1,13,8.955409256676814
too,4,52,8.955409256676814
vain,1,13,8.955409256676814
four,2,26,8.955409256676814
cause,2,26,8.955409256676814
merely,1,13,8.955409256676814
impossible,1,13,8.955409256676814
comfortable,1,13,8.955409256676814
shall,4,51,8.927394880507217
wrong,3,38,8.917934551258151
ask,2,25,8.898825728310445
better,4,50,8.898825728310445
doubt,3,37,8.879460403443515
ever,5,61,8.863778781211245
ah,1,12,8.839932039256878
take,4,48,8.839932039256878
tears,1,12,8.839932039256878
near,1,12,8.839932039256878
respect,1,12,8.839932039256878
crumple,1,12,8.839932039256878
means,2,24,8.839932039256878
die,1,12,8.839932039256878
steward,1,12,8.839932039256878
held,1,12,8.839932039256878
bishops,1,12,8.839932039256878
every,4,46,8.778531494592734
less,2,23,8.778531494592734
world,5,57,8.7659314578131
behind,1,11,8.714401157173018
spriggs,1,11,8.714401157173018
