collocation,collocate_count,total_count,MI
out,1,284,14.079115583323906
don,1,256,13.929368463819223
face,1,227,13.75591695111014
looked,1,227,13.75591695111014
their,1,215,13.677561313408683
they,2,424,13.657288918382422
room,1,212,13.657288918382422
made,1,209,13.636727595900107
will,1,205,13.608848563324669
see,1,204,13.601793805790718
which,3,602,13.578025639857769
then,2,400,13.573224653593947
grosville,1,190,13.499224072150172
upon,1,185,13.460749924335534
last,1,176,13.38880008245652
look,1,158,13.233149211996327
lady,5,784,13.22215021304707
oh,1,156,13.214770682681472
were,3,458,13.183609751195013
first,1,151,13.167773203144302
too,1,151,13.167773203144302
life,1,150,13.158187154315105
house,1,150,13.158187154315105
well,2,298,13.148536984281385
ll,1,140,13.05865148076419
turned,1,134,12.995457654276995
hands,1,134,12.995457654276995
little,2,257,12.934993013013102
from,4,510,12.923721900678082
things,1,127,12.91805315059139
up,3,380,12.914261571429016
voice,1,124,12.883564774206098
these,1,123,12.871882969158463
kitty,12,1472,12.86796791915508
eyes,2,243,12.854180967425004
child,1,118,12.812011513181066
long,1,117,12.79973318340263
people,1,115,12.774858514763599
put,1,115,12.774858514763599
white,1,115,12.774858514763599
went,1,114,12.762258477983965
can,2,221,12.717271023210655
ashe,8,880,12.710728177343883
between,1,108,12.684255965982693
own,2,216,12.684255965982693
under,1,107,12.67083545022037
still,2,213,12.664078084045062
she,22,2333,12.657907437166127
but,8,846,12.653882316939173
back,2,209,12.636727595900107
mary,2,209,12.636727595900107
you,14,1433,12.606836436023766
with,14,1420,12.593688756153664
left,1,101,12.587579946571019
men,1,100,12.573224653593947
both,1,99,12.558725083898834
we,2,196,12.54407830793443
or,4,389,12.532994808805414
new,1,97,12.529281306006352
said,11,1061,12.521145786096692
without,1,96,12.514330964540381
going,1,96,12.514330964540381
began,1,95,12.499224072150172
on,9,851,12.492458784062872
her,31,2909,12.481479734532655
now,3,276,12.452930419876237
do,3,276,12.452930419876237
stood,1,92,12.452930419876237
sat,1,91,12.437163104017921
dress,1,90,12.421221560148899
home,1,90,12.421221560148899
at,11,988,12.418304076766605
it,19,1698,12.411061693928678
so,5,442,12.395342928323293
time,2,176,12.38880008245652
however,1,88,12.38880008245652
any,2,175,12.380579575651552
thought,2,175,12.380579575651552
more,3,262,12.377828964635517
looking,1,87,12.372311959667952
always,1,87,12.372311959667952
just,2,172,12.355633218521321
hand,2,170,12.338759399956924
think,2,168,12.321685886597985
certain,1,83,12.304407895166147
been,6,494,12.292773194682747
gave,1,81,12.26921846670385
passed,1,81,12.26921846670385
very,3,240,12.251296558706587
way,2,158,12.233149211996325
english,1,79,12.233149211996325
took,1,78,12.214770682681472
off,1,78,12.214770682681472
night,2,154,12.196155004514127
did,3,231,12.196155004514127
moment,2,150,12.158187154315105
mr,1,75,12.158187154315105
every,1,75,12.158187154315105
him,13,971,12.152256231097324
heart,1,74,12.138821829448174
against,1,74,12.138821829448174
t,9,658,12.121387236112152
after,2,145,12.10927755383416
are,3,216,12.099293465261535
me,8,570,12.084186572871328
one,6,427,12.08249822271856
away,2,141,12.068919816218019
there,7,492,12.06452804710086
was,28,1959,12.057915224029205
days,1,69,12.037892920597393
he,30,2047,12.021773255234116
had,23,1566,12.01867500505325
rather,1,68,12.016831305069562
again,2,136,12.016831305069562
book,1,68,12.016831305069562
morning,1,68,12.016831305069562
know,4,268,11.995457654276995
two,2,134,11.995457654276995
once,2,134,11.995457654276995
dinner,1,67,11.995457654276995
i,28,1850,11.975323097165294
brought,1,65,11.951736276847678
london,1,65,11.951736276847678
what,7,452,11.942192504176806
why,2,129,11.940595719242477
mind,2,129,11.940595719242477
yet,2,129,11.940595719242477
about,3,193,11.936863000366147
my,5,321,11.933869856054164
into,5,320,11.929368463819223
cliffe,5,319,11.92485298269673
would,6,381,11.91805315059139
an,7,444,11.916429408111725
as,17,1076,11.91336798512551
some,5,316,11.911221117108965
down,3,189,11.906648387319139
to,56,3528,11.906648387319139
girl,1,63,11.906648387319139
like,4,251,11.900912017769995
than,3,187,11.891300422985704
certainly,1,62,11.883564774206098
lord,4,245,11.866006402821794
mrs,1,61,11.86010580138211
could,5,304,11.855367882375447
in,39,2369,11.854028728197207
man,4,242,11.84823170109382
be,11,661,11.838443306689618
drawing,1,60,11.836259059427741
doubt,1,59,11.812011513181066
alcot,1,59,11.812011513181066
hair,1,59,11.812011513181066
gone,1,59,11.812011513181066
while,2,117,11.79973318340263
not,11,638,11.787349458946796
all,9,521,11.78458302465542
william,5,287,11.77234729560755
and,88,4945,11.7416916508284
ve,1,56,11.736723385876827
suppose,1,56,11.736723385876827
by,10,558,11.731561680761049
estrées,2,111,11.723784330169329
met,1,55,11.710728177343883
strange,1,55,11.710728177343883
matter,1,55,11.710728177343883
make,2,109,11.69755278859615
your,4,217,11.690919696263702
less,1,54,11.684255965982693
seemed,3,161,11.675322841212683
done,2,106,11.657288918382422
together,1,53,11.657288918382422
caught,1,53,11.657288918382422
laugh,1,53,11.657288918382422
parham,4,212,11.657288918382422
talk,2,106,11.657288918382422
door,2,103,11.615868991002444
for,17,869,11.605117989383286
stairs,1,51,11.601793805790718
something,2,102,11.601793805790718
should,4,204,11.601793805790718
high,1,51,11.601793805790718
if,6,305,11.597071395548316
must,3,150,11.573224653593947
day,2,100,11.573224653593947
lay,1,50,11.573224653593947
boy,1,50,11.573224653593947
though,3,149,11.56357448356023
work,1,49,11.54407830793443
taken,1,49,11.54407830793443
large,1,49,11.54407830793443
evening,1,49,11.54407830793443
his,31,1518,11.543128228847813
them,7,341,11.53564147078579
re,1,48,11.514330964540381
mere,1,48,11.514330964540381
those,2,96,11.514330964540381
friends,1,48,11.514330964540381
read,1,47,11.48395731549686
passion,1,47,11.48395731549686
truth,1,47,11.48395731549686
have,12,555,11.460749924335536
person,1,46,11.452930419876237
note,1,46,11.452930419876237
am,2,91,11.43716310401792
saw,3,136,11.431868804348406
that,36,1631,11.430984529088796
when,7,317,11.430352571901027
sent,1,45,11.421221560148897
wild,1,45,11.421221560148897
found,2,90,11.421221560148897
dear,2,89,11.405101894785622
part,1,44,11.388800082456521
of,95,4123,11.36899160137634
hour,1,43,11.355633218521321
breath,1,43,11.355633218521321
through,4,171,11.347220978705122
wife,3,127,11.333090649870234
how,4,169,11.330247900101407
past,1,42,11.321685886597985
entered,1,42,11.321685886597985
is,11,458,11.30914063327887
no,12,497,11.301508004660354
lips,1,41,11.286920468437307
next,1,41,11.286920468437307
ran,1,41,11.286920468437307
told,2,79,11.233149211996325
half,3,118,11.227049012459908
strong,1,39,11.214770682681472
felt,2,78,11.214770682681472
political,1,39,11.214770682681472
beyond,1,38,11.177295977262808
coming,1,38,11.177295977262808
bent,1,38,11.177295977262808
same,2,75,11.158187154315105
sitting,1,37,11.138821829448174
forward,1,37,11.138821829448174
late,1,37,11.138821829448174
good,5,185,11.138821829448174
shoulders,1,37,11.138821829448174
has,5,184,11.131002324988874
never,5,182,11.115235009130558
geoffrey,2,72,11.099293465261535
seat,1,36,11.099293465261535
tired,1,36,11.099293465261535
kept,1,36,11.099293465261535
tell,3,108,11.099293465261535
take,3,106,11.072326417661268
the,212,7464,11.067181280107784
perhaps,2,69,11.037892920597393
meanwhile,2,69,11.037892920597393
s,34,1161,11.02305787943445
carried,1,34,11.016831305069562
himself,7,238,11.016831305069562
answer,1,34,11.016831305069562
myself,1,34,11.016831305069562
only,6,202,11.002617445849861
manner,1,33,10.973762583177677
ought,1,33,10.973762583177677
this,11,355,10.94161205957397
reached,1,32,10.929368463819223
most,4,128,10.929368463819223
hat,1,32,10.929368463819223
came,4,126,10.90664838731914
much,6,189,10.90664838731914
usual,1,31,10.883564774206098
girls,1,31,10.883564774206098
_,1,31,10.883564774206098
arrived,1,31,10.883564774206098
ill,1,31,10.883564774206098
a,111,3345,10.84274309299794
woman,3,90,10.836259059427743
cabinet,1,30,10.836259059427743
whatever,1,30,10.836259059427743
early,1,30,10.836259059427743
before,7,210,10.836259059427743
attention,1,30,10.836259059427743
each,2,59,10.812011513181066
figure,2,59,10.812011513181066
care,1,29,10.787349458946796
making,1,29,10.787349458946796
afraid,1,29,10.787349458946796
eye,1,29,10.787349458946796
understood,1,29,10.787349458946796
arm,2,58,10.787349458946796
showed,1,29,10.787349458946796
knows,1,29,10.787349458946796
won,2,57,10.762258477983965
being,2,57,10.762258477983965
hardly,1,28,10.736723385876829
afterwards,1,28,10.736723385876829
many,3,83,10.719445394444993
even,4,109,10.69755278859615
story,1,27,10.684255965982691
probably,1,27,10.684255965982691
used,1,27,10.684255965982691
thin,1,27,10.684255965982691
sometimes,1,27,10.684255965982691
movement,1,26,10.629808181960316
friend,2,52,10.629808181960316
impossible,1,26,10.629808181960316
charming,1,26,10.629808181960316
holding,1,26,10.629808181960316
struck,1,26,10.629808181960316
palace,1,26,10.629808181960316
hesitated,1,26,10.629808181960316
such,5,129,10.618667624355115
near,1,25,10.573224653593948
couldn,1,25,10.573224653593948
scarcely,1,25,10.573224653593948
position,1,25,10.573224653593948
also,2,50,10.573224653593948
effect,1,25,10.573224653593948
changed,1,25,10.573224653593948
angry,1,25,10.573224653593948
worth,1,25,10.573224653593948
wasn,1,25,10.573224653593948
best,2,50,10.573224653593948
short,1,24,10.514330964540381
excitement,1,24,10.514330964540381
indeed,5,120,10.514330964540381
feet,1,24,10.514330964540381
fellow,2,48,10.514330964540381
sake,1,24,10.514330964540381
sudden,2,47,10.48395731549686
mean,3,70,10.473688980043034
better,3,70,10.473688980043034
live,1,23,10.452930419876235
change,1,23,10.452930419876235
ways,1,23,10.452930419876235
replied,1,23,10.452930419876235
approached,1,23,10.452930419876235
following,1,23,10.452930419876235
ear,1,23,10.452930419876235
asked,4,91,10.43716310401792
held,4,90,10.421221560148897
self,2,45,10.421221560148897
silence,2,45,10.421221560148897
husband,3,67,10.41049515355584
beside,6,133,10.399688398599258
sleep,1,22,10.388800082456521
mouth,1,22,10.388800082456521
famous,1,22,10.388800082456521
might,7,153,10.379401384454273
