collocation,collocate_count,total_count,MI
them,1,233,13.152034030687366
so,1,226,13.108026848448274
my,1,154,12.554634426727988
little,1,142,12.437595005537766
we,1,141,12.42739923843188
me,2,278,12.406788958756593
just,1,137,12.385879968993612
through,1,129,12.29907514145634
know,1,124,12.24204419641996
before,1,123,12.230362391372326
time,1,116,12.145828881160659
never,1,112,12.09520280809069
janet,3,321,12.029314872434233
great,1,103,11.974348413216305
rachel,4,399,11.92809282225543
made,1,97,11.887760728220213
thought,1,96,11.872810386754242
way,1,96,11.872810386754242
still,1,96,11.872810386754242
she,13,1240,11.863532573166232
are,1,93,11.827006697141117
any,1,91,11.79564252623178
at,6,519,11.72247611366981
went,1,86,11.714112640735182
which,4,341,11.70147581505726
girls,1,85,11.697238822170787
day,1,84,11.680165308811846
night,1,80,11.609775980920448
think,1,80,11.609775980920448
had,13,1032,11.598635423315248
than,1,79,11.591628634210187
room,1,76,11.535775399476671
first,1,76,11.535775399476671
you,9,680,11.527313820728475
away,1,75,11.516666576528966
round,1,75,11.516666576528966
hand,1,74,11.497301251662035
much,1,73,11.477672444913102
miss,2,145,11.467756976048019
moment,1,71,11.437595005537768
love,1,71,11.437595005537768
want,1,71,11.437595005537768
should,1,70,11.417130902978052
all,5,347,11.404711643723983
two,2,137,11.385879968993612
after,2,137,11.385879968993612
to,29,1938,11.350219746320594
hastings,1,66,11.332242005391539
looking,1,65,11.310215699061539
done,1,65,11.310215699061539
half,1,65,11.310215699061539
they,5,325,11.310215699061539
light,1,64,11.287847886033084
do,2,128,11.287847886033084
quite,1,63,11.265127809533002
up,4,250,11.253632170695173
knew,1,62,11.242044196419961
till,1,62,11.242044196419961
one,3,185,11.234266845828241
things,1,61,11.218585223595971
left,1,61,11.218585223595971
very,2,121,11.20671112330768
put,1,60,11.194738481641604
war,1,60,11.194738481641604
of,33,1974,11.19036004113103
seemed,2,118,11.170490935394927
few,1,59,11.170490935394927
have,4,234,11.158212605616491
there,6,349,11.149968611521581
i,19,1103,11.147137448180882
ellesborough,3,174,11.145828881160657
would,4,229,11.12705167413003
vicar,1,57,11.120737900197827
what,4,226,11.108026848448274
and,46,2578,11.096322478337724
but,10,559,11.092624263988913
home,1,55,11.069207599557746
right,1,55,11.069207599557746
be,7,380,11.05034857230643
hill,1,54,11.042735388196554
people,1,54,11.042735388196554
farm,4,216,11.042735388196554
it,19,1018,11.031442218665195
out,4,214,11.029314872434233
same,1,53,11.015768340596285
story,1,53,11.015768340596285
thing,1,53,11.015768340596285
him,11,578,11.003341949896468
then,4,210,11.00209340369921
your,1,52,10.988287604174177
here,1,52,10.988287604174177
face,2,103,10.974348413216305
yes,1,51,10.960273228004581
small,1,51,10.960273228004581
ve,2,102,10.960273228004581
dark,1,51,10.960273228004581
t,9,455,10.947645619676832
were,6,302,10.941290124637007
her,27,1357,10.93916538928847
took,1,50,10.931704075807811
fire,1,49,10.902557730148294
every,1,49,10.902557730148294
why,2,98,10.902557730148294
as,11,535,10.891811348684296
did,2,97,10.887760728220213
some,4,189,10.850090310254158
will,2,93,10.827006697141117
on,12,558,10.827006697141117
into,3,138,10.811409842090098
found,1,46,10.811409842090098
over,3,136,10.79034822656227
far,1,45,10.77970098236276
both,1,45,10.77970098236276
passed,1,45,10.77970098236276
land,1,44,10.747279504670383
years,1,43,10.714112640735184
new,2,86,10.714112640735184
sat,1,43,10.714112640735184
work,2,85,10.697238822170787
evening,1,42,10.680165308811846
three,1,42,10.680165308811846
henderson,3,124,10.657081695698805
in,31,1281,10.656706335987856
help,1,41,10.64539989065117
doubt,1,41,10.64539989065117
going,2,82,10.64539989065117
last,2,82,10.64539989065117
look,2,82,10.64539989065117
see,3,122,10.633622722874815
by,6,241,10.615774721541891
mind,2,80,10.609775980920448
how,2,80,10.609775980920448
for,13,513,10.590223183499047
once,2,77,10.554634426727986
