collocation,collocate_count,total_count,MI
in,1,576,17.269827981135627
the,4,2164,17.179387763520133
they,1,466,16.9640891243476
t,1,429,16.844736817192864
said,1,421,16.817579402759712
up,1,407,16.76878796395956
she,1,385,16.68861761527558
and,8,2380,16.31664883788862
his,1,268,16.16599217015109
we,1,259,16.11671126737987
it,3,727,16.020752032891753
when,1,240,16.006793575301835
s,2,477,15.997748435698826
you,3,700,15.966151590804488
out,1,209,15.807262111774198
that,2,394,15.721954799149692
little,2,378,15.662145403914389
was,3,564,15.654491831370954
about,1,185,15.631284440209628
to,7,1266,15.598609747064053
like,1,167,15.483607272167367
do,1,162,15.43975298257794
i,4,595,15.316648837888621
come,1,137,15.19793506265384
olly,3,406,15.180276396157335
one,1,134,15.165992170151089
who,1,120,15.006793575301835
get,1,120,15.006793575301835
this,1,120,15.006793575301835
with,3,356,14.990673909938558
oh,1,118,14.982546029055156
he,3,336,14.90725790175092
time,1,110,14.881262693217975
great,1,108,14.854790481856785
by,1,105,14.814148497359438
very,2,201,14.750954670872243
a,11,1071,14.705214125806274
good,1,97,14.699815821880444
two,1,95,14.669758588024264
be,2,188,14.654491831370954
going,1,92,14.623464935750329
where,1,92,14.623464935750329
had,4,337,14.496507760875174
did,1,83,14.47494241104024
make,1,78,14.385305198555566
king,1,76,14.3478304931369
tell,1,76,14.3478304931369
or,1,76,14.3478304931369
your,1,75,14.328721670189196
never,1,71,14.249650099197998
before,1,66,14.14429709905177
backhouse,1,65,14.122270792721771
eyes,1,58,13.957883974820888
face,1,58,13.957883974820888
m,1,58,13.957883974820888
know,2,110,13.881262693217975
must,1,53,13.827823434256516
quite,2,100,13.74375916946804
along,1,49,13.714612823808524
cried,1,44,13.559334598330613
many,1,42,13.492220402472075
not,3,125,13.480724763634246
dinner,1,40,13.421831074580677
poor,1,38,13.3478304931369
mind,1,37,13.309356345322264
always,2,73,13.289727538573333
am,1,33,13.144297099051768
another,1,32,13.099902979693317
john,1,31,13.054099290080192
called,1,29,12.957883974820888
sheep,1,28,12.90725790175092
used,1,26,12.800342697834408
lived,1,23,12.623464935750329
grendel,1,22,12.559334598330613
an,2,38,12.3478304931369
standing,1,18,12.269827981135629
bog,1,18,12.269827981135629
begin,1,16,12.099902979693317
farm,1,16,12.099902979693317
few,1,16,12.099902979693317
drawing,1,15,12.006793575301835
tiny,1,15,12.006793575301835
yet,1,14,11.90725790175092
however,1,13,11.800342697834408
sleepy,1,12,11.684865480414471
old,7,81,11.632398060520336
half,2,22,11.559334598330613
lovely,1,11,11.559334598330613
monster,1,9,11.269827981135627
eagerly,1,8,11.099902979693315
young,1,7,10.90725790175092
shan,1,7,10.90725790175092
brave,2,14,10.90725790175092
tried,2,13,10.800342697834408
wise,1,4,10.099902979693315
moment,1,4,10.099902979693315
begged,1,4,10.099902979693315
horses,1,4,10.099902979693315
killing,1,3,9.684865480414473
frighten,1,3,9.684865480414473
beast,1,2,9.099902979693315
hoping,1,2,9.099902979693315
flower,1,2,9.099902979693315
press,1,2,9.099902979693315
hateful,1,2,9.099902979693315
fight,1,2,9.099902979693315
pollies,2,3,8.684865480414471
fighting,2,3,8.684865480414471
harnessed,1,1,8.099902979693315
pasting,1,1,8.099902979693315
spied,1,1,8.099902979693315
slay,1,1,8.099902979693315
eh,1,1,8.099902979693315
bite,1,1,8.099902979693315
