collocation,collocate_count,total_count,MI
miss,1,371,14.28230386172752
time,1,284,13.896775604611399
don,1,237,13.635771734004978
room,1,204,13.419453827078215
some,1,193,13.339485522374797
asked,1,190,13.316884093437665
helena,2,363,13.250854223102468
dear,1,178,13.222761916073114
they,1,177,13.214634035189716
it,9,1435,13.063938505227455
she,9,1432,13.060919260928662
her,10,1550,13.023152890380956
than,1,154,13.01381502580162
too,1,150,12.975847175602599
day,1,148,12.956481850735667
woman,1,143,12.906899821885107
do,3,387,12.758255740529973
on,7,875,12.712812769768805
house,1,123,12.689542990445958
doctor,1,123,12.689542990445958
we,3,363,12.665891722381312
see,2,239,12.647895293087467
still,1,115,12.592518536051092
were,2,228,12.579918499271459
at,7,766,12.520874144974071
me,16,1745,12.516039806203732
saw,1,107,12.488495471507866
mother,1,106,12.474948939669918
while,1,104,12.44746820324781
eunice,3,311,12.442836754516163
my,19,1968,12.44161547700237
for,8,813,12.414140027181745
or,2,201,12.398080176285646
us,2,199,12.383653105650366
again,2,199,12.383653105650366
wife,1,96,12.331990985827874
eyes,1,96,12.331990985827874
their,1,95,12.316884093437665
then,1,93,12.286187296214749
and,25,2303,12.27247099112484
over,1,92,12.270590441163732
perhaps,1,92,12.270590441163732
say,3,273,12.254823125305414
felt,1,89,12.222761916073114
our,2,176,12.206460103744016
quite,1,88,12.206460103744016
tell,2,173,12.181656712743441
seen,1,86,12.173293239808816
out,3,257,12.167690533579439
may,2,171,12.164880999992617
after,2,171,12.164880999992617
own,3,250,12.127850269047649
said,7,583,12.127025636249611
leave,1,83,12.122067916453643
philip,5,413,12.1150983616388
before,2,164,12.1045804897248
even,1,81,12.086878487991342
to,59,4642,12.044916243089359
right,1,78,12.032430703968965
myself,3,232,12.020046979513133
i,63,4812,12.002169488782876
only,3,227,11.988614471676476
might,3,226,11.982244946800748
now,3,224,11.969420906443165
writing,1,73,11.936853043986735
seemed,1,73,11.936853043986735
t,6,436,11.930250309162489
sister,2,145,11.926937575121652
will,4,289,11.921954167607396
had,18,1287,11.906899821885107
mrs,3,214,11.903532970786708
must,2,142,11.896775604611399
when,9,631,11.878599678646953
which,8,554,11.860770651155905
long,1,69,11.855552941884886
two,2,136,11.834491326357057
happened,1,67,11.813117675564492
your,6,401,11.809524410840483
there,5,332,11.80013982156628
turned,1,66,11.79142260446517
tenbruggen,2,131,11.780451486644168
shall,2,130,11.769396298135174
if,9,583,11.764455556864903
go,2,129,11.758255740529973
passed,1,64,11.747028485106718
chapter,1,64,11.747028485106718
other,3,189,11.724308408606632
read,1,62,11.701224795493593
staveley,1,62,11.701224795493593
course,1,61,11.677765822669603
tried,1,61,11.677765822669603
keep,1,61,11.677765822669603
what,12,715,11.643865416051312
one,5,294,11.624772735055721
nothing,2,117,11.617393204690122
reason,1,58,11.60500948023429
answer,1,58,11.60500948023429
mind,3,174,11.60500948023429
did,3,173,11.596694212022285
think,3,172,11.58833073908766
doubt,1,57,11.579918499271459
find,2,114,11.579918499271459
most,1,56,11.554383407164323
take,2,112,11.554383407164323
him,12,650,11.506361892301378
understand,1,54,11.501915987270186
next,2,108,11.501915987270186
going,1,54,11.501915987270186
without,2,108,11.501915987270186
by,11,594,11.501915987270186
have,17,910,11.489288378942437
self,1,53,11.474948939669916
far,1,53,11.474948939669916
friend,3,158,11.465846732562664
way,4,209,11.4543876171876
in,40,2081,11.44816163995469
chance,1,52,11.447468203247809
days,1,52,11.447468203247809
mr,5,256,11.425100390219354
set,1,51,11.419453827078213
how,5,254,11.413785076991521
years,1,50,11.390884674881441
prison,1,49,11.361738329221927
wait,1,49,11.361738329221927
with,16,780,11.354358798856328
question,1,48,11.331990985827874
thinking,1,48,11.331990985827874
all,5,240,11.331990985827874
first,4,191,11.324457313142466
from,7,331,11.310360969856331
of,71,3351,11.307657336806505
letter,3,141,11.301617336784355
discovered,1,47,11.301617336784355
spoke,1,47,11.301617336784355
but,8,375,11.29777527048996
not,14,653,11.290612744595544
you,35,1613,11.273276191317393
anything,1,46,11.27059044116373
through,1,46,11.27059044116373
silence,1,46,11.27059044116373
whether,1,46,11.27059044116373
told,3,135,11.238881581436392
sent,1,45,11.238881581436392
father,6,269,11.233528346942185
case,1,44,11.206460103744014
selina,2,88,11.206460103744014
mentioned,1,44,11.206460103744014
gentleman,1,44,11.206460103744014
won,1,44,11.206460103744014
know,5,219,11.199887449820528
followed,1,43,11.173293239808816
nature,1,43,11.173293239808816
be,16,684,11.164880999992615
went,3,128,11.16206598438556
the,131,5573,11.157843921647373
was,39,1641,11.14198578975818
once,2,84,11.139345907885478
having,2,84,11.139345907885478
best,1,42,11.139345907885478
led,1,42,11.139345907885478
maria,1,42,11.139345907885478
means,1,42,11.139345907885478
this,12,502,11.133609538336334
been,10,417,11.129003963664019
back,4,166,11.122067916453643
never,3,124,11.116262294772437
done,2,82,11.104580489724801
made,4,163,11.095756639337795
hope,2,81,11.086878487991342
hotel,1,40,11.06895657999408
temper,1,40,11.06895657999408
speak,2,80,11.06895657999408
into,4,160,11.06895657999408
am,9,357,11.056883747693504
come,3,119,11.056883747693504
as,20,791,11.052634274692148
against,1,39,11.032430703968966
morning,1,39,11.032430703968966
memory,1,39,11.032430703968966
last,3,116,11.020046979513133
make,3,116,11.020046979513133
feel,2,77,11.01381502580162
stopped,1,38,10.994955998550303
because,1,38,10.994955998550303
open,1,38,10.994955998550303
gone,1,38,10.994955998550303
that,44,1663,10.98716931975669
so,8,302,10.985433224431796
are,9,338,10.977982919946589
could,8,299,10.971030159304823
can,7,260,10.962041376077568
ready,1,37,10.956481850735667
show,1,37,10.956481850735667
notice,1,37,10.956481850735667
heart,2,73,10.936853043986735
no,12,437,10.93355545388616
should,4,145,10.926937575121652
his,24,869,10.92527835119996
end,2,72,10.91695348654903
dinner,1,36,10.91695348654903
between,2,72,10.91695348654903
few,1,36,10.91695348654903
found,3,108,10.91695348654903
s,23,827,10.91521004822098
more,7,250,10.9054578477112
very,3,107,10.903532970786708
health,1,35,10.876311502051683
help,2,69,10.855552941884888
called,2,69,10.855552941884888
act,1,34,10.834491326357057
view,1,34,10.834491326357057
placed,1,34,10.834491326357057
he,42,1399,10.80489130949271
love,2,66,10.79142260446517
fear,1,33,10.79142260446517
advice,1,33,10.79142260446517
does,2,66,10.79142260446517
window,1,33,10.79142260446517
reminded,1,33,10.79142260446517
ought,2,65,10.769396298135172
enough,3,97,10.761978826572689
like,4,129,10.758255740529972
says,1,32,10.747028485106718
story,1,32,10.747028485106718
angry,1,32,10.747028485106718
wanted,1,32,10.747028485106718
among,1,32,10.747028485106718
dunboyne,4,126,10.724308408606634
away,4,125,10.712812769768805
matter,1,31,10.701224795493593
dreadful,1,30,10.653919080715236
these,2,60,10.653919080715236
looking,2,58,10.605009480234289
servant,1,29,10.605009480234289
any,5,142,10.574847509724037
another,3,85,10.571456920523262
man,8,226,10.567207447521906
god,1,28,10.554383407164321
word,3,84,10.554383407164321
used,1,28,10.554383407164321
burst,1,28,10.554383407164321
would,9,250,10.542887768326493
met,2,55,10.528388198631378
left,6,164,10.519617989003645
entered,1,27,10.501915987270186
yes,3,81,10.501915987270186
spoken,1,27,10.501915987270186
questions,1,27,10.501915987270186
doesn,1,27,10.501915987270186
declared,1,27,10.501915987270186
least,1,27,10.501915987270186
repeated,1,27,10.501915987270186
papa,3,81,10.501915987270186
kind,2,54,10.501915987270186
cried,1,27,10.501915987270186
oh,5,134,10.491189580677128
just,4,106,10.474948939669916
good,8,211,10.468127673813903
is,36,942,10.456686733277188
morrow,1,26,10.447468203247809
feeling,2,52,10.447468203247809
resumed,1,26,10.447468203247809
likely,1,26,10.447468203247809
interest,2,51,10.419453827078213
better,3,76,10.409993497829147
wretch,1,25,10.390884674881443
fond,1,25,10.390884674881443
half,1,25,10.390884674881443
call,3,75,10.390884674881443
event,1,25,10.390884674881443
opinion,2,49,10.361738329221927
life,5,121,10.34396362749395
confidence,1,24,10.331990985827874
within,1,24,10.331990985827874
hardly,1,24,10.331990985827874
portrait,1,24,10.331990985827874
presented,1,24,10.331990985827874
marriage,2,48,10.331990985827874
afraid,3,71,10.311813103890243
trust,1,23,10.27059044116373
truth,2,46,10.27059044116373
kindly,1,23,10.27059044116373
surprise,1,23,10.27059044116373
ashamed,1,23,10.27059044116373
proved,1,23,10.27059044116373
round,2,45,10.238881581436392
itself,2,45,10.238881581436392
much,2,44,10.206460103744016
point,1,22,10.206460103744016
religious,1,22,10.206460103744016
reached,1,22,10.206460103744016
every,2,43,10.173293239808814
lost,2,43,10.173293239808814
ventured,1,21,10.139345907885478
charming,1,21,10.139345907885478
sweet,2,42,10.139345907885478
