collocation,collocate_count,total_count,MI
again,1,474,14.570684385989951
over,1,313,13.971959984024311
then,1,304,13.92986865053528
marian,1,281,13.81636745731262
hand,1,281,13.81636745731262
anne,1,258,13.693168392514947
let,1,250,13.647725421753782
think,1,234,13.5523058566751
mrs,2,453,13.50530837713793
halcombe,2,439,13.460018266627053
their,1,212,13.409861591654892
night,1,205,13.361421236597142
room,2,408,13.354366479063188
just,1,195,13.289271450841305
put,1,191,13.259369965127444
day,2,362,13.181787024174898
husband,1,178,13.157674568058091
hartright,1,173,13.116569364728418
manner,1,167,13.065645429565746
looked,2,327,13.035087962589776
were,4,638,12.999353750856562
laura,3,458,12.936182424467482
here,2,304,12.92986865053528
place,2,303,12.925115120564644
white,1,148,12.891394502720644
on,15,2165,12.855201851097261
person,1,143,12.841812473870084
letter,2,285,12.8367592461438
why,1,142,12.831688256596376
say,3,417,12.800882209815201
her,24,3298,12.784354319808005
lady,3,406,12.762314553555713
answer,1,134,12.748030327549465
together,1,134,12.748030327549465
case,1,130,12.704308950120147
she,17,2197,12.695797450264632
blackwater,1,129,12.693168392514947
away,2,257,12.687565686285572
right,1,127,12.67062582386386
hear,1,126,12.65922106059161
must,2,252,12.65922106059161
into,3,376,12.651567488048176
went,2,247,12.63030836867637
too,2,244,12.61267847465458
certain,1,121,12.60080437436629
miss,5,604,12.598417781529411
down,2,240,12.588831732700212
heard,2,237,12.570684385989955
we,7,829,12.56981450652984
time,6,706,12.560503009641717
at,18,2109,12.554359515443073
after,3,349,12.544061862580188
look,2,228,12.514831151256436
return,1,114,12.514831151256436
see,3,341,12.51060656539471
want,1,112,12.489296059149297
subject,1,111,12.476357003441798
last,3,332,12.472018067717462
did,3,330,12.463300850616353
fairlie,4,439,12.460018266627053
yes,2,218,12.450125461868621
side,2,216,12.436828639255163
which,13,1395,12.42755082566715
death,1,107,12.42340812349284
having,1,106,12.409861591654892
soon,1,105,12.396186654757816
back,4,417,12.385844710536357
madame,1,103,12.368441664274913
when,9,914,12.34806649070745
words,3,301,12.33059831313024
come,3,301,12.33059831313024
each,1,100,12.325797326866418
your,7,700,12.325797326866418
own,6,592,12.306432001999488
they,5,492,12.302527547543571
chance,1,97,12.281853979278821
said,9,870,12.276887726385471
necessary,1,96,12.26690363781285
there,7,671,12.264755171234272
left,4,382,12.259369965127442
hope,1,95,12.251796745422642
open,1,95,12.251796745422642
now,5,474,12.248756291102591
from,13,1232,12.248287959645502
should,3,284,12.24672575587522
strange,1,94,12.23652998876933
percival,8,749,12.230763045550443
mind,3,280,12.226261653315506
once,3,277,12.210720802419726
lips,1,92,12.205503093148709
