collocation,collocate_count,total_count,MI
as,1,497,15.230154703218545
which,1,305,14.525718094106509
they,2,604,14.511457400981337
if,1,294,14.472725006492624
all,2,456,14.105942675821
or,1,218,14.041236986433185
said,2,423,13.997566514776208
their,1,175,13.724263773488586
it,7,1137,13.616714278490903
down,1,155,13.549177066930497
were,2,294,13.472725006492624
up,2,274,13.371084744616786
again,1,135,13.349868258707088
you,1,134,13.33914185211403
mrs,2,259,13.289860949342813
her,11,1384,13.248249270655686
one,4,495,13.22433737662323
but,4,472,13.1556957110181
and,21,2432,13.128662752321084
she,17,1922,13.09398244117967
out,2,225,13.086833852873296
never,1,110,13.054412375180918
mr,2,217,13.034603894100737
what,3,321,13.014519648057405
after,1,106,13.000973116219457
him,4,424,13.000973116219457
more,1,102,12.945478003627754
by,2,199,12.909677282199908
could,3,296,12.897543526564052
nothing,1,98,12.887762505771466
its,1,97,12.872965503843387
go,1,96,12.858015162377415
come,1,94,12.827641513333896
he,15,1391,12.80806877058998
might,1,90,12.764905757985934
james,1,90,12.764905757985934
here,1,89,12.748786092622657
ramsay,4,347,12.711844514234519
something,2,170,12.682443597793961
went,1,85,12.682443597793961
too,1,85,12.682443597793961
of,19,1598,12.667176841140652
them,4,335,12.661069947001394
on,6,501,12.65675695413031
room,1,82,12.630604666274342
upon,1,82,12.630604666274342
with,7,570,12.62051584865076
now,3,243,12.612902664540883
the,43,3472,12.608339139398641
then,3,235,12.564607107500102
felt,2,155,12.549177066930497
did,3,229,12.527293949032048
sea,1,76,12.520980175099846
some,3,224,12.495445082992706
from,3,219,12.462877220536276
life,1,73,12.462877220536276
not,7,510,12.460051176457513
to,22,1593,12.451151594544271
wanted,1,72,12.44297766309857
lily,2,143,12.432923998434648
into,2,143,12.432923998434648
looked,2,141,12.412604014055052
are,1,70,12.402335678601226
even,1,67,12.33914185211403
without,1,67,12.33914185211403
had,14,934,12.332976479308318
in,16,1057,12.31881232303894
world,1,66,12.317446781014713
seemed,2,130,12.295420474684713
there,6,385,12.276804796517366
would,7,449,12.276269374339801
once,1,64,12.273052661656257
for,9,576,12.273052661656257
how,3,184,12.211652116992115
another,1,60,12.179943257264776
yes,1,59,12.1556957110181
so,6,354,12.1556957110181
that,18,1040,12.125495473242399
yet,1,57,12.105942675821
head,1,56,12.080407583713862
at,10,560,12.080407583713862
been,3,166,12.063129592282026
will,1,52,11.973492379797351
see,2,103,11.959553188839477
took,1,51,11.945478003627754
off,2,101,11.931264144408052
like,5,251,11.922668120719667
was,28,1364,11.879325668622826
picture,1,48,11.858015162377415
bankes,2,93,11.812211472764291
be,8,369,11.800529667716654
other,2,91,11.780847301854955
his,17,771,11.776176870320954
seen,1,45,11.764905757985934
himself,2,88,11.732484280293555
two,1,44,11.732484280293555
make,1,43,11.699317416358356
gone,1,43,11.699317416358356
way,2,86,11.699317416358356
this,7,296,11.675151105227604
little,4,164,11.630604666274342
charles,1,41,11.630604666274342
carmichael,1,41,11.630604666274342
love,1,40,11.59498075654362
rather,1,40,11.59498075654362
heard,1,39,11.558454880518505
every,1,38,11.520980175099844
good,1,38,11.520980175099844
thought,8,303,11.51622664512921
work,1,37,11.482506027285208
most,1,36,11.44297766309857
no,4,143,11.432923998434648
women,1,35,11.402335678601226
where,2,69,11.381577118434427
first,1,34,11.360515502906598
only,3,100,11.331946350709826
white,1,33,11.317446781014713
remembered,1,33,11.317446781014713
has,1,33,11.317446781014713
s,9,293,11.297884514636195
arm,1,32,11.273052661656259
came,3,95,11.257945769266051
should,3,93,11.227248972043133
is,5,151,11.189529306093975
almost,1,30,11.179943257264778
looking,4,120,11.179943257264778
green,1,30,11.179943257264778
prue,1,29,11.131033656783831
drawing,1,29,11.131033656783831
we,2,56,11.080407583713862
help,1,28,11.080407583713862
taking,1,28,11.080407583713862
any,2,55,11.054412375180918
an,5,135,11.027940163819727
need,1,27,11.027940163819727
still,3,81,11.027940163819727
tree,1,27,11.027940163819727
fine,1,27,11.027940163819727
ask,1,26,10.973492379797351
having,1,25,10.916908851430984
than,2,50,10.916908851430984
a,56,1359,10.874027480366045
gave,1,24,10.858015162377415
