collocation,collocate_count,total_count,MI
one,1,782,16.668931931808117
could,1,519,16.07749786285865
katharine,3,1203,15.705365560955688
they,2,769,15.644746922462593
when,1,379,15.623961172671857
out,1,365,15.569659788268146
which,3,1012,15.45593820847392
little,1,336,15.450224557279528
herself,1,336,15.450224557279528
room,1,320,15.37983522938813
cassandra,1,318,15.370790089785123
you,5,1547,15.33123652106244
all,2,608,15.305834647944353
it,6,1733,15.23200057293978
she,13,3743,15.227446749259636
but,4,1134,15.205112059442996
looked,1,278,15.176848207224275
her,13,3494,15.128131309276434
my,1,268,15.12399632495854
only,1,266,15.113189570001957
mind,1,256,15.057907134500768
made,1,248,15.012103444887641
down,1,248,15.012103444887641
mary,2,495,15.009191849467738
would,2,487,14.98568509658311
on,3,729,14.982719638106548
by,3,721,14.966800083020432
moment,1,240,14.964797730109288
see,1,236,14.940550183862607
m,1,234,14.928271854084173
life,1,232,14.915888129628337
much,1,218,14.826091459277693
from,3,600,14.701763324275493
or,3,599,14.699356826568396
too,1,199,14.694531755044416
me,2,398,14.694531755044416
must,1,198,14.687263754580375
once,1,193,14.650364171768848
asked,1,187,14.604801594388404
rather,1,185,14.589288595017079
them,3,545,14.563057053443899
after,1,178,14.533640565467165
door,1,174,14.500850630349495
denham,2,348,14.500850630349495
back,1,172,14.484171889202864
and,29,4986,14.483593306864694
what,4,666,14.43728550157203
hand,1,166,14.432946565847692
why,1,165,14.424229348746584
thought,2,321,14.38433662162307
time,2,320,14.37983522938813
there,3,478,14.373811441760358
him,6,956,14.373811441760358
re,1,159,14.370790089785123
head,1,158,14.361687882677868
his,10,1573,14.355281995029092
not,6,923,14.323131471425384
ralph,3,457,14.308994988837679
t,5,752,14.290567891291042
so,4,600,14.286725824996648
more,3,443,14.26410752233463
first,1,147,14.257579479337132
did,2,288,14.227832135943078
do,2,288,14.227832135943078
went,1,143,14.217778471279155
knew,1,143,14.217778471279155
i,14,1987,14.206928369692832
look,1,141,14.19745848689956
then,2,282,14.19745848689956
in,21,2950,14.192088950858572
had,12,1670,14.178577021141024
for,10,1383,14.169564480763897
exclaimed,1,138,14.166431591278934
at,9,1237,14.160611918034826
he,19,2596,14.15205428905632
saw,1,135,14.134722731551596
even,1,134,14.12399632495854
if,5,628,14.030599788505032
of,42,5269,14.028903176095485
we,3,373,14.015976454034849
the,65,8075,14.014785865940963
own,2,245,13.994545073503337
some,4,488,13.988644472063653
face,1,121,13.976770371775363
to,42,5043,13.96565622167933
seemed,3,360,13.964797730109286
day,1,118,13.940550183862607
upon,5,582,13.92085438252169
people,2,228,13.890797148665508
said,7,796,13.887176832986812
how,2,226,13.878086096915956
have,5,555,13.852323000850873
each,1,111,13.852323000850873
going,1,110,13.839266848025426
take,1,109,13.826091459277693
is,4,432,13.812794636664236
together,1,107,13.799374120901915
that,22,2352,13.798147860699833
sat,1,106,13.785827589063967
eyes,2,211,13.779006323207952
those,1,105,13.772152652166891
s,12,1251,13.761810707945433
help,1,104,13.758346852641859
about,4,412,13.744407661683985
like,2,206,13.744407661683985
right,1,102,13.730332476472263
be,7,711,13.724257962062577
let,1,101,13.71611861725256
as,13,1309,13.711716798304915
come,2,199,13.694531755044416
between,1,99,13.687263754580378
long,1,98,13.672616978615975
silent,1,96,13.642869635221922
don,3,288,13.642869635221922
well,2,184,13.58146909055778
thing,1,91,13.565701774699463
talk,1,88,13.517338753138064
other,3,262,13.506367635317062
think,3,259,13.489752921466165
put,1,85,13.467298070638469
mother,2,170,13.467298070638469
mean,1,84,13.450224557279526
ve,3,252,13.450224557279526
might,2,162,13.39775713738539
henry,1,80,13.379835229388128
certain,1,80,13.379835229388128
part,1,79,13.361687882677868
where,2,156,13.343309353363013
rose,1,78,13.343309353363013
say,3,230,13.318434684723986
perhaps,2,153,13.31529497719342
wished,1,76,13.305834647944353
still,2,152,13.305834647944353
william,4,302,13.296311873825847
mr,4,290,13.2378162245157
get,1,71,13.207654254005448
street,1,70,13.187190151445733
good,2,140,13.187190151445733
such,3,208,13.173384351920703
your,3,206,13.15944516096283
these,3,205,13.152424733285056
kind,1,68,13.145369975751105
talking,1,67,13.12399632495854
than,4,268,13.12399632495854
was,37,2443,13.102891917139074
already,1,66,13.10230125385922
another,2,132,13.10230125385922
office,1,66,13.10230125385922
old,2,132,13.10230125385922
with,25,1645,13.097922813348646
place,1,64,13.057907134500768
no,9,566,13.032640375890336
least,1,61,12.988644472063653
appeared,1,61,12.988644472063653
same,2,121,12.97677037177536
past,1,60,12.964797730109286
name,1,59,12.940550183862607
remarked,1,59,12.940550183862607
answer,1,58,12.91588812962834
love,3,174,12.91588812962834
an,9,514,12.893606682252333
sight,1,57,12.890797148665508
open,1,56,12.865262056558372
happy,1,56,12.865262056558372
this,12,662,12.84363204058683
lost,1,55,12.839266848025426
keep,1,55,12.839266848025426
nothing,3,163,12.821672788010687
rest,1,54,12.812794636664236
engaged,1,54,12.812794636664236
certainly,1,54,12.812794636664236
however,1,54,12.812794636664236
alone,2,105,12.77215265216689
looking,3,157,12.767565382671238
any,6,312,12.758346852641859
ever,2,103,12.744407661683985
observed,1,51,12.730332476472263
standing,1,51,12.730332476472263
himself,4,203,12.723243051685944
very,9,456,12.720872147223197
full,1,50,12.701763324275491
every,2,100,12.701763324275491
side,2,99,12.687263754580378
spoke,2,97,12.657819976687895
will,2,97,12.657819976687895
curious,1,46,12.58146909055778
write,1,46,12.58146909055778
married,1,46,12.58146909055778
woman,2,90,12.549760230830442
told,2,90,12.549760230830442
lips,1,44,12.517338753138064
often,1,44,12.517338753138064
later,1,44,12.517338753138064
whom,1,43,12.484171889202864
oh,2,85,12.467298070638469
has,3,127,12.461629320551777
walking,1,42,12.450224557279526
explain,1,41,12.41545913911885
shut,1,41,12.41545913911885
kept,1,40,12.379835229388128
reading,1,40,12.379835229388128
a,85,3381,12.371750499256441
otway,1,39,12.343309353363017
friends,1,38,12.305834647944351
slightly,1,38,12.305834647944351
turn,1,38,12.305834647944351
used,1,37,12.267360500129715
chapter,1,37,12.267360500129715
heard,2,73,12.247731693380784
scarcely,1,36,12.227832135943078
us,3,106,12.200865088342809
rate,1,34,12.145369975751105
world,4,136,12.145369975751105
inquired,1,33,12.10230125385922
met,1,33,12.10230125385922
letters,1,33,12.10230125385922
call,1,32,12.057907134500768
opposite,1,32,12.057907134500768
control,1,32,12.057907134500768
can,6,189,12.035187058000684
five,1,31,12.012103444887641
show,1,31,12.012103444887641
daughter,2,62,12.012103444887641
basnett,1,31,12.012103444887641
shook,1,30,11.964797730109286
effort,1,30,11.964797730109286
moments,1,29,11.915888129628339
chance,1,29,11.915888129628339
afraid,1,29,11.915888129628339
meet,1,29,11.915888129628339
lincoln,1,29,11.915888129628339
fresh,1,29,11.915888129628339
longer,2,57,11.890797148665508
whose,2,57,11.890797148665508
manner,2,53,11.785827589063967
means,1,26,11.758346852641859
fixed,1,26,11.758346852641859
since,2,52,11.758346852641859
shape,1,26,11.758346852641859
spoken,1,26,11.758346852641859
white,2,50,11.701763324275491
leaves,1,25,11.701763324275491
self,2,50,11.701763324275491
moved,1,25,11.701763324275491
literature,1,25,11.701763324275491
study,1,24,11.642869635221922
presence,3,70,11.602227650724577
unless,1,23,11.58146909055778
belief,1,23,11.58146909055778
great,7,159,11.563435167727517
stand,1,22,11.517338753138064
sir,1,22,11.517338753138064
circumstances,1,21,11.450224557279526
surely,1,21,11.450224557279526
proof,1,21,11.450224557279526
memory,1,21,11.450224557279526
hard,1,20,11.37983522938813
colored,1,20,11.37983522938813
brown,1,20,11.37983522938813
thin,1,20,11.37983522938813
follow,1,20,11.37983522938813
loved,2,39,11.343309353363015
really,2,39,11.343309353363015
finding,1,19,11.305834647944351
piece,1,19,11.305834647944351
remarks,1,19,11.305834647944351
distinguished,1,19,11.305834647944351
business,1,18,11.227832135943078
queer,2,36,11.227832135943078
temper,1,18,11.227832135943078
rapidly,1,18,11.227832135943078
clever,1,18,11.227832135943078
hurt,1,18,11.227832135943078
confusion,1,17,11.145369975751107
gesture,1,17,11.145369975751107
confess,1,17,11.145369975751107
fault,1,17,11.145369975751107
curiously,1,17,11.145369975751107
steady,1,17,11.145369975751107
upright,1,16,11.057907134500768
relationship,1,16,11.057907134500768
death,1,16,11.057907134500768
cared,1,16,11.057907134500768
conviction,1,16,11.057907134500768
refused,1,15,10.964797730109284
watching,1,15,10.964797730109284
determination,1,15,10.964797730109284
lying,1,15,10.964797730109284
strange,3,44,10.932376252416908
marry,5,73,10.925803598493422
grandfather,2,29,10.915888129628339
who,22,311,10.879246285994071
makes,1,14,10.865262056558372
pale,1,14,10.865262056558372
discovery,1,14,10.865262056558372
ordinary,1,14,10.865262056558372
spirits,1,14,10.865262056558372
grave,1,14,10.865262056558372
dropped,1,14,10.865262056558372
expect,2,27,10.812794636664236
knows,2,27,10.812794636664236
possessed,2,27,10.812794636664236
belonged,1,13,10.758346852641859
simultaneously,1,13,10.758346852641859
likely,1,13,10.758346852641859
duty,1,13,10.758346852641859
poets,1,13,10.758346852641859
paying,1,13,10.758346852641859
england,2,25,10.701763324275491
sensible,1,12,10.642869635221922
unhappy,1,12,10.642869635221922
god,1,12,10.642869635221922
behave,1,12,10.642869635221922
honest,1,12,10.642869635221922
shop,2,23,10.58146909055778
able,2,23,10.58146909055778
critical,1,11,10.517338753138064
easily,1,11,10.517338753138064
listen,1,11,10.517338753138064
loves,1,11,10.517338753138064
thirty,1,11,10.517338753138064
interesting,2,22,10.517338753138064
sad,1,11,10.517338753138064
