collocation,collocate_count,total_count,MI
they,3,1042,14.079296956330824
now,1,298,13.858288415235636
began,1,204,13.31154523674497
have,1,191,13.216548722809222
too,1,186,13.178278705881505
table,1,182,13.146914534972169
were,5,889,13.113231408715881
or,1,175,13.090331006605801
not,3,511,13.05133687498994
over,2,339,13.044261357909816
moment,1,167,13.022824187247524
say,1,155,12.91524430004771
time,1,152,12.887047408217057
her,18,2691,12.863121568971577
where,1,145,12.819028984788407
went,2,283,12.783778137605355
one,3,380,12.624013002383263
added,1,125,12.60490417943556
took,1,124,12.593316205160349
rose,2,244,12.56985723233636
no,2,242,12.557983132048067
are,1,119,12.533937658081415
here,2,236,12.521762944135313
how,2,213,12.373829514999311
lady,1,106,12.367040349336673
be,3,317,12.362496424191724
which,2,209,12.346479026854356
ll,1,104,12.339559612914565
exclaimed,1,101,12.29733137752527
good,1,101,12.29733137752527
side,1,101,12.29733137752527
blue,1,100,12.282976084548197
up,7,694,12.27055682529413
as,10,984,12.259706305225349
eyes,2,195,12.246450208523083
well,1,96,12.224082395494628
front,1,96,12.224082395494628
come,2,191,12.216548722809222
looked,5,475,12.208975503104421
my,2,188,12.193708746451112
mother,1,94,12.193708746451112
paper,1,92,12.162681850830486
go,2,184,12.162681850830486
back,3,274,12.152189477012843
she,51,4558,12.120879762067274
along,1,89,12.11485332573987
sitting,1,89,12.11485332573987
want,1,88,12.09855151341077
yellow,1,88,12.09855151341077
for,7,613,12.091508236406652
paused,1,83,12.014159326120398
book,1,82,11.996671899391556
it,21,1702,11.979817793680676
across,1,81,11.978969897658096
think,1,81,11.978969897658096
about,4,321,11.965549381895775
would,2,160,11.961047989660834
sara,2,160,11.961047989660834
left,1,80,11.961047989660834
if,5,399,11.957436736108455
t,5,394,11.939243619342486
round,3,232,11.912138389179887
behind,1,77,11.905906435468374
make,1,76,11.887047408217057
children,1,76,11.887047408217057
garden,1,76,11.887047408217057
do,2,150,11.867938585269354
on,17,1264,11.855437801700237
people,3,223,11.855057293972623
sound,1,74,11.848573260402421
oh,1,74,11.848573260402421
by,3,221,11.842059953443746
and,43,3146,11.832158095487062
air,1,73,11.82894445365349
down,6,436,11.822341718829243
mrs,2,144,11.809044896215786
light,2,144,11.809044896215786
dark,1,72,11.809044896215786
there,11,783,11.792556773427217
read,1,71,11.788867014278155
them,6,424,11.782077848615515
so,4,282,11.778671247172266
but,15,1032,11.743456554588208
saw,2,136,11.726582736023813
mind,1,68,11.726582736023813
alone,1,67,11.705209085231246
knew,1,66,11.683514014131925
after,2,131,11.672542896310922
colonel,1,65,11.661487707801928
same,1,65,11.661487707801928
all,6,390,11.661487707801928
eleanor,8,515,11.647548516844054
black,1,64,11.639119894773474
flowers,1,64,11.639119894773474
him,10,634,11.625530830025518
